feature	X1965	X1798	X1877	X1867	X1871	X1862	X1861	X1858	X1855	X1844	X1836	X1830	X1815	X1814	X1812	X1949	X1941	X1934	X1786	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X10115	X9712	X9286	X9262	X15452	X7967	X7962	X7985	X8007	X8002	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6754	X6846	X4303	X4348	X4285	X14853	X4121	X14851	X14861	X14890	X14894	X14941	X15332	X15346	X15300	X15286	X15271	X63326	X79883	X7263	X7264	X25416	X14965	X14963	X63327	X14837	X15350	X14838	X4198	X4262	X29305	X7253	X15091	X15249	X15254	X15078	X15124	X15132	X29328	X79840	X15131	X15127	X15126	X15158	X15154	X15120	X15234	X15265	X14987	X14995	X14993	X4166	X14027	X14127	X29339	X14142	X14143	X5090	X4791	X4862	X4815	X4811	X4831	X4837	X4826	X4816	X4820	X4677	X48013	X4868	X25431	X4874	X4768	X4774	X4779	X4630	X4552	X4581	X4575	X4577	X4571	X4617	X4613	X4584	X4557	X4608	X29302	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4711	X4705	X4699	X4716	X4714	X4721	X4652	X4644	X4670	X59869	X4532	X4540	X4529	X5075	X5082	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X4498	X5190	X3958	X6140	X6148	X5736	X5792	X6952	X6939	X5825	X14546	X72479	X14341	X14809	X14808	X14807	X63101	X14797	X17130	X15878	X17167	X17168	X17169	X17153	X17132	X17137	X17248	X17244	X17237	X17234	X16971	X16988
01-2020-09	0	0	0	0	0	7561591	0	0	0	0	0	0	0	35608431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55783	1917	128336	0	0	0	0	35392	16629	21956	25856	0	297	39356	129	0	28310	146616	32773	9315	0	70177	8137	0	0	0	1397	0	81035	0	0	0	481884	0	78982	0	123521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5535	416	0	0	161261	0	105271	0	0	0	0	0	21277	101862	0	0	0	0	0	0	0	0	0	0	0	0	0	910485	732968	22560	22469	0	2281019	0	28709	6686	0	7077	454731	0	96767	0	0	0	161775	0	0	0	0	0	0	4136	107144	0	226686	0	88944	0	0	0	0	1098896	0	2897802	86549	125434	0	678364	0	0	5920	0	227261	4262	0	0	0	0	0	0	96667	0	0	0	19045	208928	2208865	27675	0	85203	0	68860	0	0	0	0	0	0	0	38603	2671	0	0	78797	225952	0	0	0	0	137785	0	0	0	0	111	341	0	0	0	0	0	472	0	0	0	0	15280	105
GBM-BM-291	0	0	0	14253980	3140	60834	123098	0	0	0	2372	57894	0	17895	0	52889	0	1087510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60977	0	0	6675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	645	0
01-2020-14	93914	0	1030288	144951	1145758	354148	346394	5275	168578	53414	5077570	1802386	0	13330250	0	1899702	0	0	0	0	44954	0	76069	118594	3814	0	11203	0	0	0	1007	1246634	0	130283	0	0	0	34131	1872	0	0	70	0	0	298316	57265	0	0	0	0	10974	0	0	0	15850	0	43042	5802	0	0	2430646	0	904297	0	31229	0	1708	333	1663	0	0	6827	0	3469	0	0	62426	0	987	7827	25991	1718	0	97182	3325	204236	153	0	0	0	1291	5330	112381	87367	0	0	11368	2454	0	0	12596	0	0	0	14734	7443	340284	39995	4583	58196	0	1155782	171395	0	44904	0	7323	226351	47799	50817	0	0	0	8370	0	0	0	0	65008	34308	1512	10181	0	135681	0	7026	0	40712	14558	53680	32127	13237	2406195	0	39031	13248	1107455	0	0	166720	39443	0	205124	0	4241	1325	0	23929	50629	1155	0	0	1245	0	0	0	985069	0	49526	25507	0	26511	10167	137099	10030	267132	0	5075	0	3993	0	6875	0	0	0	20177	0	0	51905	0	0	4543	662	0	0	0	0	0	0	0	0	1667577	0	554226	593	0	0
01-2020-19	20113	542335	127518	0	695637	179587	971277	0	0	50819	1813821	11222247	0	5926863	1249615	386774	0	1792113	5801	125925	87592	25453	105393	401597	117545	21496	70406	0	0	0	0	284382	16639	52987	0	0	607	0	301	0	0	0	0	0	63867	0	11131	0	0	0	4308	20478	249491	2453	0	0	253040	0	0	0	478768	3374	0	53869	13563	0	0	1282	0	643	0	1585	0	0	0	0	7568	1986	0	189	36061	10790	0	290539	6307	91595	10871	0	0	0	21150	28704	55538	21966	0	0	14786	603	10444	0	6116	175	209	0	0	3611	1133	7489	9962	234359	0	395121	9296	0	0	22420	0	0	7551	110075	691	11652	0	1103	128	110604	7817	0	0	14432	723	5815	0	62196	0	0	0	4322	0	28934	0	7956	258619	0	459320	787987	345202	0	30575	4754	0	0	64337	0	414	4534	0	3699	35975	0	7172	13086	0	0	22206	100241	2378	46823	25803	0	0	3644	508	0	264506	195911	0	0	0	0	113914	133128	0	0	0	14871	277	0	3220	0	0	0	18552	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-308	0	0	0	0	0	0	38978	0	0	0	8251	0	0	0	0	29104	0	0	0	0	0	0	0	0	0	0	0	8269595	1005764	0	0	0	0	0	0	0	130039	72240	360118	0	0	21829	14897	0	59941	618811	144838	14988	0	0	2511	3051	0	1121	8402	0	272108	11634	0	0	0	0	0	139174	93445	10	0	360	0	0	0	840	0	0	0	0	0	0	0	2424	0	257244	0	1322	0	2400	0	0	0	0	0	0	0	84854	0	0	0	398	0	0	0	0	0	0	0	0	324839	152115	0	0	0	9501621	0	0	525071	0	103618	345149	0	185622	0	0	0	526030	0	0	0	0	0	188051	56081	1112965	0	442957	0	22709	0	0	0	0	91857	14988	146298	210761	8266	0	99575	0	0	60316	0	0	44968	0	0	0	0	0	0	1663717	0	0	0	0	646	0	2541	0	344653	0	0	0	38381	0	18281	288482	0	0	195053	436	45780	0	0	0	113526	0	0	0	1766194	0	58332	0	0	1473	2898	1027	9022	0	4287	461	945	189653	7167807	0	0	0	0
01-2020-28	212409	573341	332121	122250	17798	209230	113688	0	0	122932	1039651	139487	0	5764069	904159	466266	0	4380211	53172	131777	67928	107294	142295	379809	1799	3951	0	0	14366	47961	0	473871	5875	3494	0	2253	0	1322	227056	0	0	462	0	1333	2648	0	20286	0	0	0	14604	0	0	46597	1908	0	524250	0	0	0	0	0	22063	71790	8513	0	0	0	0	0	0	886	0	2972	0	0	0	0	0	0	6790	6437	0	213575	6373	53221	0	0	0	0	0	112261	7954	28446	0	0	6004	548	78281	0	0	127	0	0	0	20585	22702	414629	0	37486	0	287050	118647	0	321281	24226	0	0	1553	13081	1389	0	0	0	0	385082	0	1353	0	0	0	15473	0	331732	0	51497	0	0	16709	41942	0	21289	1417564	414682	665992	4351765	472	6546	354181	618	0	0	148854	0	0	0	0	113968	13162	0	0	0	195652	105239	0	0	559637	21300	97734	251517	0	10495	0	0	0	17542	114700	0	0	0	653501	0	0	0	0	17963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4405	0
GBM-BM-305	50732	415557	147223	0	354803	0	641782	0	0	131225	1809329	101376	831631	1807688	817477	852363	0	707015	0	194422	198154	6487	326340	1397238	429875	315274	0	0	15529	0	4948	0	25781	317411	0	0	1641	122825	101102	0	1254	4328	43416	1670	0	0	0	0	84645	0	1683700	422482	0	3302	10310	0	446069	11607	11730	664	3152317	345300	62789	1816813	95240	3227	497	532	0	6144	0	103659	2642	12904	20173	1566	175528	466194	0	1503	910240	16724	330565	188414	15204	51527	12032	82	0	0	3527	5334	13922	149667	10085	78992	0	22883	1259594	0	805	17613	0	5354	382	367428	0	32819	40883	164218	11171	477830	0	86955	791992	63373	2844	0	82752	687928	21170	7627	5801	3328	61147	478892	197811	245091	2469	0	1593	5416	0	807371	203	2775	9258	2593	4729	5916	11304	12500	19299	0	0	157526	490880	48711	303664	4940	17721	0	138917	0	35862	555393	15760	262182	437272	0	0	1823337	270525	33301	14495	121451	951618	105961	368235	324471	5856	1603	63283	9968	252	71669	57953	7586	0	0	0	162928	0	7762	0	57367	34255	0	13420	0	0	0	87140	426	0	0	9188	0	4514	0	0	415500	123254	28861	0	348	0
GBM-BM-279	0	0	0	0	5502089	0	0	0	4318802	1205653	838731	0	0	6327608	0	0	0	0	0	88290	79011	164385	629975	0	23521	0	0	204910	100974	0	0	0	226789	44725	0	246533	774	98545	163594	0	0	24291	0	2179	964	12322	0	6978	83004	14914	3890	10634	220285	25872	12242	0	203491	0	3394	0	306927	0	0	0	96444	0	242	0	0	452	0	4213	0	340	0	1913	7655	77598	356	48	152605	6103	0	77949	15424	124916	4512	0	0	6011	4505	20960	60969	23746	3952	0	0	0	0	7800	0	365	0	321	0	0	43014	562359	0	29991	0	1233927	468139	0	155944	0	0	28588	7338	202368	0	0	10609	4863	0	140646	39812	145158	0	8867	1769	51601	0	113911	0	3060	0	0	6786	12783	2613	4909	145563	0	135487	0	4482	3976	50644	17799	0	0	155761	0	0	0	0	173281	255752	0	0	5722	9104	18899	55375	0	1829773	0	221411	14439	43254	965	4556	0	173368	102928	0	34836	8760	533	0	281708	0	0	0	0	0	2126	25877	2385	0	0	42604	370	645	0	0	0	248	0	0	46177	392	0	0	0	0
01-2020-90	350458	224419	0	56116	238545	12369	16829	0	0	0	122752	51860	0	1309022	11900	1358278	0	582412	144420	95825	141494	0	17730	360825	11646	18422	8197	0	6278	0	0	37586	1332	122026	0	327029	31859	535817	9788	2635	2736	27936	7114	0	1353	0	1600	0	0	0	23344	125605	0	26645	0	0	155903	0	447	3599	774102	166964	1469107	1977756	14399	0	0	3217	0	0	0	0	0	0	0	0	0	0	6003	5464	226702	4587	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	149	0	0	9767	5912	4001	1305	0	0	9366	48440	308352	0	3943006	0	0	106515	3250	412	1037911	19994	1134218	0	0	441	0	58764	1476585	773158	259319	0	12340	0	0	0	0	533	0	0	642	0	0	0	25927	1104	0	0	16017	0	0	106990	0	0	0	5172	0	0	34839	1077	1356130	270621	0	226	0	0	0	4621	1423	2352307	616	100482	6890	0	0	13078	1092	0	0	0	35885	0	265130	0	210426	0	0	252247	1118538	77605	4077	5084	0	23104	3585	40804	4026	7632	7559	0	0	1515	0	0	1693165	6292534	0	0	11052	0
GBM-BM-282	2115	0	0	0	276752	0	9133	0	19833	0	11646	1949	3805	15101	0	0	0	22283	0	0	113	4270	0	3880	0	0	0	0	7464	0	3033	19223	0	0	363646	0	0	8510	0	0	0	0	0	0	687404	0	5926	8747	0	0	0	406	3191	0	0	0	48319	0	0	0	8621385	7355	0	523160	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	6561	381	1109	0	29176	0	1660	0	0	0	0	1139	4812	129326	0	0	0	0	0	1736	0	13018	0	0	0	0	0	0	0	1245	121618	0	1571	13440	0	74582	0	0	39017	7833	667417	226301	0	0	2269	0	6687	0	0	0	132880	0	0	0	3205	0	0	0	0	874884	563012	19291	497358	1677814	2733	168390	171259	1259011	0	0	0	199	0	138025	0	0	0	0	0	1104	0	0	180882	0	0	0	0	1855	0	111570	0	0	0	0	2597	7982	212825	0	0	222271	0	0	3957	7590	5109	0	1824	0	0	0	0	0	0	0	0	0	1524	0	0	0	0	0	1943679	7013	0	0	5765	0
