feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
SRR1179026	0	248	106	0	0	13690	0	701	0	2399	0	0	39910	13486	129	2255	77	0	0	0	0	0	0	518	0	0	1205	671	0	8682	2527	0	153	0	0	7192	0	2912	0	0	0	8720	0	0	0	0	0	52744	0
SRR1031064	596	0	0	0	0	0	405	0	1478	2148	0	396	57983	0	0	1287	0	0	0	0	266	356	0	0	0	0	0	0	0	12002	0	0	0	0	0	3087	0	773	34	148	0	7960	0	0	0	0	0	14458	0
SRR549499	0	0	0	841	303	930	803	0	0	0	0	380	55849	0	0	1225	0	0	0	0	0	0	0	0	0	0	247	0	0	8675	427	0	0	0	0	0	0	1894	0	8257	0	1595	0	0	0	696	0	13086	0
SRR1804458	305	15161	0	1110	1553	0	0	0	0	0	2102	0	54243	283	0	0	0	19040	0	3931	0	249	247	0	0	0	640	0	0	6001	13039	0	0	0	0	0	1016	4392	0	0	0	7297	0	1509	0	0	0	2398	0
SRR1803321	3261	49632	0	286	0	0	16381	0	1375	26942	2863	790	38720	0	3722	3285	645	26080	0	0	0	1876	4626	0	1454	1395	1435	0	0	30485	11695	0	0	0	0	0	25	12266	9849	260	0	3431	0	765	0	3414	0	0	587
SRR1803316	1461	6997	0	781	195	1354	1861	0	0	0	47592	176	40558	11986	0	6315	0	2197	0	0	35	0	0	1125	0	0	5305	1004	703	4278	31146	0	0	48	3029	183	0	25879	256	103	891	6339	1440	0	0	9551	57	421	2868
SRR1804060	2205	5127	0	70	1106	1908	2396	0	546	3352	12628	579	46340	18578	0	3225	0	11632	0	620	236	982	0	0	538	506	3982	1517	1173	36332	998	0	0	0	414	0	0	5346	2233	2913	0	14016	63	0	39	440	0	3829	1009
SRR1804468	0	93	0	0	402	0	0	0	0	0	43741	423	27755	4707	0	5589	0	4257	0	0	0	0	223	7182	3995	5552	1372	0	112	17782	10904	4687	1494	626	0	0	0	14368	1025	2115	1029	5537	3194	0	153	2741	2900	0	40273
SRR1804276	2563	2660	0	470	981	1025	958	551	91	2007	1056	0	9058	1995	0	4097	2376	3104	0	0	961	0	3268	0	0	0	1981	460	0	514	29489	0	0	0	5816	0	0	3285	0	0	0	1832	0	0	0	0	722	0	0
SRR1568829	0	0	0	2192	0	1180	116	0	0	872	580	0	40111	1713	0	940	0	578	0	0	0	0	0	0	0	0	536	0	0	2022	491	0	0	0	0	0	0	933	0	130	0	2596	0	0	0	441	0	3597	0
