"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.3840","PTPN2","Glioma","High - Low",1.23274817258292,0.00728298015016744,0.0250692276777846
"High...Low.3841","PTPN4","Glioma","High - Low",1.43006089795922,0.0176088623673462,0.0454424091671799
"High...Low.3842","PTPN6","Glioma","High - Low",0.222638191516466,0.65449276871606,0.72896104123336
"High...Low.3843","PTPN9","Glioma","High - Low",2.05096680706459,5.31286751171102e-06,0.000473790657917259
"High...Low.3844","PTPN11","Glioma","High - Low",0.502204079605349,0.0287992027741055,0.0649047781625022
"High...Low.3845","PTPN12","Glioma","High - Low",0.930096752212497,0.00112232852534615,0.00779203059961958
"High...Low.3846","PTPRA","Glioma","High - Low",0.765477375189406,0.00229569449893612,0.0119001677628937
"High...Low.3847","PTPRD","Glioma","High - Low",-0.405509425021096,0.594585930179205,0.676001403991188
"High...Low.3848","PTPRF","Glioma","High - Low",0.161972023721785,0.772695160973212,0.828170580993019
"High...Low.3849","PTPRG","Glioma","High - Low",0.467305688614867,0.131002856002181,0.205776319156977
"High...Low.3850","PTPRM","Glioma","High - Low",1.12521764177466,0.0223992501145169,0.0539741959881273
"High...Low.3851","PTPRS","Glioma","High - Low",1.30500520302482,0.00308396417479907,0.0142690554433989
"High...Low.3852","PTPRZ1","Glioma","High - Low",1.49440150868053,0.0147352271920004,0.0399638634888349
"High...Low.3853","PTX3","Glioma","High - Low",0.544787401045076,0.43696846569977,0.532000473256419
"High...Low.3854","PYGB","Glioma","High - Low",1.07684316345509,0.00240277810645703,0.0122344507401103
"High...Low.3855","PYGL","Glioma","High - Low",0.492882444074783,0.330056107479819,0.4257047548602
"High...Low.3856","PZP","Glioma","High - Low",-0.669348394668991,0.181748616324242,0.265433421400632
"High...Low.3857","RAB2A","Glioma","High - Low",0.676211853764331,0.00737127031919774,0.0252668621883705
"High...Low.3858","RAB3A","Glioma","High - Low",-0.177425819920278,0.79324220656931,0.844585579185115
"High...Low.3859","RAB5B","Glioma","High - Low",0.47472211394446,0.01222469098307,0.035149342058041
"High...Low.3860","RAB6A","Glioma","High - Low",0.647838756671226,0.00187449421678743,0.0105071178401604
"High...Low.3861","RAB13","Glioma","High - Low",0.552473908868867,0.0475360129437846,0.09396687099727
"High...Low.3862","RABIF","Glioma","High - Low",0.87142713004543,0.0380605293748184,0.0795982385615512
"High...Low.3863","RAC2","Glioma","High - Low",0.782870120147121,0.268220610254302,0.361660042289139
"High...Low.3864","RAD23B","Glioma","High - Low",0.423830180709729,0.00549553486294816,0.0207194164973922
"High...Low.3865","RAD51C","Glioma","High - Low",0.415397530085855,0.0180542616101798,0.0462446207988448
"High...Low.3866","RAD51B","Glioma","High - Low",0.708020881057484,0.034989254335488,0.0748581931176252
"High...Low.3867","RAD51D","Glioma","High - Low",0.790869299653279,0.1224316685608,0.195121746365033
"High...Low.3868","RAF1","Glioma","High - Low",1.27130611013119,2.37463175071226e-05,0.00103644760479421
"High...Low.3869","RALB","Glioma","High - Low",0.603126975499926,0.211263718519102,0.298573894256786
"High...Low.3870","RANBP1","Glioma","High - Low",1.25371245568491,0.000872873445473756,0.00672015613436897
"High...Low.3871","RANGAP1","Glioma","High - Low",0.375297578944405,0.0684225458589404,0.124313142150266
"High...Low.3872","RAP1GAP","Glioma","High - Low",0.662213458519218,0.229746575419126,0.319725970723566
"High...Low.3873","RARS1","Glioma","High - Low",0.88944474564031,0.00434088708830638,0.017680811559084
"High...Low.3874","RARRES2","Glioma","High - Low",0.445123226924557,0.482227965491594,0.576174192914219
"High...Low.3875","RASA1","Glioma","High - Low",0.922184305525205,0.0345671748566799,0.074334469957853
"High...Low.3876","RBBP7","Glioma","High - Low",1.05427067414615,6.07938928393963e-05,0.00156637073600065
"High...Low.3877","RBBP8","Glioma","High - Low",1.04715029555654,0.0442166764262556,0.0889769726641141
"High...Low.3878","RBP1","Glioma","High - Low",1.22580392728084,0.0576256743892173,0.109291799022655
"High...Low.3879","RCN1","Glioma","High - Low",1.1018761066938,0.00409103025460025,0.0170925175985117
"High...Low.3880","RCN2","Glioma","High - Low",1.30759829846526,0.0349413444758079,0.0748073846576568
"High...Low.3881","NELFE","Glioma","High - Low",0.942732724147797,0.00568503017206434,0.021184234020229
"High...Low.3882","RDH5","Glioma","High - Low",0.45446561886437,0.382037777045256,0.478424125155948
"High...Low.3883","RENBP","Glioma","High - Low",0.600626319816467,0.270611211704572,0.364283253424454
"High...Low.3884","UPF1","Glioma","High - Low",1.03019731072387,0.0264123343198289,0.0609093176442126
"High...Low.3885","REV3L","Glioma","High - Low",0.44757364457287,0.0609657866274197,0.113845694537854
"High...Low.3886","RFC3","Glioma","High - Low",1.23691788778043,0.0226375160811437,0.0544695667870003
"High...Low.3887","RFNG","Glioma","High - Low",0.938272925452507,0.00130734069342111,0.00845349088378076
"High...Low.3888","RFX1","Glioma","High - Low",0.701354913144172,0.158774066061684,0.238936630388656
"High...Low.3889","RGR","Glioma","High - Low",1.09826877361791,0.05525585213389,0.105762334138453
"High...Low.3890","RGS1","Glioma","High - Low",0.0907862192785609,0.898121741282156,0.926641405748054
"High...Low.3891","RGS2","Glioma","High - Low",0.679524144419202,0.341404717558926,0.437540703897091
"High...Low.3892","RGS7","Glioma","High - Low",0.198947917497309,0.702935589810979,0.771003401992374
"High...Low.3893","RGS16","Glioma","High - Low",0.470149516182715,0.350503140522413,0.447318530409403
"High...Low.3894","RIT2","Glioma","High - Low",0.389375448641696,0.50171533962262,0.593876392787795
"High...Low.3895","RING1","Glioma","High - Low",0.672681959863089,0.000595042984939782,0.00535497790020722
"High...Low.3896","RNASE1","Glioma","High - Low",-1.2888757893546,0.0721890893088952,0.129538705688732
"High...Low.3897","RNASEH1","Glioma","High - Low",1.78160203446963,4.68866964454549e-05,0.00137962787248716
"High...Low.3898","RNF4","Glioma","High - Low",0.94712000808494,0.0483798422675758,0.0952508635659858
"High...Low.3899","ROBO1","Glioma","High - Low",1.5355934557845,0.0128263654885121,0.0362650005791732
"High...Low.3900","RPA1","Glioma","High - Low",1.03484477623377,0.00110702016384002,0.00773343451486616
"High...Low.3901","RPA2","Glioma","High - Low",0.692275540328962,0.0650748881758067,0.119759745013916
"High...Low.3902","MRPL12","Glioma","High - Low",1.19204513670781,6.96695362261604e-05,0.00166469508639661
"High...Low.3903","RPN1","Glioma","High - Low",0.926063096783483,0.00167976317704292,0.00988531192817978
"High...Low.3904","RPS2","Glioma","High - Low",1.14173528558498,0.00638151241792704,0.0228867498220588
"High...Low.3905","RPS6KA1","Glioma","High - Low",-0.431074945678639,0.379843988802519,0.476405861051742
"High...Low.3906","RPS27A","Glioma","High - Low",0.934649038059323,0.00222165311000785,0.0116760972954211
"High...Low.3907","CLIP1","Glioma","High - Low",0.564318851589819,0.0278338799104422,0.063303711914058
"High...Low.3908","RXRA","Glioma","High - Low",0.231792710026343,0.173202966546885,0.255716529864598
"High...Low.3909","RYK","Glioma","High - Low",0.602617057051143,0.0121201745990118,0.0349792008713759
"High...Low.3910","SORT1","Glioma","High - Low",0.386262991447341,0.407596016400971,0.50363897695143
"High...Low.3911","S100A4","Glioma","High - Low",-0.318863776845481,0.571116606108423,0.656270367738806
"High...Low.3912","S100A7","Glioma","High - Low",0.287030635549512,0.534561710085274,0.624012751346757
"High...Low.3913","S100A10","Glioma","High - Low",-0.0416969593635063,0.962259903739773,0.97377905540281
"High...Low.3914","SALL1","Glioma","High - Low",0.690790158829871,0.131976867584678,0.20698348354938
"High...Low.3915","MAPK12","Glioma","High - Low",0.883678242336099,0.0303692527881257,0.0675690013182081
"High...Low.3916","SAT1","Glioma","High - Low",0.36414282538366,0.398600330056723,0.494952368114057
"High...Low.3917","ATXN2","Glioma","High - Low",0.503377882108883,0.00788743618182359,0.0264476541267088
"High...Low.3918","CLEC11A","Glioma","High - Low",0.431970507450735,0.356387506791096,0.453855087913111
"High...Low.3919","SCN7A","Glioma","High - Low",1.47681706130594,0.0227420493723667,0.0546293147095524
"High...Low.3920","SCNN1D","Glioma","High - Low",1.48070647324672,0.0132479743739543,0.0370487221368392
"High...Low.3921","CCL2","Glioma","High - Low",0.81383399596399,0.306784202882684,0.402508251758103
"High...Low.3922","CX3CL1","Glioma","High - Low",1.18573647380312,0.0153721421631184,0.041254935331804
"High...Low.3923","SDC1","Glioma","High - Low",0.194256222996138,0.71279169308624,0.779396614095477
"High...Low.3924","SDC4","Glioma","High - Low",-0.0276733068983169,0.971667106631811,0.980956753603465
"High...Low.3925","SDHB","Glioma","High - Low",0.395068750410548,0.0547316663878145,0.105081589396194
"High...Low.3926","SDHD","Glioma","High - Low",1.11265145507483,0.0057867962299593,0.0214227621812516
"High...Low.3927","SEMG1","Glioma","High - Low",-0.784882703178657,0.10643069331199,0.174615148255506
"High...Low.3928","SELENOW","Glioma","High - Low",-0.0070155628461771,0.97998144024207,0.986915626713557
"High...Low.3929","MAP2K4","Glioma","High - Low",0.50582690885894,0.050850867807254,0.0991277747607837
"High...Low.3930","SFRP1","Glioma","High - Low",1.40006583855462,0.0276935256161904,0.0630532123836545
"High...Low.3931","SFRP2","Glioma","High - Low",0.066964862300709,0.954528477333457,0.968057925970435
"High...Low.3932","SFRP4","Glioma","High - Low",0.120097294323939,0.865707800338889,0.902007407982094
