contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,msg,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,1.177870098,0.055276508,Inf,1,3.488399245,0.000485922,1.177870098,6.187975386,5.253529566,tumor16SProximity_v3,A1BG,NA,14431,0.748116254,3716,4150,0.730820996,743,0.005398453,0.23618044,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,9.264656306,2.477816309,Inf,1,8.323877946,8.51E-17,9.264656306,0.203565251,0.02197224,tumor16SProximity_v3,A2M,NA,335,0.059741658,3716,28,0.02422611,743,1.50E-14,3.211737457,P-adjust < 0.001
Within30micronTumor / Within30um16StumorHigh,0.936163716,0.128191454,Inf,1,-0.481732212,0.62999619,0.936163716,0.080272614,0.085746341,tumor16SProximity_v3,AAAS,NA,202,0.046555436,3716,93,0.100942127,743,0.7666443,-0.095167244,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.789079198,0.200619551,Inf,1,-0.931732995,0.35147453,0.789079198,0.021725421,0.027532624,tumor16SProximity_v3,AAK1,NA,55,0.013724435,3716,28,0.033647376,743,0.525934635,-0.341757988,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.743277736,0.078310888,Inf,1,-2.81595231,0.004863289,0.743277736,0.115446551,0.155320879,tumor16SProximity_v3,AAMP,NA,288,0.069429494,3716,161,0.172274563,743,0.030161178,-0.428026701,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.849428315,0.06944741,Inf,1,-1.996038047,0.045929782,0.849428315,0.208580477,0.245553949,tumor16SProximity_v3,AARS1,NA,519,0.114101184,3716,274,0.257065949,743,0.142067231,-0.235435895,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.087332289,0.549679839,Inf,1,2.794427303,0.005199173,2.087332289,0.036819036,0.017639279,tumor16SProximity_v3,AASS,NA,91,0.023681378,3716,18,0.02422611,743,0.031581844,1.061660286,P-adjust < 0.05
Within30micronTumor / Within30um16StumorHigh,2.631678772,0.569213884,Inf,1,4.473661376,7.69E-06,2.631678772,0.075021587,0.028507122,tumor16SProximity_v3,AATK,NA,177,0.040365985,3716,29,0.039030956,743,0.000159382,1.395983402,P-adjust < 0.001
Within30micronTumor / Within30um16StumorHigh,0.959277804,0.169065221,Inf,1,-0.235894512,0.813514527,0.959277804,0.048826148,0.050898861,tumor16SProximity_v3,ABAT,NA,122,0.031754575,3716,52,0.067294751,743,0.89398314,-0.059979419,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.14512267,0.583615312,Inf,1,2.805187926,0.005028725,2.14512267,0.036052515,0.016806738,tumor16SProximity_v3,ABCA1,NA,89,0.022604952,3716,18,0.022880215,743,0.030833057,1.101060151,P-adjust < 0.05
