contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,0.726064311,0.095077935,Inf,1,-2.444576672,0.014502225,0.726064311,0.216479341,0.2981545,tumor16SProximity_v3,CDK5RAP3,1382,0.142969984,6330,86,0.190184049,326,0.448263781,-0.461830755,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.906073326,0.238962147,Inf,1,-0.373994718,0.708408246,0.906073326,0.04938493,0.054504341,tumor16SProximity_v3,CDK6,301,0.044707741,6330,16,0.039877301,326,0.95634745,-0.142300287,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.835865426,0.313195049,Inf,1,-0.478488884,0.632302284,0.835865426,0.023117949,0.027657501,tumor16SProximity_v3,CDK7,140,0.021011058,6330,8,0.021472393,326,0.936261729,-0.258657406,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.300747115,0.546918314,Inf,1,0.625352782,0.531739545,1.300747115,0.027270774,0.02096547,tumor16SProximity_v3,CDK8,166,0.025118483,6330,6,0.018404908,326,0.908572102,0.379340507,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.125332931,0.216790708,Inf,1,0.612932676,0.539920856,1.125332931,0.118130146,0.104973509,tumor16SProximity_v3,CDK9,729,0.092890995,6330,30,0.079754601,326,0.911927425,0.170351887,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.766086557,0.162438978,Inf,1,-1.256665829,0.208874667,0.766086557,0.088286214,0.115243132,tumor16SProximity_v3,CDKN1A,527,0.065086888,6330,32,0.079754601,326,0.794298302,-0.384420689,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.988685581,0.261254116,Inf,1,-0.043062165,0.96565198,0.988685581,0.054836579,0.055464123,tumor16SProximity_v3,CDKN1B,336,0.048025276,6330,16,0.042944785,326,0.999992957,-0.016416302,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.454195142,0.673695277,Inf,1,0.80826917,0.418935646,1.454195142,0.025059624,0.017232642,tumor16SProximity_v3,CDKN1C,151,0.022590837,6330,5,0.015337423,326,0.88152647,0.540220881,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.122513901,0.169868548,Inf,1,0.763706681,0.445042058,1.122513901,0.203960117,0.181699413,tumor16SProximity_v3,CDKN2A,1334,0.143759874,6330,52,0.134969325,326,0.883615931,0.166733312,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.17643755,0.625019496,Inf,1,0.305846993,0.759721146,1.17643755,0.016256323,0.013818263,tumor16SProximity_v3,CDKN2B,95,0.014375987,6330,4,0.012269939,326,0.966464761,0.234424739,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.364933002,0.416208911,Inf,1,1.02025195,0.307608985,1.364933002,0.056404957,0.041324341,tumor16SProximity_v3,CDKN2C,342,0.047709321,6330,12,0.033742331,326,0.835211648,0.448830138,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.078728904,0.293559258,Inf,1,0.278477853,0.780645563,1.078728904,0.057807055,0.053588121,tumor16SProximity_v3,CDKN2D,349,0.049921011,6330,16,0.04601227,326,0.972805027,0.109332346,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.720415857,0.758260754,Inf,1,1.231026677,0.218312887,1.720415857,0.034546378,0.020080249,tumor16SProximity_v3,CDKN3,214,0.028909953,6330,6,0.018404908,326,0.797919549,0.782757334,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.293170704,0.38970862,Inf,1,0.853125738,0.39358958,1.293170704,0.055722179,0.043089577,tumor16SProximity_v3,CDON,334,0.048657188,6330,12,0.030674847,326,0.872149824,0.37091273,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.398532166,0.441024187,Inf,1,1.063660895,0.287482345,1.398532166,0.05282427,0.037771223,tumor16SProximity_v3,CDS2,321,0.047235387,6330,11,0.027607362,326,0.828455666,0.483913436,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.767722933,0.249710738,Inf,1,-0.812657966,0.416414187,0.767722933,0.028612363,0.037269126,tumor16SProximity_v3,CDT1,175,0.025434439,6330,11,0.030674847,326,0.88152647,-0.381342351,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.027004878,0.439296575,Inf,1,0.062295663,0.950327382,1.027004878,0.02125947,0.020700457,tumor16SProximity_v3,CDX2,129,0.01943128,6330,6,0.018404908,326,0.999992957,0.038443034,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.901501586,0.170158835,Inf,1,-0.549368091,0.582752867,0.901501586,0.100233916,0.111185513,tumor16SProximity_v3,CEACAM1,626,0.081990521,6330,32,0.088957055,326,0.926197022,-0.149598066,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.129808305,0.109057101,Inf,1,1.264391005,0.20608972,1.129808305,0.652374722,0.577420717,tumor16SProximity_v3,CEACAM6,4331,0.308056872,6330,169,0.312883436,326,0.792373933,0.176078011,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.551264557,0.12781706,Inf,1,-2.568517371,0.010213459,0.551264557,0.038159436,0.069221639,tumor16SProximity_v3,CEACAM8,236,0.035387046,6330,21,0.061349693,326,0.371409443,-0.859183246,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.808167291,0.123506172,Inf,1,-1.393683222,0.163413285,0.808167291,0.169615106,0.209876232,tumor16SProximity_v3,CEBPA,1023,0.124802528,6330,60,0.13803681,326,0.746652571,-0.307274132,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.766360002,0.194626385,Inf,1,-1.047806969,0.294727551,0.766360002,0.053323467,0.06958018,tumor16SProximity_v3,CEBPB,322,0.044549763,6330,19,0.052147239,326,0.829001562,-0.38390583,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.072864877,0.402212779,Inf,1,0.187605419,0.851185978,1.072864877,0.029947395,0.027913482,tumor16SProximity_v3,CEBPD,180,0.02685624,6330,8,0.024539877,326,0.984818003,0.101468386,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.90817114,0.292841814,Inf,1,-0.29871847,0.765154864,0.90817114,0.035103436,0.038652886,tumor16SProximity_v3,CEBPE,208,0.031753555,6330,11,0.030674847,326,0.967179402,-0.138963904,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.743671486,0.089208402,Inf,1,-2.468855939,0.013554577,0.743671486,0.231029575,0.310660795,tumor16SProximity_v3,CEBPG,1446,0.163349131,6330,90,0.220858896,326,0.425352273,-0.427262639,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.637703022,0.572393305,Inf,1,1.411389957,0.158129663,1.637703022,0.050630899,0.0309158,tumor16SProximity_v3,CEBPZ,309,0.044391785,6330,9,0.024539877,326,0.743837752,0.711673765,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.099697497,0.28473285,Inf,1,0.367045475,0.713585098,1.099697497,0.063151909,0.057426619,tumor16SProximity_v3,CELSR1,386,0.05371248,6330,17,0.049079755,326,0.956501393,0.137106724,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.518539252,0.240718927,Inf,1,-1.414700706,0.157156267,0.518539252,0.01077829,0.02078587,tumor16SProximity_v3,CELSR2,64,0.009794629,6330,6,0.018404908,326,0.743837752,-0.947474893,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.620240069,0.129058126,Inf,1,-2.29553033,0.02170275,0.620240069,0.060779244,0.097993095,tumor16SProximity_v3,CEMIP2,370,0.051974724,6330,28,0.073619632,326,0.535425665,-0.689101363,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.811299113,0.29003002,Inf,1,-0.584965764,0.558570737,0.811299113,0.025306654,0.031192755,tumor16SProximity_v3,CENPC,154,0.022748815,6330,9,0.024539877,326,0.916590247,-0.301694185,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.734284984,1.038593227,Inf,1,0.919406164,0.357883166,1.734284984,0.018374604,0.010594916,tumor16SProximity_v3,CENPE,113,0.016745656,6330,3,0.009202454,326,0.854871761,0.794340987,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.671468357,0.171931609,Inf,1,-1.555490879,0.119829205,0.671468357,0.044355615,0.066057641,tumor16SProximity_v3,CENPF,274,0.03807267,6330,19,0.049079755,326,0.708861296,-0.574608682,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,3.722004014,3.747778642,Inf,1,1.30522365,0.191816703,3.722004014,0.012829832,0.003447023,tumor16SProximity_v3,CENPH,78,0.012006319,6330,1,0.003067485,326,0.778133748,1.896079611,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.853166918,0.319729526,Inf,1,-0.423742421,0.671753674,0.853166918,0.024002014,0.028132847,tumor16SProximity_v3,CENPK,146,0.02164297,6330,8,0.024539877,326,0.947682753,-0.229100069,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.054166627,0.859890663,Inf,1,1.71967608,0.085491338,2.054166627,0.042501862,0.020690562,tumor16SProximity_v3,CENPM,260,0.03807267,6330,6,0.015337423,326,0.659236849,1.038553213,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.855295587,0.206497058,Inf,1,-0.647416848,0.517362195,0.855295587,0.060749079,0.071027,tumor16SProximity_v3,CENPN,374,0.051974724,6330,20,0.052147239,326,0.905218998,-0.225504999,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.102031701,0.513930775,Inf,1,0.208332369,0.83496946,1.102031701,0.018607433,0.016884662,tumor16SProximity_v3,CENPP,114,0.017377567,6330,5,0.015337423,326,0.981327224,0.140165725,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.673916796,0.148116975,Inf,1,-1.795610101,0.072556548,0.673916796,0.056311358,0.083558323,tumor16SProximity_v3,CENPT,344,0.049921011,6330,24,0.073619632,326,0.642809344,-0.569357611,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.027113863,0.337907185,Inf,1,0.081318678,0.93518852,1.027113863,0.035663396,0.03472195,tumor16SProximity_v3,CENPU,216,0.032543444,6330,10,0.024539877,326,0.997133334,0.038596123,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.844284433,0.171294801,Inf,1,-0.83428399,0.404120971,0.844284433,0.087033721,0.103085782,tumor16SProximity_v3,CENPW,539,0.068246445,6330,29,0.088957055,326,0.878804359,-0.244198982,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.736271918,0.094344542,Inf,1,-2.389262749,0.016882224,0.736271918,0.183477754,0.249198359,tumor16SProximity_v3,CENPX,1124,0.142654028,6330,72,0.174846626,326,0.492292017,-0.441689417,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.759795574,0.234348264,Inf,1,-0.890641541,0.373121506,0.759795574,0.031702937,0.041725614,tumor16SProximity_v3,CEP135,192,0.028751975,6330,12,0.030674847,326,0.86144666,-0.396316786,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.273995325,0.586137084,Inf,1,0.526341065,0.598651256,1.273995325,0.021948777,0.017228303,tumor16SProximity_v3,CEP164,133,0.020063191,6330,5,0.015337423,326,0.926837482,0.349359984,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.706282313,0.165019948,Inf,1,-1.488321793,0.13666605,0.706282313,0.056112563,0.079447782,tumor16SProximity_v3,CEP192,343,0.046445498,6330,23,0.064417178,326,0.722916096,-0.501683127,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.898039639,0.421374006,Inf,1,-0.229193407,0.818718597,0.898039639,0.015986089,0.017801095,tumor16SProximity_v3,CEP290,96,0.014375987,6330,5,0.015337423,326,0.978606194,-0.155148969,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.164873669,0.468150763,Inf,1,0.379737603,0.704140205,1.164873669,0.027948991,0.023993152,tumor16SProximity_v3,CEP55,169,0.024960506,6330,7,0.021472393,326,0.955861824,0.220173502,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.715295507,0.309708871,Inf,1,-0.773844715,0.439022626,0.715295507,0.014470404,0.020229967,tumor16SProximity_v3,CEP57,88,0.013270142,6330,6,0.018404908,326,0.883615931,-0.483388716,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.304894609,0.430831993,Inf,1,0.806025392,0.420228208,1.304894609,0.044647356,0.034215296,tumor16SProximity_v3,CEP63,266,0.039494471,6330,10,0.030674847,326,0.88152647,0.383933291,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.435310842,0.542282694,Inf,1,0.956502403,0.338818471,1.435310842,0.037826437,0.026354178,tumor16SProximity_v3,CEP70,225,0.033491311,6330,8,0.021472393,326,0.850297735,0.521363212,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.983414378,0.346186283,Inf,1,-0.047510009,0.962106753,0.983414378,0.030355749,0.030867709,tumor16SProximity_v3,CEP78,184,0.028120063,6330,9,0.027607362,326,0.999992957,-0.024128646,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.70399658,0.871412251,Inf,1,1.042204765,0.297316754,1.70399658,0.02356372,0.013828502,tumor16SProximity_v3,CEPT1,143,0.021800948,6330,4,0.012269939,326,0.830682167,0.76892244,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.126374397,0.52772728,Inf,1,0.254000574,0.799495115,1.126374397,0.019197435,0.017043564,tumor16SProximity_v3,CER1,116,0.017693523,6330,5,0.015337423,326,0.975801151,0.171686446,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.700525678,0.121499766,Inf,1,-2.052136312,0.040156417,0.700525678,0.097673678,0.139429118,tumor16SProximity_v3,CERS2,603,0.079778831,6330,41,0.101226994,326,0.574739096,-0.513490161,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.339935515,0.791355061,Inf,1,0.495471561,0.620267292,1.339935515,0.013886206,0.010363339,tumor16SProximity_v3,CERS4,85,0.013270142,6330,3,0.009202454,326,0.933432719,0.422163572,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.600916765,0.179608727,Inf,1,-1.703960727,0.088388425,0.600916765,0.027430201,0.045647256,tumor16SProximity_v3,CERS5,166,0.024802528,6330,13,0.036809816,326,0.662790212,-0.734762924,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,3.310799124,2.365116026,Inf,1,1.675881519,0.093761402,3.310799124,0.023004375,0.006948285,tumor16SProximity_v3,CERS6,140,0.02164297,6330,2,0.006134969,326,0.666428028,1.727179481,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.136455364,0.363375724,Inf,1,0.400050534,0.689119297,1.136455364,0.042387912,0.037298352,tumor16SProximity_v3,CERT1,257,0.036966825,6330,11,0.030674847,326,0.950992577,0.184541021,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.735907012,0.122395013,Inf,1,-1.843759741,0.065218162,0.735907012,0.11087317,0.150661929,tumor16SProximity_v3,CES3,679,0.090205371,6330,44,0.125766871,326,0.625762823,-0.442404614,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.996522411,0.353513876,Inf,1,-0.009820082,0.992164834,0.996522411,0.030818771,0.03092632,tumor16SProximity_v3,CETN2,189,0.027014218,6330,9,0.024539877,326,0.999992957,-0.005025844,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.875178632,0.298192073,Inf,1,-0.391308764,0.695569021,0.875178632,0.030776223,0.035165648,tumor16SProximity_v3,CETP,180,0.027014218,6330,10,0.030674847,326,0.952283552,-0.192350581,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.895134059,0.44013405,Inf,1,-0.225305335,0.82174175,0.895134059,0.014532472,0.016234967,tumor16SProximity_v3,CFB,86,0.012638231,6330,5,0.015337423,326,0.978606194,-0.159824333,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.375085736,0.645101641,Inf,1,0.678942501,0.497174295,1.375085736,0.023932835,0.017404613,tumor16SProximity_v3,CFD,142,0.021169036,6330,5,0.015337423,326,0.901473333,0.459521573,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.987231178,0.364761672,Inf,1,-0.034781482,0.972253987,0.987231178,0.035558382,0.036018293,tumor16SProximity_v3,CFH,211,0.027014218,6330,10,0.027607362,326,0.999992957,-0.018540138,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.779879928,0.242219326,Inf,1,-0.800473243,0.42343666,0.779879928,0.031759648,0.040723766,tumor16SProximity_v3,CFI,192,0.028909953,6330,12,0.033742331,326,0.88152647,-0.358676074,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.172809844,0.401498654,Inf,1,0.465627357,0.641482258,1.172809844,0.040673404,0.034680306,tumor16SProximity_v3,CFL2,237,0.034439179,6330,10,0.027607362,326,0.938248614,0.229969118,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.230742413,0.399688884,Inf,1,0.639306635,0.522623473,1.230742413,0.04649709,0.037779709,tumor16SProximity_v3,CFLAR,284,0.040758294,6330,11,0.024539877,326,0.905218998,0.299528846,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.645611614,0.259252594,Inf,1,-1.089639986,0.275871762,0.645611614,0.016267295,0.02519672,tumor16SProximity_v3,CFP,97,0.014849921,6330,7,0.021472393,326,0.82667922,-0.631261563,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.919204669,0.231436619,Inf,1,-0.334604572,0.737923396,0.919204669,0.057989084,0.063086151,tumor16SProximity_v3,CGAS,354,0.050078989,6330,18,0.052147239,326,0.960120652,-0.121541968,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.772375599,0.258774432,Inf,1,-0.77091274,0.440758655,0.772375599,0.028947344,0.037478325,tumor16SProximity_v3,CH25H,170,0.025592417,6330,11,0.030674847,326,0.883615931,-0.372625509,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.27259386,0.531037306,Inf,1,0.577676829,0.563482326,1.27259386,0.030048324,0.023611873,tumor16SProximity_v3,CHAD,175,0.025908373,6330,7,0.021472393,326,0.917156674,0.347772066,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.611945478,0.855876596,Inf,1,0.899206951,0.368542439,1.611945478,0.022387,0.013888187,tumor16SProximity_v3,CHAT,131,0.019589258,6330,4,0.012269939,326,0.860396282,0.688802947,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.011545966,0.648175087,Inf,1,2.168976673,0.030084455,2.011545966,0.069871015,0.034734983,tumor16SProximity_v3,CHCHD10,433,0.061769352,6330,10,0.027607362,326,0.564058564,1.008304705,P < 0.05
Within30micronTumor / Within30um16StumorHigh,0.798048139,0.184056004,Inf,1,-0.978119537,0.328015206,0.798048139,0.057607622,0.072185648,tumor16SProximity_v3,CHCHD3,357,0.050552923,6330,21,0.064417178,326,0.849212422,-0.325452321,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.583637221,0.579362492,Inf,1,1.256616413,0.208892568,1.583637221,0.043377708,0.02739119,tumor16SProximity_v3,CHCHD6,263,0.038388626,6330,8,0.024539877,326,0.794298302,0.663241881,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.858401887,0.196384113,Inf,1,-0.6673823,0.504527969,0.858401887,0.063544186,0.07402615,tumor16SProximity_v3,CHD3,397,0.054186414,6330,22,0.058282209,326,0.903215597,-0.220274848,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.977618278,0.262539324,Inf,1,-0.084289703,0.932826099,0.977618278,0.05054321,0.051700353,tumor16SProximity_v3,CHD4,311,0.045181675,6330,15,0.04601227,326,0.996850591,-0.032656837,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.256830234,0.351341831,Inf,1,0.817729052,0.413511918,1.256830234,0.060556887,0.048182233,tumor16SProximity_v3,CHD6,369,0.053396524,6330,14,0.042944785,326,0.88152647,0.329789791,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.913579904,0.544464135,Inf,1,-0.151659953,0.879455145,0.913579904,0.009558095,0.010462243,tumor16SProximity_v3,CHD9,58,0.008846761,6330,3,0.009202454,326,0.989124728,-0.130397178,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.85337339,0.213914058,Inf,1,-0.632540263,0.527033908,0.85337339,0.05394327,0.063211802,tumor16SProximity_v3,CHEK1,334,0.045971564,6330,18,0.052147239,326,0.906172305,-0.22875097,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.52885752,0.150178448,Inf,1,-2.243340507,0.024874865,0.52885752,0.025434883,0.048094019,tumor16SProximity_v3,CHEK2,155,0.023696682,6330,14,0.039877301,326,0.546749904,-0.919048999,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.773158579,0.403802497,Inf,1,-0.492595669,0.622298309,0.773158579,0.01242738,0.01607352,tumor16SProximity_v3,CHGA,71,0.010900474,6330,5,0.015337423,326,0.933642871,-0.371163747,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.488187078,0.221999561,Inf,1,-1.576839878,0.114832373,0.488187078,0.034097415,0.069844977,tumor16SProximity_v3,CHI3L1,215,0.019273302,6330,16,0.027607362,326,0.701658297,-1.034493986,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.71091382,0.163922843,Inf,1,-1.479761341,0.138936949,0.71091382,0.054097319,0.076095467,tumor16SProximity_v3,CHID1,330,0.047235387,6330,22,0.061349693,326,0.727783733,-0.492253415,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.746729132,0.24056057,Inf,1,-0.906567148,0.364635741,0.746729132,0.031421994,0.042079508,tumor16SProximity_v3,CHIT1,182,0.027172196,6330,12,0.033742331,326,0.856777705,-0.42134308,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.625848285,0.180771206,Inf,1,-1.622504559,0.104695358,0.625848285,0.028883498,0.046150958,tumor16SProximity_v3,CHKA,175,0.026540284,6330,14,0.042944785,326,0.687299496,-0.676115127,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.950667631,0.414972006,Inf,1,-0.115899407,0.907732266,0.950667631,0.020389581,0.021447644,tumor16SProximity_v3,CHL1,119,0.017851501,6330,6,0.018404908,326,0.994964693,-0.072987056,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.597693801,0.078466854,Inf,1,-3.920369616,8.84E-05,0.597693801,0.140347366,0.234814826,tumor16SProximity_v3,CHMP1A,863,0.112638231,6330,69,0.159509202,326,0.015616308,-0.742521516,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.082582082,0.20059739,Inf,1,0.428229948,0.668483715,1.082582082,0.122234474,0.112910121,tumor16SProximity_v3,CHMP1B,763,0.09778831,6330,33,0.085889571,326,0.947293939,0.114476415,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.764562831,0.126105716,Inf,1,-1.627584513,0.103613015,0.764562831,0.110002169,0.143875904,tumor16SProximity_v3,CHMP2A,673,0.090679305,6330,42,0.113496933,326,0.687270021,-0.387293028,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.393341448,0.636678529,Inf,1,0.72592054,0.467887484,1.393341448,0.023774352,0.017062833,tumor16SProximity_v3,CHMP2B,146,0.022116904,6330,5,0.015337423,326,0.891939951,0.478548844,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.720212995,0.050156384,Inf,1,-4.712857089,2.44E-06,0.720212995,0.751311475,1.04317956,tumor16SProximity_v3,CHMP3,4848,0.371090047,6330,305,0.5,326,0.001006708,-0.473504465,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.607048685,0.180806394,Inf,1,-1.675859407,0.093765735,0.607048685,0.027236374,0.044866869,tumor16SProximity_v3,CHMP4A,167,0.02464455,6330,13,0.036809816,326,0.666428028,-0.720115871,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.995356485,0.163315051,Inf,1,-0.028366752,0.977369642,0.995356485,0.150340186,0.15104155,tumor16SProximity_v3,CHMP4B,955,0.114060032,6330,44,0.116564417,326,0.999992957,-0.006714779,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.626498208,0.169979636,Inf,1,-1.723479568,0.084801837,0.626498208,0.035444544,0.056575652,tumor16SProximity_v3,CHMP5,217,0.031437599,6330,16,0.04601227,326,0.659236849,-0.674617711,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.03254177,0.250061461,Inf,1,0.132229897,0.894802455,1.03254177,0.068520903,0.066361386,tumor16SProximity_v3,CHMP6,416,0.058451817,6330,19,0.055214724,326,0.992405593,0.046200144,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.575443448,0.187161909,Inf,1,-1.699054533,0.089308909,0.575443448,0.022075219,0.0383621,tumor16SProximity_v3,CHMP7,133,0.020221169,6330,11,0.033742331,326,0.66290762,-0.797253942,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.413092112,0.093008115,Inf,1,-3.926629507,8.61E-05,0.413092112,0.041647804,0.100819655,tumor16SProximity_v3,CHORDC1,250,0.036176935,6330,27,0.064417178,326,0.015616308,-1.275464583,P-adjust < 0.05
Within30micronTumor / Within30um16StumorHigh,2.172904343,1.275771971,Inf,1,1.321799155,0.18623504,2.172904343,0.022856875,0.010519043,tumor16SProximity_v3,CHPT1,138,0.021169036,6330,3,0.009202454,326,0.778133748,1.119624665,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.524053716,0.254362874,Inf,1,-1.331259999,0.183103475,0.524053716,0.009033434,0.01723761,tumor16SProximity_v3,CHRM1,54,0.008530806,6330,5,0.012269939,326,0.77347415,-0.932213398,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.671088958,0.279758049,Inf,1,-0.956777585,0.338679528,0.671088958,0.018776173,0.027978665,tumor16SProximity_v3,CHRM2,108,0.015955766,6330,8,0.018404908,326,0.850297735,-0.575424075,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.747557474,2.8021816,Inf,1,0.991010078,0.321680659,2.747557474,0.009607097,0.003496595,tumor16SProximity_v3,CHRM3,56,0.008846761,6330,1,0.003067485,326,0.847794617,1.45814966,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.704927486,1.021403023,Inf,1,0.890556704,0.373167035,1.704927486,0.017439407,0.010228826,tumor16SProximity_v3,CHRM5,103,0.015797788,6330,3,0.009202454,326,0.86144666,0.76971038,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.540915388,0.578081057,Inf,1,1.152530119,0.249103301,1.540915388,0.042409834,0.027522494,tumor16SProximity_v3,CHRNA4,253,0.036808847,6330,8,0.024539877,326,0.810524658,0.623787645,NS or |log2FC| < 1
