contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,1.124006057,0.316649004,Inf,1,0.414955803,0.678174258,1.124006057,0.054738989,0.048699906,tumor16SProximity_v3,ABCE1,334,0.046919431,6330,14,0.039877301,326,0.948457128,0.16864981,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.115335975,0.902898612,Inf,1,1.755278581,0.079211668,2.115335975,0.044174781,0.020883104,tumor16SProximity_v3,ABCG1,264,0.03728278,6330,6,0.018404908,326,0.649451636,1.080886823,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.216793621,0.37075359,Inf,1,0.643981073,0.519587707,1.216793621,0.05019747,0.04125389,tumor16SProximity_v3,ABHD12,303,0.042812006,6330,12,0.033742331,326,0.905218998,0.283084495,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.876172784,0.085849256,Inf,1,-1.349143934,0.177290739,0.876172784,0.436163952,0.497805867,tumor16SProximity_v3,ABHD2,2755,0.253870458,6330,146,0.279141104,326,0.764717654,-0.190712693,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.793744017,0.153237136,Inf,1,-1.196513596,0.231496196,0.793744017,0.088614969,0.111641747,tumor16SProximity_v3,ABHD3,540,0.072669826,6330,32,0.085889571,326,0.808538612,-0.333254283,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.248767835,0.411838328,Inf,1,0.673620964,0.500552322,1.248767835,0.042690791,0.034186331,tumor16SProximity_v3,ABHD5,261,0.037914692,6330,10,0.027607362,326,0.90172376,0.320505282,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.533609767,0.540867011,Inf,1,1.212513911,0.225315721,1.533609767,0.048061318,0.031338688,tumor16SProximity_v3,ABHD6,284,0.042338073,6330,9,0.027607362,326,0.806371976,0.61693143,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.319159746,0.380553492,Inf,1,0.960182029,0.33696361,1.319159746,0.059019536,0.044740249,tumor16SProximity_v3,ABI1,359,0.052448657,6330,13,0.039877301,326,0.850297735,0.39961928,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.862859702,0.725917013,Inf,1,1.596475643,0.110382639,1.862859702,0.04514787,0.024235786,tumor16SProximity_v3,ABI2,273,0.039810427,6330,7,0.021472393,326,0.696033072,0.897519024,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.080896933,0.447555356,Inf,1,0.187874544,0.850974998,1.080896933,0.026502977,0.02451943,tumor16SProximity_v3,ABI3BP,161,0.023380727,6330,7,0.021472393,326,0.984818003,0.112228964,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.02449866,0.236421616,Inf,1,0.104881826,0.91646958,1.02449866,0.082417456,0.080446622,tumor16SProximity_v3,ABL1,508,0.063981043,6330,24,0.052147239,326,0.994967651,0.034918097,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.193683139,0.398574572,Inf,1,0.5302244,0.595956356,1.193683139,0.040970372,0.034322653,tumor16SProximity_v3,ABL2,247,0.036492891,6330,10,0.030674847,326,0.9263506,0.255419927,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.709192739,0.118145247,Inf,1,-2.062702039,0.039140946,0.709192739,0.109049123,0.153765143,tumor16SProximity_v3,ABLIM1,684,0.087361769,6330,44,0.107361963,326,0.574739096,-0.495750329,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.829200175,0.169494206,Inf,1,-0.916278866,0.35952065,0.829200175,0.07859608,0.094785411,tumor16SProximity_v3,ABR,483,0.066508689,6330,28,0.079754601,326,0.854871761,-0.270207675,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.879687015,0.346856831,Inf,1,-0.325109026,0.745098558,0.879687015,0.026972744,0.030661751,tumor16SProximity_v3,ABRAXAS1,153,0.021484992,6330,9,0.024539877,326,0.962230893,-0.184937779,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.711890692,0.784164933,Inf,1,1.173617571,0.24054824,1.711890692,0.029854491,0.017439484,tumor16SProximity_v3,ABRAXAS2,182,0.027804107,6330,5,0.012269939,326,0.80881502,0.775590585,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.247796848,0.408772747,Inf,1,0.675770616,0.499186294,1.247796848,0.04374847,0.035060571,tumor16SProximity_v3,ACAA1,267,0.038546603,6330,10,0.030674847,326,0.901473333,0.319383071,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.71581659,0.266988066,Inf,1,-0.896369257,0.370055581,0.71581659,0.01899357,0.02653413,tumor16SProximity_v3,ACAA2,118,0.017851501,6330,8,0.021472393,326,0.860841042,-0.482338115,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.057173828,0.223149004,Inf,1,0.26340231,0.79224051,1.057173828,0.097280914,0.092019791,tumor16SProximity_v3,ACACA,602,0.077251185,6330,27,0.076687117,326,0.974772008,0.080212614,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.016808024,0.4447639,Inf,1,0.038106722,0.969602592,1.016808024,0.02271356,0.0223381,tumor16SProximity_v3,ACACB,130,0.019273302,6330,7,0.021472393,326,0.999992957,0.024047321,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.680048716,0.142015698,Inf,1,-1.846419516,0.064831316,0.680048716,0.062535744,0.091957741,tumor16SProximity_v3,ACAD9,384,0.05450237,6330,27,0.076687117,326,0.625762823,-0.556289995,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.090355432,0.401211234,Inf,1,0.235087657,0.814140698,1.090355432,0.03045844,0.027934414,tumor16SProximity_v3,ACADM,186,0.028278041,6330,8,0.024539877,326,0.978606194,0.124798499,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.098557566,0.356033288,Inf,1,0.290035326,0.771789212,1.098557566,0.041493955,0.037771307,tumor16SProximity_v3,ACADS,247,0.035229068,6330,11,0.033742331,326,0.971169737,0.13561047,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.748553973,0.100420572,Inf,1,-2.158822505,0.03086394,0.748553973,0.188336015,0.25159978,tumor16SProximity_v3,ACADVL,1177,0.136334913,6330,74,0.174846626,326,0.564058564,-0.417821752,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.900068803,0.243185974,Inf,1,-0.389672587,0.69677867,0.900068803,0.047307242,0.052559584,tumor16SProximity_v3,ACAP2,288,0.042496051,6330,15,0.04601227,326,0.952901608,-0.151892806,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.727066036,0.172065133,Inf,1,-1.346836221,0.178032986,0.727066036,0.053962915,0.074220102,tumor16SProximity_v3,ACAP3,331,0.04628752,6330,22,0.058282209,326,0.765901129,-0.459841691,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.906644387,0.292046161,Inf,1,-0.30425213,0.760935812,0.906644387,0.034068356,0.037576315,tumor16SProximity_v3,ACAT1,206,0.030489731,6330,11,0.033742331,326,0.966464761,-0.141391301,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.707681285,0.280245561,Inf,1,-0.873123221,0.382595918,0.707681285,0.017433956,0.024635321,tumor16SProximity_v3,ACAT2,105,0.016271722,6330,7,0.021472393,326,0.867726763,-0.498828328,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.981940403,0.344964862,Inf,1,-0.051876392,0.958627186,0.981940403,0.030260693,0.03081724,tumor16SProximity_v3,ACBD5,186,0.027014218,6330,9,0.027607362,326,0.999992957,-0.02629263,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.579800637,0.138650454,Inf,1,-2.27934697,0.022646448,0.579800637,0.043053945,0.074256464,tumor16SProximity_v3,ACBD6,263,0.037914692,6330,21,0.052147239,326,0.537906784,-0.786371176,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.984976792,0.732756039,Inf,1,1.857254464,0.06327496,1.984976792,0.053588293,0.026996937,tumor16SProximity_v3,ACD,327,0.047551343,6330,8,0.024539877,326,0.625703704,0.98912214,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.99983807,0.343440088,Inf,1,-0.000471456,0.999623832,0.99983807,0.037860753,0.037866885,tumor16SProximity_v3,ACE,217,0.030963665,6330,11,0.027607362,326,0.999992957,-0.000233635,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.829350882,0.288145413,Inf,1,-0.53855261,0.590195594,0.829350882,0.027844961,0.033574403,tumor16SProximity_v3,ACE2,166,0.024960506,6330,10,0.030674847,326,0.9263506,-0.269945488,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.029802582,0.381263255,Inf,1,0.07932139,0.936776993,1.029802582,0.028567123,0.027740388,tumor16SProximity_v3,ACER2,171,0.026382306,6330,8,0.024539877,326,0.997615051,0.042367792,NS or |log2FC| < 1
