Gene,Astroglial,B cell,Dendritic,Endothelial,Macrophage/Microglia,Mast cell,MSC-like,Neutrophil,NK cell,Pericyte/vSMC,T cell CD4,T cell CD8,T cell regulatory,T9,T4,T8,T2,T6,T5,T3,T1,T7
Parvimonas micra,0.37530308,0.296431706,0.687357138,0.292763465,0.208266968,1,0.180286929,0.171074364,0.501857651,0.41437944,0.083520356,0.501891558,0.714598595,0.148027177,0.61690735,0.045930154,0.204105269,0.237683863,0.310877386,0.265393618,0.288049914,0.111448703
OLIG2,0.288329739,0.175393478,0.316350777,0.332922543,0.160951215,0.3626984,0.136412197,0.377441848,0.349557598,0.133182051,0.058521499,1,0.244883463,0.190930164,0.473244787,0.107060842,0.353847847,0.185484522,0.225994391,0.174793855,0.193737159,0.136178806
CNP,1,0.244060324,0.101864511,0.282286872,0.285521482,0.280894047,0.211118053,0.267913158,0.234705684,0.257913134,0.545919329,0.908165605,0.331310259,0.191516512,0.226471688,0.193950089,0.181898011,0.30036586,0.299714519,0.29201415,0.293722636,0.215775337
SLC1A3,0.23685742,0.272414494,0.46468721,0.309625584,1,0.162839039,0.448217482,0.12050251,0.162751477,0.276882605,0.522816365,0,0.295622394,0.151003068,0.187167027,0.138271274,0.130997193,0.061813821,0.122147296,0.052314985,0.100908473,0.168742498
AIF1,0.420220169,0.385510264,0.416297411,0.350044241,1,0.143508944,0.608036788,0.740202502,0.298943204,0.277912585,0.950931303,0,0.198734435,0.158322005,0.497513567,0.150102383,0.304513762,0.157275005,0.275229048,0.146506354,0.190969458,0.105980618
ITGAM,0.24157223,0.26934168,0.467344362,0.32269647,0.998318497,0.479432161,0.380218884,1,0.43327475,0.224075104,0.47726368,0,0.261988192,0.236812678,0.542272388,0.154700589,0.509719758,0.219428647,0.280966862,0.174155267,0.301887062,0.075193783
CD68,0.169930062,0.328001419,0.389156638,0.090414618,1,0.097308182,0.205146735,0.132087708,0.132244632,0.127601131,0.14664153,0.295257347,0.35680243,0.084298119,0.139527247,0.0587298,0.097985148,0.050591376,0.113824114,0.088410931,0.065143947,0.038051176
TMEM119,0.281708131,0.263034965,0.739365358,0.022183215,0.450766099,0.200871377,0.589780206,0.401957,0.520253428,0.38409656,0.361033404,0.211995968,1,0.197167632,0.351088746,0.250688944,0.338738657,0.289647855,0.395575392,0.208553894,0.319333205,0.18123841
RBFOX3,0.480182527,0.142882959,0.277363018,0.836035921,0.265394709,0.452678348,0.396608122,0.071243867,0.4044791,0.139832871,0.7202225,1,0.149927592,0.162141614,0.443923596,0.079973188,0.460157872,0.162751028,0.376917206,0.225228822,0.229558449,0.16130802
TJP1,0.475732488,0.230495286,0.635900977,1,0.25093521,0,0.600464642,0.865267955,0.612880333,0.906532234,0,0.390968949,0.683516648,0.378966831,0.704262632,0.705384547,0.500420016,0.665776642,0.559095968,0.437773873,0.385509204,0.645049851
SLC2A1,0.140449271,0.077086625,0.021990709,0.075438649,0.094291438,0.16503879,0.083896229,0.206610309,0.11097698,0.195894307,0.084044708,0.02916349,0.122816586,0.171641135,0.1104092,0.326368753,0.209373335,0.045250639,0.078345054,1,0.220191685,0.197807972
ABCB1,0.26965793,0.302618058,0.435716913,0.905099173,0.228019962,0.583459814,0.233868199,0.576789769,0.487383768,0.711775537,0,0,0.083759648,0.149931016,0.55465796,0.154664214,0.329265459,0.462648758,1,0.171864589,0.189077857,0.111892173
PDGFRB,0.114233732,0.11582045,0.141701583,0.063159503,0.096545147,0.033175715,0.457151231,0.133422187,0.114770151,1,0.163372501,0.054731123,0.218622468,0.034516601,0.154639152,0.034517443,0.105882814,0.047568482,0.117247568,0.040916358,0.057248262,0.033805154
MHC I,0.283011495,0.256198318,0.170207037,0.152506345,0.418773156,0.112589978,0.218792718,0.120989955,0.149125263,0.296711329,0.294886569,0.298067402,0.182168928,0.110756582,0.054943255,0.465593829,0.07193694,1,0.18014729,0.046506175,0.382068416,0.144839552
CD1C,0.170702306,0.233250611,0.4982422,0.669422408,0.42839193,0.417229865,0.238123681,1,0.29570721,0.299743101,0.246740273,0,0,0.201240978,0.964039693,0.143548987,0.671544231,0.304833045,0.446069984,0.235845034,0.332577505,0.153451434
CLEC10A,0.096904725,0.297458438,0.667178743,0.111843628,0.352142819,0.696155259,0.281327338,0.216257243,0.254860078,0.153365999,1,0,0.075228434,0.144210364,0.284439803,0.22158596,0.228435801,0.163864163,0.234204716,0.175413764,0.194034168,0.101817002
ITGAX,0.303255281,0.196907883,0.784040609,0,0.819373213,0.769740271,0.159480548,1,0.475343057,0.141931261,0.293435049,0.541119539,0,0.108932999,0.552612825,0.128639663,0.266074555,0.092940284,0.238765333,0.119580471,0.156601194,0.093590274
CEACAM8,0.4195401,0.323476141,0.795423974,0.712597783,0.229016027,0.993802153,0.264094664,0.765207913,0.610308993,0.246934208,0.059461062,0,0.465159158,0.266095656,0.647386854,0.111038187,0.646863114,0.300014543,1,0.225818734,0.454488047,0.066940444
ELANE,0.197258279,0.191943983,0.446704303,0.242266748,0.175939604,0,0.261636796,0.841824206,0.306813861,0.285777281,1,0,0.489360663,0.179159662,0.265371821,0.151753749,0.738015736,0.307683618,0.420233432,0.219427156,0.387403416,0.123997532
NCAM1,0.418696052,0.096563502,0.227311159,0.58427481,0.061335741,0.14004827,0.211471556,0.100859346,0.191134407,0.110141124,0.059609906,1,0.589251397,0.07602576,0.280363396,0.063092551,0.408426281,0.624651761,0.100988108,0.052083172,0.077866447,0.051048258
KLRC1/2,0.2970439,0.317072136,0.607497947,0.098210113,0.342330282,0,0.260407213,0.282039156,0.894498865,0.261289953,0.343972046,0,0.583195848,0.440566551,1,0.108313584,0.83937825,0.436151188,0.257232991,0.239408195,0.335814066,0.142328066
