Gene,Astroglial,B cell,Dendritic,Endothelial,Macrophage/Microglia,Mast cell,MSC-like,Neutrophil,NK cell,Pericyte/vSMC,T cell CD4,T cell CD8,T cell regulatory,T9,T4,T8,T2,T6,T5,T3,T1,T7
VWF,0.032035925,0.132093676,0.012220933,0.581593666,0.054126691,0.013440473,0.038690259,0.11285451,0.077868714,1,0.038002475,0.042035434,0.048443604,0.035225424,0.055888074,0.031992634,0.055043969,0.031807037,0.044353749,0.031688903,0.040881468,0.017766838
RGS5,0.029184461,0.085713685,0.051266091,0.462749742,0.126052616,0.029315995,0.09489908,0.029747165,0.068159692,1,0.033812668,0,0.047242911,0.0295746,0.068737444,0.026548346,0.054316458,0.040102095,0.045074292,0.026864088,0.027195535,0.022330828
IL7R,0.043220404,0.104056733,0.062575104,0.015610422,0.060105239,0.064922301,0.040880596,0.025094408,0.153063123,0.027319222,1,0.059594661,0.076497988,0.028428212,0.058249009,0.028993185,0.025681562,0.024537243,0.036243931,0.018075079,0.032101271,0.020261878
CD40LG,0.013948761,0.022424328,0.123178925,0.018963015,0.034583577,0.097790115,0.048352081,0.113652133,0.064490055,0.037356406,1,0,0.035480304,0.026319888,0.066484073,0.03483899,0.063610576,0.041866074,0.071681396,0.027425953,0.051475357,0.027403722
CD3D,0.057474289,0.062479536,0.112047763,0.037291256,0.038338448,0.061704358,0.069958957,0.082272102,0.166610309,0.075934835,0.85176995,1,0.398364111,0.058214648,0.071205764,0.049580285,0.090297279,0.046576802,0.086826208,0.044666593,0.060174185,0.025544378
SPOCK2,0.234959176,0.173049422,0.110499869,0.233249665,0.078850622,0.206077308,0.063529094,0.114799126,0.297762625,0.196151257,1,0.750390856,0.91517346,0.073603768,0.113396797,0.185047965,0.103231874,0.07010423,0.058601714,0.055610593,0.139220417,0.091536495
C1QC,0.139956163,0.172753187,0.112864429,0.010814159,1,0.044994478,0.153223932,0.007786489,0.052403998,0.095837363,0.155656868,0.059461932,0.009098158,0.037866402,0.015675506,0.051605639,0.022226605,0.013111091,0.018574752,0.010709024,0.019317703,0.019030807
C1QB,0.165749511,0.184694764,0.250686709,0.008630414,1,0.020514273,0.195005677,0.005447974,0.059376175,0.120444243,0.098206161,0,0.02140675,0.038538137,0.02849969,0.040391524,0.018751645,0.014945466,0.01428452,0.01121961,0.023136792,0.017875769
CD163,0.183322956,0.217345881,0.346232259,0.011922691,1,0,0.167561502,0.017074654,0.054596022,0.056260308,0.11706677,0,0.046026327,0.029135841,0.050558281,0.031862873,0.036471432,0.011794192,0.026270315,0.020268503,0.024756851,0.019513842
C1QA,0.160898223,0.283433102,0.265003135,0.009216667,1,0.041787687,0.226445637,0.025031159,0.085114824,0.106346879,0.108698884,0.022363033,0.043883554,0.041670976,0.020273967,0.04618246,0.027489978,0.011086207,0.025421612,0.020488423,0.022830207,0.016774673
VSIG4,0.162813439,0.195715386,0.138705561,0.088942634,1,0.066313932,0.185971048,0.096670091,0.103729566,0.074127036,0.279312201,0,0.018222093,0.045671184,0.07494592,0.022781926,0.040228243,0.017402218,0.049627963,0.0214968,0.028643014,0.023604478
SLPI,0.037620581,0.009012301,0.006181094,0.007571153,0.03869701,0.004987877,0.01558237,0.038503315,0.014528233,0.017237248,0.004382236,0.008024217,0.007986126,0.098567578,0.023478274,0.163082109,0.032646452,0.010831728,0.043046864,0.011284362,0.041698649,1
MSLN,0.094015553,0.01715176,0.026482803,0.099174098,0.070346995,0.083011317,0.023423162,0.05479022,0.056238583,0.022350304,0.014548608,0,0.04440665,0.02221357,0.073717953,0.108942135,0.031641814,0.020019109,0.035684102,0.02566373,0.032962799,1
KRT5,0.054575721,0.010443387,0.020304116,0.058394647,0.049995312,0,0.031907302,0.012820064,0.047733141,0.023640707,0.025090046,0.087482841,0.045200709,0.021643165,0.054558466,0.018221993,0.050781323,0.016748149,0.042965255,0.06397018,0.019356297,1
CHI3L1,0.543355068,0.034269445,0.020612864,0.100723119,0.078414159,0.02754065,0.049744567,0.007620953,0.033011573,0.027678313,0.043389765,0.106205072,0.028362888,0.036772184,0.032767119,0.192724272,0.071367648,0.036044426,0.03030297,0.024551254,0.034906537,1
ASS1,0.081099635,0.043033167,0.055162422,0.040197693,0.049438557,0.110952836,0.048088581,0.06784973,0.051270329,0.056557043,0.040211032,0.054810461,0.165231529,0.076965667,0.039929269,0.232106197,0.110142873,0.056047887,0.050204411,0.024687113,0.055231115,1
CXCL8,0.065918277,0.03317599,0.027171484,0.052071995,0.073966628,0.033977228,0.051750662,1,0.056330708,0.022546207,0.015154593,0,0.021484439,0.027902259,0.059155995,0.035864088,0.038632225,0.017786972,0.038548188,0.017992634,0.059568544,0.020139238
CSF3R,0.065809626,0.055567844,0.134657001,0.057714172,0.177058373,0.066598724,0.043549977,1,0.079249346,0.052509257,0.01223021,0,0.051302705,0.04022255,0.092713643,0.022355076,0.051750763,0.024355365,0.036397373,0.021289655,0.034010755,0.055923461
S100A9,0.067856847,0.048693498,0.051687755,0.058237213,0.161744632,0.03708401,0.064251313,1,0.084338949,0.042510392,0.043864214,0,0.120107189,0.059200419,0.107239857,0.022330998,0.046933596,0.029202885,0.047058587,0.047133538,0.054613644,0.095389123
S100A8,0.040989746,0.021565419,0.008298175,0.069012516,0.118600329,0.049608929,0.063865611,1,0.082700586,0.046887095,0.045651527,0.024804697,0.022929938,0.028889253,0.159716633,0.033160821,0.077178303,0.022938045,0.059291891,0.12527969,0.03678384,0.05587585
IL1R2,0.112514548,0.052765162,0.083116032,0.015451674,0.140341058,0.041747056,0.060961681,1,0.175025562,0.075293345,0.096932304,0,0.473980659,0.064123717,0.147347842,0.066009866,0.078572919,0.156569951,0.114319983,0.040532949,0.110855098,0.203366342
PLP1,1,0.096365865,0.099025456,0.060563738,0.136408975,0.067827366,0.09329565,0.048046172,0.075086057,0.043438684,0.196239554,0.180774476,0.099111285,0.033311478,0.127511028,0.026984587,0.057316487,0.030157401,0.054816288,0.029973291,0.045782053,0.018668209
CRYAB,1,0.085237632,0.075397851,0.073734965,0.100265712,0,0.136333657,0.038882069,0.071705625,0.072472529,0.032726503,0,0,0.033263008,0.067313294,0.028905489,0.082307405,0.039733769,0.117903594,0.041126275,0.054863697,0.110415373
GFAP,1,0.224738716,0.184751842,0.087896849,0.128051448,0.183977895,0.153621043,0.164452529,0.232128234,0.139347463,0.065077136,0.171279167,0.292074243,0.032166236,0.350019105,0.006452928,0.03876356,0.028419105,0.071666167,0.072062084,0.031832656,0.019065608
MBP,1,0.131341122,0.272180359,0.067744613,0.253925071,0.158818037,0.27382753,0.174898462,0.233743704,0.097720788,0.216046109,0.656627777,0.453864851,0.0380794,0.630614152,0.029026822,0.068946589,0.057283005,0.045230806,0.041672416,0.078089568,0.055297147
GPM6B,1,0.148864752,0.006925147,0.433557267,0.253600457,0,0.257677825,0.343003128,0.28597684,0.285685701,0.182507287,0.96885475,0.529971786,0.143664264,0.184037698,0.201229223,0.155573142,0.142916961,0.166994145,0.11109279,0.128213002,0.10179745
TFF3,0.243500944,0.015792336,0.031302014,0.025840778,0.049660394,0.017812298,0.037244706,0.061204178,0.036600177,0.016603777,0.037414108,0.009003462,0.048647084,0.042927747,0.017381224,0.004705806,0.117443025,0.022594726,0.009994365,0.076283221,1,0.01058241
LCN2,0.316052853,0.007420129,0.012346483,0.023575801,0.054018945,0.014967596,0.048035378,0.023965166,0.02004947,0.015987639,0.010928648,0.117570654,0.041692814,0.038661352,0.050973399,0.288055044,0.039657685,0.010527055,0.020005841,0.010315847,1,0.118981173
ERBB2,0.253976019,0.012088719,0.01149478,0.009088477,0.026517663,0.018098873,0.032775386,0.008708738,0.014953277,0.010107144,0.02100458,0.008451578,0.022067072,0.03384277,0.016699044,0.015563138,0.02164427,0.005709624,0.018926839,0.123874401,1,0.022158956
IKZF3,0.27488788,0.094122019,0.084945399,0.111574128,0.116037468,0.151496808,0.053196687,0.236297781,0.136246266,0.046916369,0.14409014,0.658205239,0.132718674,0.037766659,0.103293509,0.027560548,0.050768429,0.035151375,0.050445036,0.036012792,1,0.01359411
TCAP,0.278733253,0.031554872,0.13859716,0.126234568,0.09327338,0.080056236,0.046241263,0.155064025,0.120778202,0.061853019,0.13118849,0.081311299,0.03607917,0.028245657,0.055896443,0.025093738,0.06425523,0.044107971,0.079951991,0.048915995,1,0.018985347
CDH5,0.050790401,0.056732601,0.104461226,1,0.034885753,0,0.047741136,0.126607193,0.170251757,0.220204223,0.057589663,0.054590201,0,0.037358871,0.150037651,0.01744567,0.095036705,0.021131813,0.043703077,0.033236955,0.080068359,0.016912179
CD34,0.049018618,0.040933042,0.039256422,1,0.043590636,0.19838909,0.06064942,0.113943047,0.072028194,0.285662216,0,0.172523586,0.063519688,0.058349437,0.08035585,0.029760356,0.098108969,0.04593094,0.070785371,0.033815384,0.047007062,0.022453469
RAMP2,0.094216836,0.079417515,0.112311184,1,0.068777592,0.072807785,0.065970242,0.049409,0.165059773,0.243461444,0.075475329,0.299952904,0,0.034393505,0.091116026,0.038258941,0.103679935,0.080336764,0.111818602,0.051264466,0.065238534,0.028392137
