contrast,p.value,fold_change,counts_1,ncells_1,counts_2,ncells_2,target
16Spos_tumor / 16Sneg_tumor,0.807643461,0.91901465,9,164,1583,39686,SSR3
16Spos_tumor / 16Sneg_tumor,0.337131015,0.6401109,5,164,965,39686,SST
16Spos_tumor / 16Sneg_tumor,0.92257678,1.038103679,8,164,1009,39686,SSTR1
16Spos_tumor / 16Sneg_tumor,0.806150715,0.906559846,7,164,976,39686,SSTR2
16Spos_tumor / 16Sneg_tumor,0.67277646,0.778716532,3,164,525,39686,SSTR3
16Spos_tumor / 16Sneg_tumor,0.730348898,1.127756097,10,164,1216,39686,SSTR4
16Spos_tumor / 16Sneg_tumor,0.617648649,0.827540329,8,164,1379,39686,SSTR5
16Spos_tumor / 16Sneg_tumor,0.754795389,0.798561961,2,164,312,39686,SSX4
16Spos_tumor / 16Sneg_tumor,0.862968026,1.112464208,3,164,400,39686,ST18
16Spos_tumor / 16Sneg_tumor,0.617060728,0.832889785,9,164,1093,39686,ST3GAL6
16Spos_tumor / 16Sneg_tumor,0.856446751,0.910466676,4,164,516,39686,ST6GAL1
16Spos_tumor / 16Sneg_tumor,0.652481036,0.788188232,4,164,596,39686,ST6GAL2
16Spos_tumor / 16Sneg_tumor,0.871917601,0.938132586,8,164,986,39686,ST6GALNAC3
16Spos_tumor / 16Sneg_tumor,0.049291779,0.30991255,3,164,1069,39686,ST8SIA1
16Spos_tumor / 16Sneg_tumor,0.414558299,1.237874261,19,164,1459,39686,STAG1
16Spos_tumor / 16Sneg_tumor,0.050361246,1.482710272,31,164,2140,39686,STAG2
16Spos_tumor / 16Sneg_tumor,0.119482017,0.659313857,16,164,2915,39686,STAM
16Spos_tumor / 16Sneg_tumor,0.324756536,1.287722864,18,164,1624,39686,STAM2
16Spos_tumor / 16Sneg_tumor,0.415805141,0.782605717,12,164,1903,39686,STAMBP
16Spos_tumor / 16Sneg_tumor,0.88614068,0.946719097,8,164,1046,39686,STAMBPL1
16Spos_tumor / 16Sneg_tumor,0.002764288,1.682474979,40,164,4096,39686,STARD10
16Spos_tumor / 16Sneg_tumor,0.79449836,1.055903949,32,164,4803,39686,STARD3
16Spos_tumor / 16Sneg_tumor,0.660268205,1.124735297,16,164,1649,39686,STARD3NL
