Genus
Acidovorax
Aeromonas
Campylobacter
Corynebacterium
Enterocloster
Klebsiella
Lachnoanaerobaculum
Ligilactobacillus
Micrococcus
Mogibacterium
Neisseria
Phascolarctobacterium
Pseudomonas
Schaalia
Serratia
Streptococcus
