feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1564	X1561	X1531	X1526	X1536	X1457	X1458	X1528	X1411	X1469	X1468	X2016	X2036	X2043	X2047	X2048	X2053	X1343	X1341	X2524	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9649	X9418	X9416	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19317	X19300	X5989	X6001	X6055	X6067	X8000	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8026	X8025	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X5934	X7285	X7298	X4303	X4482	X4481	X4494	X5266	X5265	X7281	X5285	X5273	X7282	X4498	X3934	X3920	X3922	X3931	X6653	X749	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5884	X5880	X5898	X19882	X19831	X19850	X19800	X14387	X14348	X14386	X969	X985	X14784	X17008	X17007	X15903	X16955	X15897	X17130	X15888	X15887	X15878	X15874	X15875	X15872	X15877	X17167	X17168	X17153	X17154	X17151	X17132	X17137	X15892	X17248	X17234	X17300	X15494	X17291	X16971	X16988	X16987
BM-2020-105-SL	0	0	272	0	0	2525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10159	0	831	897	0	3769	26842	0	14779	0	0	10371	0	0	0	0	19741	0	0	0	0	0	0	0	0	4935	1004	1331	11626	501	0	0	0	0	3212	76086	0	244	319	0	0	287	0	0	5188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10700	0	12897	2544	0	100	0	125	0	0	0	0	0	0	0	0	0	120	0	0	108	4172	0	0	11911	10702	1032	0	35847	0	0	570	0	110	0	19154	11971	0	460	5582	0	637	0	1957	0	0	608425	87053	1753
GBM-BM-298-SL	0	18990	7514	0	226310	12015086	0	116972	24191	218337	0	6200	0	0	73443	5929	2262	831	3819	25193	249165	0	32286	69619	0	39808	0	0	0	14762	894478	1337	51367	9597	0	33367	198851	10949	202	5543	0	75132	1025	902378	17309	0	0	210053	0	386	478	0	2336	0	0	702843	15460	256616	617	20601	4829	0	0	358	0	384208	0	3223	83079	100060	0	1331	0	10593	28924	20223	83019	9399	587388	763355	5943	0	15424	135820	0	32867	10205	456	2831	0	142	130730	758016	0	2561695	288241	0	23845	538	2800	3310	0	1754	886	45009	0	0	5435	0	93093	213	0	0	5576	0	0	0	51790	0	0	3721	0	195	0	2027	0	9044	62465	110422	1364	94223	140586	0	0	0	3860	0	0	903193	40688	0
02-2020-53-SL	10649	8178	110515	6741	22847	5563695	6881	29563	22326	97116	12402	10894	22	0	0	0	137373	15	0	0	56535	0	0	209834	0	26871	0	42	0	13914	382551	274722	13560	35730	0	38109	860884	16005	19577	2743	102984	11709	3418	161433	2677560	200657	83840	54982	3400	1869	7502	4304	0	1902	819	189889	4006	0	83428	5057	6173	0	1498	0	0	60640	0	42881	414301	8543	0	6203	0	0	12172	19401	110041	9164	48406	0	14221	0	47772	235877	1184	40459	43758	0	763	29	0	107623	152340	559009	508424	235271	2466	13115	4424	9647	28041	7287	3000	506	7	360	2086	28962	0	55270	1637	0	2480	5226	4369	13154	0	0	10850	472	2973	4101	70	3410	15909	736	0	4747	11927	831	3471	14187	5931	0	5824	21602	0	129	260049	16702	3273
02-2020-56-SL	4620	14017	351032	2977	51920	8828630	318599	706165	911	0	101111	6422	0	1687	34114	0	0	0	1485	0	10348	1087	0	0	487	6506	1409	0	0	1589	2879	1272	20702	2062	0	1693	1024611	0	0	1087	59726	2007	0	1934	20689	0	1180	30446	0	2358	394	0	0	0	0	576	8462	2960	0	0	0	0	0	0	0	78988	231	0	142095	506	0	174	0	0	5515	7343	183101	0	4692	39352	43466	0	2782	21933	197	4418	25932	847	5745	601	0	15181	269185	7331	2194085	12639	0	187354	146	18	11370	333	522	631	15804	0	0	19949	0	100498	636	0	239	0	0	0	0	31963	0	0	2779	0	0	0	3794	245208	86423	109414	83999	0	24413	71236	1862	0	0	10173	0	0	3288464	9655	1138
02-2020-18-SL	0	6899	73243	39632	2890	584474	0	8298	3452	0	37760	0	0	0	51231	470	0	0	48276	19798	0	0	9083	11427	3579	0	2737	2747	6275	6419	129683	20068	12342	0	51818	28139	1160981	0	1639	6100	164627	16032	3141	381307	49157	455435	0	143343	2652	2316	1311	1888	0	0	0	730794	1185561	848	55029	1295769	37403	11758	13854	2758	0	1989047	19018	161148	321931	56041	313258	3544	0	0	15910	44191	12262	0	16806	95331	45	0	0	61505	73	51107	144911	0	56366	0	10484	64528	503126	540254	395994	33851	0	152147	3995	0	1777	520	1352	359	124510	4551	0	17375	1710	90155	0	2032	214	0	0	0	4085	1331835	20331	2529	18045	0	0	0	4720	786057	937749	712	0	4401	141270	83831	198	0	2207	0	0	0	8306411	45752	35972
02-2020-55-SL	0	56675	130054	2470	7389	1130729	5272765	0	23403	0	0	15305	7069	0	2784	0	743	4840	5872	0	0	0	0	0	83	0	3382	0	0	2582	19058	2673	1072	7983	0	1599	700088	0	0	0	139778	0	2309	96952	160065	15131	11132	92607	0	2244	7418	2004	0	0	0	374428	156001	1797	4590	7766	0	0	3344	5723	4231	236253	0	0	64863	0	0	0	0	0	0	0	464847	0	0	129927	0	2043	52837	121544	349	0	0	2406	16002	3864	1851	0	574860	904	1537154	174968	1734	106271	5278	0	42953	1636	4646	6291	0	3255	8699	37456	7841	247490	11276	51	0	0	3439	702	0	0	2554	0	8888	2006	5340	4491	14074	1760	0	3125	25644	108	384	149074	912	0	4291	0	7223	1032	3171388	38824	15896
02-2020-44-SL	3818	32269	171081	47297	83593	693849	3703969	2462	67562	43993	1309	10834	0	0	10565	7156	72	1823	2225	0	15228	419	0	18348	181	3994	0	982	274	1690	12290	11073	7410	762	0	6279	86185	0	0	0	40471	2172	0	70940	34735	6571	0	69176	0	751	0	0	0	0	0	363	74026	5260	0	60626	0	0	178	0	0	0	0	0	62615	12235	2622	0	0	0	0	1421	223047	1693	20603	85980	0	0	0	29481	435	6926	84066	0	3091	107	0	0	80232	84793	787885	133571	926	336495	900	0	26980	1092	1665	0	38857	9641	0	7087	607	141452	3953	6358	0	0	0	2789	0	49140	4578	0	12600	0	0	2158	134	261477	201337	75795	4648	1667	57640	8077	0	788300	17622	10928	34316	1678	501893	5869	4416
02-2020-28-SL	0	0	299809	4696	70	2329333	2714609	0	0	0	45785	19694	729	31011	0	0	0	0	1637	0	0	0	0	0	0	18483	0	252	5699	1545	58923	25429	31464	6303	2511	48563	42653	0	2632	0	147518	35457	0	0	0	0	0	35447	0	1713	0	0	0	0	0	13220	139138	402	0	0	0	0	0	0	0	0	0	0	96390	82332	46192	0	2899	0	0	2617	143558	0	45553	21782	0	0	0	0	0	0	690	0	0	19	0	796	19015	0	1604461	388894	709	379113	0	0	5628	0	0	0	1051	913	0	1287	0	67363	0	3062	0	0	0	0	6467	1237	12298	0	0	0	0	0	0	162	1294	119	0	0	47325	138950	0	0	694	0	8644	0	1317536	676	6086
02-2020-41-SL	0	12356	0	0	8147	49	542	0	3050	0	0	17823	0	0	0	29353	0	0	1298	32401	0	0	11572	248939	0	21174	0	0	0	11070	24155	30779	6762	0	46119	14816	216775	0	27956	447	1806719	11512	590	376748	644029	0	1616	5099	0	0	26668	569	0	0	0	0	0	6307	0	21480	0	0	224	0	0	0	267498	6326	24579	0	104192	0	0	0	5253	0	0	0	24421	3980	0	0	0	0	0	81858	0	0	0	0	0	4639	0	340448	0	48900	0	0	0	53	0	0	0	0	15	0	0	0	0	0	36	0	1691	5663	0	3471	9971	0	146417	0	13564	0	0	0	0	7120	0	787	0	0	0	3591	2264	0	0	0	0	0	392419	2912	169022
02-2020-16-SL	42738	10037	121150	60619	35398	221494	191963	1171446	40250	127503	221855	6371	0	752	54124	0	98505	1559	3650	0	1359	0	0	13322	0	88125	0	965	150	208	0	391036	63021	0	0	0	9516	0	0	9047	36088	1187	0	191405	186259	0	0	71320	0	11259	0	54	1392	1709	0	224297	2954	108	143	5276	0	1808	0	0	0	46417	0	5147	43303	70021	0	7667	0	0	0	9016	92898	0	0	0	20524	1779	687	55893	0	65336	87867	0	14323	0	0	6665	259834	47628	365781	332250	0	108676	2030	92322	33039	10856	1559	1359	14192	0	0	0	0	39846	14034	0	2368	6872	0	0	47875	85312	34753	98752	10313	26339	1486	58050	45483	0	0	180333	0	40780	6164	44792	18701	13367	110	12894	24697	0	340918	69732	0
02-2020-26-SL	0	33759	46860	3783	19355	173030	432783	42584	45440	0	29279	21306	10862	0	13272	0	1742	10868	21253	76	11419	6228	0	374562	0	79204	9316	0	1100	10008	1073721	29847	0	0	0	704933	33285	0	0	0	0	451810	0	0	959661	0	0	37710	0	3953	0	12158	0	0	0	0	1225	0	0	0	2798	0	719	22607	0	7800	0	0	9258	32771	0	0	152	0	0	0	20395	30756	3980	0	5098	0	0	23898	570	88	0	3119	0	2392	3487	0	1165	733	16388	504890	10623	6512	3969	0	0	0	0	126	0	2367	4180	2925	1522	130	927	0	0	0	2505	5252	2277	0	0	0	3971	0	189	0	6032	0	0	0	0	0	0	1498	0	141	1047	499	15887	4855	0	1524	0
02-2020-29-SL	0	0	53302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55202	0	23648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977627	0	0	0	33169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110305	18634	602129	592946	0	73542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-37-SL	2083	11991	89049	8516	30879	435512	779425	165851	8928	153048	196432	12538	0	0	33983	3136	15883	0	0	0	73771	3694	34620	40381	0	19106	0	4503	6570	8447	69796	69002	51593	13349	25259	22019	227081	15677	4739	10500	891815	4211	12825	261676	11102	19026	1973	63715	5261	5159	9828	5276	6825	0	1458	58015	54552	58263	125286	80919	38810	8140	1059	0	1450	107356	18035	20837	26010	13680	32796	20208	183	0	486	112789	63405	14220	11703	3865	50579	0	23976	440508	0	72810	166759	0	7311	1057	0	30239	378048	146631	499584	401586	0	73970	1494	6566	19081	355	3277	16202	121033	0	0	21543	0	116118	0	0	6785	196520	0	0	0	51617	60854	6403	145031	528	0	87656	21282	33801	0	10114	15416	15479	25304	10281	2093	0	0	0	2212	0	427989	95108	25151
02-2020-13-SL	0	4802	20704	0	7009	57201	0	53503	0	1052	82183	214	0	0	432012	4951	7909	64	0	167899	9091	0	2540	90279	0	17709	0	0	0	7234	159471	157	4245	1921	6108	7326	530471	0	0	0	28628	2583	1529	3887	27478	0	6362	3847	0	0	18364	2423	0	19466	0	0	98235	14770	0	113232	0	0	0	0	0	6501	152056	0	8976	19003	0	3176	0	433	10560	8376	0	0	7895	10496	0	0	486	11949	0	11815	0	0	9609	0	0	12721	1094	367645	2228	208613	0	4189	0	157	313	0	0	0	0	0	0	0	0	1346	350	0	1755	423	0	0	475	4420	0	0	8449	0	0	0	0	75	6191	73000	0	0	0	2059	0	0	0	0	0	0	67470	7164	0
02-2020-08-SL	2202	13595	4962	13206	7515	324089	0	18023	1505	4282	28966	5886	0	0	30818	2499	3483	1982	3133	0	57	0	1729	53	0	20126	0	0	0	7183	176072	21931	87273	83431	3886	12782	41788	0	4194	9435	474617	5453	1361	22329	199253	19064	241	4803	0	2047	0	428	0	0	0	0	5480	0	2023	4296	1042	0	0	0	0	57	0	17752	89713	1542	183202	0	0	322	0	0	1753	8452	35351	2076	4977	0	0	0	304	26	3295	0	0	0	0	2259	10495	222343	88228	58999	0	0	0	920	0	5635	5002	511	490	2153	0	15051	0	32	572	0	1574	2686	0	0	2556	0	56181	0	9390	0	10974	0	8029	694	0	0	0	3661	185	0	876	1963	3379	0	35	0	215494	10127	176075
02-2020-20-SL	974	897	589	13511	26467	108506	0	0	21460	0	13173	2559	0	0	21918	0	12112	0	353	41427	4300	0	16586	271137	0	35531	0	2962	1368	2638	0	88654	4087	0	0	3758	171636	3277	20337	0	226279	3393	2829	0	6629	85773	0	241	2974	0	0	1840	0	0	0	46413	0	115255	96843	0	12754	0	0	0	0	1302	9312	817	3591	50725	118810	875	0	15257	2044	0	616	0	10949	1087	858	254	0	595	417	565	2331	0	0	0	0	6012	2600	95368	0	173601	0	3031	0	1344	600	1488	171	1410	762	0	0	0	0	8533	1395	0	6743	0	0	0	21561	7503	1685	0	11926	9545	5456	0	898	0	0	5435	0	0	587	0	0	0	0	0	445	0	48797	219	7482
02-2020-52-SL	0	26386	6973	15999	929	150800	0	0	1610	0	91949	0	2519	0	2137	3009	0	0	0	16165	0	0	0	132471	0	236321	0	0	13671	4071	72764	24218	778	11927	0	46030	82921	0	293	1831	270811	11972	478	161531	163510	0	71257	21295	0	462	50561	17427	116	10494	0	15993	58316	26295	214577	25330	23833	6681	0	0	0	21681	6516	10996	7026	0	2373	3719	0	0	50519	5748	0	0	16477	25170	0	0	414	57491	0	11619	12842	0	14846	0	178	9830	58416	149679	44435	80558	0	53574	88	2443	12883	0	358	0	9669	0	0	0	0	8230	977	0	2410	3518	0	638	1448	8665	3111	1064	3558	0	0	0	0	49087	13460	2247	0	1641	12173	1389	11561	0	0	0	0	0	122624	3390	94034
02-2020-43-SL	0	1519	54993	0	0	139593	0	5694	3834	0	1451	2284	0	0	0	0	0	0	1712	0	0	143	293	2299	0	0	0	0	0	1047	3115	2648	165	0	0	0	21975	23691	875	0	7768	0	0	0	3385	1930	15048	7075	0	0	0	0	26340	931	0	96456	17724	55490	125127	19741	2822	0	9196	0	0	40990	898	7843	5822	0	0	0	0	0	2422	0	617	0	387	0	6556	0	181	0	0	0	0	0	0	0	0	0	121628	81494	0	217838	0	4530	0	0	0	0	9	81	0	0	0	0	0	2113	1934	0	2544	1507	0	0	0	3877	2024	491	24881	0	0	0	0	10405	0	1839	0	0	731	1122	0	0	0	0	0	0	142636	29641	46814
02-2020-40-SL	0	4625	1057	152	1685	50991	65225	5476	0	0	28025	2452	0	0	5050	0	0	0	0	0	2044	760	0	0	0	1255	0	0	0	4337	18455	34072	0	31883	387	10209	98347	0	32575	1584	143052	2654	6027	67092	164726	0	3830	9187	3902	0	0	0	0	0	0	470	8989	0	3991	18075	0	0	0	0	0	0	58605	0	18369	0	0	366	0	0	0	0	3594	93	4615	0	2091	0	0	29751	0	1645	1437	0	0	0	0	1310	9711	25546	71379	19317	0	1788	0	408	0	0	0	0	971	0	0	0	0	206	0	0	0	0	0	12321	0	2333	0	0	6735	0	0	0	0	159327	0	770	0	0	0	0	0	0	0	92	0	0	135132	30339	16389
02-2020-22-SL	0	71377	5624	2623	19061	135088	0	0	20662	0	0	13371	0	3697	0	0	1248	3818	1634	0	0	22	0	0	0	0	27	0	0	0	18224	155	8531	9726	1425	8279	0	0	1689	0	0	6144	338	94048	42820	3583	80753	1518	172	2040	0	0	0	0	3827	0	0	118	0	3491	794	0	7436	949	0	0	0	27974	670	576	0	0	0	0	0	0	16034	1650	0	0	66	0	0	0	965	0	0	810	0	0	379	0	787	0	21690	41777	0	0	0	315	777	3312	283	0	0	5113	0	28677	2491	0	240	0	0	0	2055	0	2904	0	2516	377	18008	0	15288	700	4701	0	0	54	0	1153	0	0	18	0	0	0	9257	5447	140225	15213	10073
02-2020-34-SL	0	5798	15329	671	9405	65793	0	6576	17469	6992	28319	8991	0	0	1766	0	0	691	6091	82	1860	0	0	5676	0	0	0	0	0	305	0	3711	0	0	38	0	22972	0	89	0	40402	0	0	10963	9173	62188	674	2517	0	0	2672	3040	723	0	0	12591	416	20952	1172	38552	19	1087	0	0	0	4685	4305	0	1365	0	1354	456	0	196	1180	3190	1274	0	827	0	0	942	0	1668	0	923	1798	38	0	0	0	633	28364	9027	15729	20497	1436	2037	0	650	529	0	0	422	1033	0	3140	11913	1000	1565	809	0	175	1929	0	0	0	0	666	0	6584	0	0	157	0	0	0	53	0	0	0	0	0	0	2775	627	104	0	103053	11740	19363
02-2020-110-SL	0	0	0	0	0	27487	0	0	0	0	0	0	0	0	3339	0	0	0	0	725	0	0	0	6498	0	0	0	0	0	1512	1308	0	0	0	0	0	26136	0	3092	0	59577	0	0	94921	36103	0	0	0	0	0	1851	0	0	0	0	0	0	0	17034	39336	0	0	0	0	0	0	6926	0	322	0	2873	0	0	837	5018	795	0	0	0	0	0	0	0	1460	0	0	567	0	0	0	0	1819	506	83793	0	6469	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1896	0	0	0	0	0	0	952	0	0	0	0	0	0	0	0	0	0	38092	8193	7619
