feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	br_m_progression_overall	Y	0.9424249469636896	1.3695441018630408	0.4913706606880241	1
s__Prevotella_oris	shotgun_seq_batch_batch	10	2.0470481403201624	1.8344066421215506	0.2644570613647717	1
s__Prevotella_oris	shotgun_seq_batch_batch	2	-0.1575166096782045	1.9083132434079695	0.9342154636025751	1
s__Prevotella_oris	shotgun_seq_batch_batch	6	0.4485720362068304	1.6810550056442664	0.7895926671123973	1
s__Prevotella_salivae	br_m_progression_overall	Y	0.343767690674752	1.017065140991945	0.7353634300505321	1
s__Prevotella_salivae	shotgun_seq_batch_batch	10	2.7333432161680635	1.317456101617889	0.03801314778721823	1
s__Prevotella_salivae	shotgun_seq_batch_batch	2	1.7566948536041995	1.5102847402695656	0.2447667261563958	1
s__Prevotella_salivae	shotgun_seq_batch_batch	6	2.792911902345989	1.8119444040996244	0.1232220416987347	1
s__Prevotella_oulorum	br_m_progression_overall	Y	-0.39057568754398053	1.0345427406368921	0.7057763507884518	1
s__Prevotella_oulorum	shotgun_seq_batch_batch	10	-0.763644550388327	1.209029229368108	0.5276365614173293	1
s__Prevotella_oulorum	shotgun_seq_batch_batch	2	-1.216532722396431	1.1752972393088346	0.30062914576560484	1
s__Prevotella_oulorum	shotgun_seq_batch_batch	6	0.6338037957399314	2.110694007430766	0.7639619254752584	1
LKT_p__Bacteroidetes	br_m_progression_overall	Y	0.9772177410418115	0.9986942718827768	0.3278293702718274	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	10	1.1911909631051247	0.8884857805269699	0.180018577509974	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	2	-0.7638169503924206	1.2395466335014196	0.5377581017607433	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	6	0.6409755688671415	0.9938091496624264	0.5189476172044108	1
s__Prevotella_melaninogenica	br_m_progression_overall	Y	1.2723790984841967	1.435843514355843	0.37553431310938606	1
s__Prevotella_melaninogenica	shotgun_seq_batch_batch	10	-0.36463185110886287	1.850359683002914	0.8437805968359348	1
s__Prevotella_melaninogenica	shotgun_seq_batch_batch	2	1.0545671239843137	1.4541449473276797	0.4683203967850552	1
s__Prevotella_melaninogenica	shotgun_seq_batch_batch	6	1.34741571433413	1.9133789156736545	0.48130358329813305	1
s__Prevotella_jejuni	br_m_progression_overall	Y	1.211294277062604	0	0	0
s__Prevotella_jejuni	shotgun_seq_batch_batch	10	-1.089391900255331	1.5467995066294187	0.48125361121700644	1
s__Prevotella_jejuni	shotgun_seq_batch_batch	2	2.4719295948982625	2.124224564330558	0.24455143607466817	1
s__Prevotella_jejuni	shotgun_seq_batch_batch	6	-0.3841522129668986	1.8616625873212405	0.8365183056687401	1
s__Prevotella_histicola	br_m_progression_overall	Y	1.1235736052101282	1.4465247718818206	0.4373122010862359	1
s__Prevotella_histicola	shotgun_seq_batch_batch	10	1.0233561577715182	1.7951590087833782	0.5686340519759396	1
s__Prevotella_histicola	shotgun_seq_batch_batch	2	-0.497396504271128	2.136580533769991	0.8159165108390174	1
s__Prevotella_histicola	shotgun_seq_batch_batch	6	3.6695526916744132	2.1525720042133156	0.08824491174432073	1
s__Prevotella_denticola	br_m_progression_overall	Y	1.4131489313337235	0	0	0
s__Prevotella_denticola	shotgun_seq_batch_batch	10	-0.08061904041570331	1.4623619509880983	0.9560354265266896	1
s__Prevotella_denticola	shotgun_seq_batch_batch	2	-1.0770252932492113	1.5926822603000823	0.49889232904465663	1
s__Prevotella_denticola	shotgun_seq_batch_batch	6	-1.9341958995042714	1.7366476045229267	0.265385308496418	1
s__Prevotella_pallens	br_m_progression_overall	Y	-0.8714655465770914	0	0	0
s__Prevotella_pallens	shotgun_seq_batch_batch	10	-0.47362253819541267	1.3502637464654454	0.7257661708925274	1
s__Prevotella_pallens	shotgun_seq_batch_batch	2	1.5280238573491347	1.6544557186972062	0.35570451299679445	1
s__Prevotella_pallens	shotgun_seq_batch_batch	6	2.464776374065184	1.7245320425614343	0.1529342319818763	1
s__Prevotella_nigrescens	br_m_progression_overall	Y	1.641225254636292	0	0	0
