Species,log2fc,qval,groupings,sample_type,method
Prevotella melaninogenica,2.5580285552932347,4.963632350343172e-4,MDACC,Oral swab,AncomBC
Porphyromonas pasteri,-2.309328625117407,0.00382296140796301,HMP,Oral swab,AncomBC
Haemophilus parainfluenzae,-2.1373216832876727,5.779765111463633e-5,HMP,Oral swab,AncomBC
Streptococcus oralis,-2.740094804766912,5.9831011375637334e-5,HMP,Oral swab,AncomBC
Streptococcus sanguinis,-2.0156729982548938,0.05258605639595944,HMP,Oral swab,AncomBC
Granulicatella elegans,-2.785331630909189,0.0082860666739263,HMP,Oral swab,AncomBC
Haemophilus haemolyticus,-5.2971716516237715,4.693324964860993e-8,HMP,Oral swab,AncomBC
Gemella haemolysans,-4.322013218092097,6.76098692281446e-8,HMP,Oral swab,AncomBC
Prevotella oris,2.6036004783760403,4.3114396632184024e-4,MDACC,Oral swab,AncomBC
Capnocytophaga ochracea,2.335024114853761,0.01676829259939023,MDACC,Oral swab,AncomBC
Fusobacterium pseudoperiodonticum,-3.535759840722257,1.0004595403919629e-7,HMP,Oral swab,AncomBC
Haemophilus influenzae,-3.4000677749663337,2.250750614241559e-5,HMP,Oral swab,AncomBC
Prevotella nigrescens,2.094100900409067,0.01295227896065282,MDACC,Oral swab,AncomBC
Haemophilus sputorum,-2.569311499643307,3.2329183379835275e-4,HMP,Oral swab,AncomBC
Aggregatibacter sp oral taxon 458,-2.3380892543299883,0.00177788992994556,HMP,Oral swab,AncomBC
LKT f  Weeksellaceae,-2.0468232081076403,6.312250620110753e-4,HMP,Oral swab,AncomBC
Haemophilus paraphrohaemolyticus,-2.5727401833546364,5.216725653955795e-4,HMP,Oral swab,AncomBC
Haemophilus parahaemolyticus,-2.8977296847310927,1.8567915483257344e-6,HMP,Oral swab,AncomBC
Gemella SGB7284,-3.587412227701151,1.1806106113165648e-5,HMP,Oral swab,AncomBC
Haemophilus influenzae,-2.2163670136041795,2.5760855404994214e-9,HMP,Oral swab,AncomBC2
