feature	X1934	X1867	X4837	X9226	X17248	X17244	X1836	X15342	X1814	X2303	X1871	X1812	X1855	X1830	X2301	X1877	X4868	X10068	X2318	X4933	X4198	X1815	X4608	X15286	X1790	X14861	X14809	X4938	X15106	X1949	X4581	X15300	X9712	X4532	X1844	X4874	X4584	X5090	X15271	X4826	X2290	X9283	X15078	X8071	X4285	X4041	X4951	X4540	X15132	X4820	X4303	X15452	X4575	X1861	X2295	X4811	X15249	X4914	X2325	X4262	X1965	X4749	X4910	X13976	X4716	X15346	X4993	X5082	X5087	X4577	X5089	X4925	X15254	X15154	X2328	X14027	X5792	X5062	X4557	X5825	X14853	X15120	X9262	X4644	X15234	X15126	X4670	X5075	X4046	X15143	X14797	X4705	X5111	X4936	X5190	X5045	X4940	X4721	X9260	X15265	X15124	X4652	X5121	X15236	X6754	X4552	X15350	X14993	X5043	X3813	X4643	X4959	X4768	X4871	X14837	X4166	X4714	X6747	X4121	X5051	X79840
SRR628279	0	42362846	46761	845544	0	0	720683	156627	42054637	0	0	0	0	0	0	8687383	0	136339	0	57130	0	0	9982	0	0	0	0	0	122	0	0	13545	27334	3234	0	35317	24152	97201	1481	0	0	0	23332	20541	0	0	274854	4471	3627	3524	20242	0	6877	0	0	0	7931	540181	0	1834333	0	0	5186	408277	7096	0	0	29130	218770	0	9017	85199	0	0	0	0	133767	158714	0	107257	13385	0	0	0	0	0	2483	0	307	2924	0	0	48912	72153	0	19129	22966	25288	0	0	0	599974	0	22671	0	353	0	1284	0	0	0	12619	0	0	5031	56271	6590	53136	206	0	1106
SRR628278	516669	130293	67865	56747	8941	29546	432586	681933	14639640	226135	114166	0	0	2823346	144235	1286655	36956	106780	2503086	170596	0	0	80837	16097	387230	155087	0	193216	803840	3346775	39689	521649	6537	2544	19344	84602	0	5085	55544	15951	0	1806129	61007	0	0	0	0	975	19826	6388	11528	54210	14877	1033709	235919	6786	14465	190960	26369	58031	962685	2525	20595	38725	26958	0	311299	223495	0	44118	0	0	0	12635	3561	26825	0	101757	0	0	0	5345	24995	0	0	0	0	0	0	147675	0	32084	0	68852	0	95984	161	46341	0	0	9463	20662	0	0	0	0	0	3816	458	1492	0	3920	25580	0	5408	0	0	9648	0	0	84
SRR628266	0	0	31327	96620	2061	0	2767352	983816	7607753	901540	28465196	0	3191794	3592465	376389	0	3346	148551	1629343	75665	1756	0	61897	314667	585064	264568	0	0	1330398	0	10459	10438	2419	10242	0	26024	23049	1938	4441	6871	609364	614367	58581	1945	334564	0	741539	20836	2615	7995	7085	13849	38697	589959	611270	9496	28386	0	84321	48658	0	2255	822627	17125	29391	0	1000682	107963	0	27455	0	892270	927787	4615	0	69323	46427	380353	0	0	12569	0	23865	0	0	148	3220	22066	0	13868	2285	20308	0	28808	19759	47128	180921	67720	16664	1829	2653	0	0	8381	0	0	5387	15019	1256	110	0	33972	32922	0	532	36143	2215	4079	0	0	141
SRR059346	12880	0	0	8849	0	1088	120716	1172	160443	12003	39597	0	331	0	0	25697	0	25298664	15356	9522	0	0	86	711	1540	4378	0	191	9000	0	0	5403	0	0	0	1374	0	0	0	0	2931	0	0	0	2309	0	0	864	0	0	1446	0	0	517	10093	0	6653	1228	204	23534	9904	0	0	9640	0	0	0	2641	0	0	4030	0	1675	0	0	0	1608	0	0	0	0	0	956	5264	0	0	0	3459	0	0	0	0	0	1520	0	0	9313	0	0	0	0	0	9258	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0
SRR059900	176494	72548	13640	0	4675	0	610605	4092	22442310	140631	6686583	2015880	10444	1931226	1485	0	0	3233	0	0	0	0	2420	0	13936	0	0	0	0	0	0	0	0	45	0	0	698224	0	3938	1285	0	0	36726	0	1326	0	0	2557	45933	0	9657	2114	0	509902	13587	0	0	0	9710	0	0	5723	0	0	0	0	0	0	0	0	1441	0	0	273	0	0	68768	963	0	0	0	1017	42868	0	0	3729	0	0	0	10869	0	1615	0	0	0	0	0	28323	0	0	1744	0	0	0	0	0	0	0	0	0	0	0	0	0	5377	0	0	0	0	0	0
SRR514324	2711604	0	108936	0	0	0	0	263327	0	15354225	0	0	0	0	0	0	26101	38268	0	534638	0	18923356	282246	0	0	11853	13481	0	3016	0	47664	0	506	5709	11630078	44503	24849	0	30841	0	0	0	166232	2328	0	0	0	0	174786	6530	6298	63368	0	0	0	8479	7905	0	0	72479	0	21162	0	0	18574	0	0	0	0	0	59156	104230	0	26646	0	0	0	22109	0	63985	35987	0	0	0	0	0	0	2505	30065	118210	0	0	0	7752	0	0	149235	0	0	0	2461	0	0	0	0	0	0	0	33060	0	3201	0	0	0	15372	0	0	2229	2546	0	0
SRR513830	1203866	137302	194836	968496	0	0	2751844	503778	17652454	255471	1666597	0	497738	92068	31340	678809	28635	31376	536303	58231	0	0	82881	2929	545212	286674	13243	109509	221821	0	14947	489946	8509	5549	1498245	125773	0	0	28365	17908	380782	333209	38841	1707	0	0	234530	14677	3606	24732	28968	68753	42627	2405236	952	80441	14540	3869894	63463	0	0	872	68272	9717	30375	0	137020	1505757	0	1144	7759	0	457420	22665	32541	16971	353501	431883	0	0	3745	11037	13543	361513	26106	39055	0	0	13877	32605	8521	32737	0	100059	6524	68412	29853	306777	0	0	8177	495299	0	0	224385	4924	0	21089	3030	2309	1213	5234	12182	72716	2858	0	111983	0	8344	0	2097
SRR513789	2191427	0	206395	0	6069	0	7809125	655507	17346592	398499	0	0	1181424	0	1741226	9527861	35337	65735	2557195	800223	2756	0	162666	44658	0	547636	15092	10755	332694	0	32422	0	0	159062	5382449	71112	5303	21164	134194	26781	0	0	630690	384	0	2918	2274	20091	42744	50129	32372	255146	55735	0	782261	32734	33850	947897	74261	23412	0	0	10303	33411	7050	209223	521639	110047	11565	31781	8158	15366	590977	66782	25877	30912	0	87700	0	0	108793	9305	167516	180835	228	293	20546	205433	12581	65723	0	8034	0	28166	44524	0	16309	60989	0	0	32045	23537	0	0	44870	3751	0	12244	241511	657	0	14297	10959	138837	6312	23715	31488	7234	0	0	1404
SRR1804683	220276	2348563	48243	0	2933	2521	224201	225495	2674998	9865	518261	1002037	4084	98150	0	848703	14644	0	2870250	301047	28425	45871	40059	26758	663372	186129	0	2979	299511	1582030	54450	86550	23379	13134	0	17142	0	32238	4665	7548	47726	304276	36903	5601	283	0	60975	3685	9973	20426	19845	1959	14880	26831	791501	13119	4952	324996	6337	38804	621116	14982	6855	181927	5966	100157	38963	188278	0	18257	15628	399448	564974	12303	57912	0	0	56155	54168	0	4298	4719	1117	0	0	0	12135	128241	0	6993	44	9597	164325	8989	6467	30329	89254	89723	0	9722	1060	0	34264	0	1879	8953	722	4629	3851	436	0	3438	8387	32232	1235	0	7302	0	4658	0	0
SRR1804065	87610	0	2979	0	4510	0	551425	90594	345831	160087	2655585	0	24632	0	0	0	0	0	1153	0	0	999162	3289	34071	38324	8484	2064	748669	14815	257116	7806	20688	225	0	18808	413	0	0	4968	0	52747	80429	226437	163	48168	0	15284	1656	20802	0	5327	10354	0	0	0	0	6360	0	132	0	0	0	0	4389	0	0	0	0	0	0	0	0	0	57194	15570	0	101658	2393	0	0	0	0	1986	0	0	0	0	0	0	77051	0	0	0	7528	0	0	0	0	501	0	0	0	0	0	2678	0	3742	0	10943	0	0	0	0	0	6116	0	0	247	170	0	0
