"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.9045","DDX31","BrM","High - Low",1.11161118822737,0.0342779408146707,0.151721344855162
"High...Low.9046","MPHOSPH9","BrM","High - Low",0.943414653942804,0.0611554664643716,0.212945160852196
"High...Low.9047","DEPTOR","BrM","High - Low",-1.0141041940234,0.0505330539615779,0.191291913470869
"High...Low.9048","ARV1","BrM","High - Low",0.243364975166325,0.260216401293022,0.495228874178938
"High...Low.9049","NMNAT1","BrM","High - Low",-0.17231707932209,0.692086399313755,0.83312178950889
"High...Low.9050","P2RY12","BrM","High - Low",-0.689345346290702,0.318732656604191,0.554472751292295
"High...Low.9051","UCP3","BrM","High - Low",0.0553353082213837,0.908393252086662,0.952871903046567
"High...Low.9052","SNURF","BrM","High - Low",-0.742589941167861,0.0813409340186446,0.250266036270253
"High...Low.9053","PER2","BrM","High - Low",-0.361882381433966,0.461758172562975,0.676912066776714
"High...Low.9054","ELOVL1","BrM","High - Low",0.789351692155074,0.00510692173828018,0.0492174089937629
"High...Low.9055","PORCN","BrM","High - Low",-0.442218164814802,0.368808077793908,0.600864680137042
"High...Low.9056","SPATA20","BrM","High - Low",0.162274485353837,0.824703260640702,0.907400599006168
"High...Low.9057","YTHDC2","BrM","High - Low",0.292129531634923,0.503084048981712,0.706570208337932
"High...Low.9058","TUT1","BrM","High - Low",0.0272393900452721,0.913373588424573,0.954729266442004
"High...Low.9059","AIDA","BrM","High - Low",0.3868731391573,0.204318452479317,0.430907853113839
"High...Low.9060","USP46","BrM","High - Low",-0.565730280899804,0.119065963147456,0.313225427685768
"High...Low.9061","NIBAN2","BrM","High - Low",0.945596142056871,0.00853044399832732,0.0670096923264554
"High...Low.9062","DCLRE1B","BrM","High - Low",1.47971581978245,0.0235606749601228,0.121962885205777
"High...Low.9063","ARMCX5","BrM","High - Low",0.0988201077732591,0.822025810467531,0.906022302721244
"High...Low.9064","METTL4","BrM","High - Low",-0.103021341651524,0.81337844979949,0.901248575375801
"High...Low.9065","RFX7","BrM","High - Low",1.00106794289061,0.0200943749449426,0.111336600407417
"High...Low.9066","CDCP1","BrM","High - Low",0.119593068823909,0.857562469949873,0.924362351074715
"High...Low.9067","PAPOLG","BrM","High - Low",0.480397969868922,0.215209570871494,0.443283553664929
"High...Low.9068","LPIN3","BrM","High - Low",0.500766511240624,0.36469669337217,0.597646332467689
"High...Low.9069","ACTR8","BrM","High - Low",1.04246539544625,0.0223452379527258,0.118457703281029
"High...Low.9070","CASD1","BrM","High - Low",1.09593102903618,0.0456450805143151,0.180496055604723
"High...Low.9071","CCDC71","BrM","High - Low",0.70555171016459,0.229303581600532,0.460318138411744
"High...Low.9072","RASAL3","BrM","High - Low",0.423563329716445,0.566755120501639,0.752710774760687
"High...Low.9073","NT5DC2","BrM","High - Low",0.00537057525825678,0.983465123075639,0.99147345044521
"High...Low.9074","CENPH","BrM","High - Low",0.877813602100749,0.168813901026801,0.386531338030269
"High...Low.9075","MRPL44","BrM","High - Low",0.460974290673323,0.246781178665522,0.480681950744445
"High...Low.9076","VPS33A","BrM","High - Low",0.793997194430662,0.0826528107513362,0.252359847754516
"High...Low.9077","TMEM135","BrM","High - Low",0.109842141263786,0.784446928355981,0.885604626186263
"High...Low.9078","FGFR3","BrM","High - Low",2.62463624041415,0.000252275964700014,0.00644040282144744
"High...Low.9079","ARID4A","BrM","High - Low",0.139668644177989,0.739067065182646,0.862138611793779
"High...Low.9080","TM6SF1","BrM","High - Low",-0.175734920822308,0.817597348769632,0.903980779690964
"High...Low.9081","RTN4R","BrM","High - Low",-0.173200627877568,0.811930978322881,0.900643386198629
"High...Low.9082","KRI1","BrM","High - Low",0.457886604512111,0.111101553387827,0.300638150436519
"High...Low.9083","MARCKSL1","BrM","High - Low",0.9356661297279,0.00118385058649081,0.0188634051309868
"High...Low.9084","UPF3A","BrM","High - Low",0.128031408123719,0.673425780157085,0.823211526914049
"High...Low.9085","RSRC2","BrM","High - Low",0.511546926040845,0.0094599446461787,0.0715763253650838
"High...Low.9086","INTS3","BrM","High - Low",1.01989358202319,0.0103071875016551,0.0751812060209357
"High...Low.9087","SOWAHC","BrM","High - Low",0.848431928570323,0.106655005776748,0.291768386941083
"High...Low.9088","FRY","BrM","High - Low",-1.05159608393317,0.151307315760572,0.362712362489789
"High...Low.9089","ADAM19","BrM","High - Low",1.00606303026126,0.157946332132025,0.372499862866998
"High...Low.9090","ANKRA2","BrM","High - Low",0.971006198667128,0.0920658751786968,0.268633153303629
"High...Low.9091","SIGLEC1","BrM","High - Low",0.228434635104582,0.74109022467364,0.863178739949881
"High...Low.9092","ZFP69B","BrM","High - Low",-0.552974995617246,0.187022181087732,0.409907616076667
"High...Low.9093","SPATS2","BrM","High - Low",0.746837271782457,0.106442329248075,0.291357500720126
"High...Low.9094","ZSWIM4","BrM","High - Low",1.22933774625858,0.0422573743878447,0.172071202924611
"High...Low.9095","CPLANE1","BrM","High - Low",1.11779534703729,0.0660074654712422,0.22255946436812
"High...Low.9096","ZNF649","BrM","High - Low",0.760208371525981,0.203846816426003,0.430397971898548
