feature	X1552	X6602	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X1469	X8059	X5089	X2043	X17130	X16988	X17168	X17153	X8071	X6936	X969	X8095	X17167	X5266	X5265	X2492	X8235	X2479	X17300	X1466	X8047	X17154	X9463	X16987	X17234	X1468	X9712	X4494	X5273	X1542	X8236	X5868	X15878	X749	X1522	X2502	X9434	X4482	X1395	X3934	X5825	X15888	X8255	X8130	X2048	X1540	X5989	X2524	X748	X17007	X9447	X15872	X17137	X17008	X14348	X1457	X8249	X7285	X1464	X17169	X17132	X2036	X1525	X7298	X2483	X5286	X19351	X2497	X1458	X8053	X5884	X9418	X1411	X3922	X9422	X19850	X1520	X1561	X9649	X15877	X15897	X1526	X8028	X2480	X7282	X1528	X15892	X5285	X5880	X16955	X2016	X17151	X6067	X1524	X6055	X4481	X985	X15494	X6833	X8026	X6001	X19831	X2053	X1341	X19882	X6653	X3931	X19300	X5898	X3920	X19800
01.2020.030.SL	2068279	58861	1096654	0	89947	1012110	50234	75894	85846	496667	102000	89645	23397	5572	759226	0	0	16899	0	29770	623201	10544	8200	0	276515	172221	416547	347089	0	46934	31084	0	18984	26991	0	270352	0	325450	64903	0	73882	165284	7418	53653	59913	0	167560	5806	37631	119017	52302	17782	32812	48774	84136	0	3446	38942	3983	1245	1035	0	3374	0	1745	3106	1165	26782	2501	0	0	11708	0	0	90612	20201	847	0	0	3749	8788	20773	9669	1966	0	34	56466	0	8977	4643	22184	0	0	0	0	6231	0	0	121	0	0	672	10066	34163	4548	0	0	0	0	0	0	0	0	8757	0	0	0	0	0	0	0	0	0	607	0	0
GBM.BM.284.SL	1961068	34669	79296	0	274620	356335	0	42252	0	476853	150440	47162	9785	43756	191368	11983	12441	8200	5138	84328	24306	207921	3218	74874	196676	43042	38324	40304	13559	0	67213	5492	24198	0	0	11878	19166	0	0	0	144059	13234	4351	7884	359	0	29902	40712	14813	204946	22327	0	12380	39931	244692	330	4333	16100	9851	17925	2656	20664	2052	0	14223	6265	592	9752	12583	1449	5826	4397	520	29200	109591	32793	0	3465	18141	7034	6635	50698	2032	0	5964	2055	20601	13386	53187	936	70224	33882	0	0	2927	1143	406	3543	0	0	160	1340	3801	21222	0	4005	1441	3818	1098	1192	346	0	0	11966	2099	16444	3385	0	0	48	0	0	139	0	0	0
GBM.BM.281.SL	431493	44707	482441	1936472	369173	1548111	30637	0	1063972	282004	18743	6072	39	0	13416	0	0	39271	291	344192	31692	0	1931	56106	494356	703536	25902	458426	0	84268	0	2421	917	131809	0	2067	194432	0	599	0	42129	11374	0	21247	0	0	358870	9379	2775	326210	0	0	118836	7417	6535	0	300	14852	4775	0	0	0	0	0	0	0	0	20744	0	0	0	0	0	0	0	14089	0	761	0	0	278	26807	0	0	0	0	0	0	7296	0	50487	1024	0	0	0	0	0	0	404	0	0	0	1428	36937	0	408	0	4014	0	19214	0	226	0	22291	0	0	233	0	1104	0	0	0	0	0	0	0
01.2020.64.SL	409483	0	107131	0	53479	361826	274262	21641	62698	145	84329	150436	5682	321	177532	0	0	4589	0	3022	15943	0	0	53325	49240	2525	137668	2757	3132	3393	63338	0	29569	973	27047	20951	14208	0	23215	0	1066	58158	10823	11728	848	141364	13678	25603	0	25096	136151	18412	12684	4369	0	0	3848	5628	0	0	20648	0	2066	94	0	0	0	5961	991	0	127181	6288	0	5710	0	0	0	4756	0	0	0	3531	5952	0	0	0	23316	1365	0	0	153	21784	13132	0	320	4973	0	0	0	1593	0	1523	0	1226	4866	0	0	0	1582	0	0	0	1898	0	2055	0	0	0	0	0	0	0	401	499	0	0
02-2020-41-SL	0	0	211185	488	0	0	1282716	253525	0	0	253741	37874	0	298	229309	22397	170220	65269	139904	0	2041	0	0	0	0	0	0	5351	2057	0	14383	0	11520	0	0	8966	0	0	146128	0	0	80492	19125	0	0	98238	0	6970	4150	0	24844	8634	0	5794	0	0	107430	12119	0	15016	2842	20038	5008	0	4462	939	0	1281	1340	0	18716	4606	0	4307	0	0	7934	10354	4342	0	0	1611	4980	0	0	35	23349	795	0	315	0	0	17316	0	0	8519	0	0	37494	0	0	2158	0	0	2811	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0
01-2020-43-SL	274007	1093	627372	0	33010	66291	19395	125621	11929	0	472024	127760	78243	4529	424843	2092	13325	5438	164038	2992	194704	96	0	0	20256	1381	2023	0	24958	0	57487	31721	163049	2076	0	18066	0	0	36747	0	0	23902	77207	24100	0	0	60487	0	0	5131	58687	5510	1710	224	735	198	43263	48871	0	0	0	2840	8207	0	0	163968	0	7537	29300	0	42	1393	0	0	0	7133	0	0	0	27720	0	21537	0	0	0	0	79170	0	0	4324	1538	0	8072	0	0	23359	0	2202	0	0	0	0	0	0	1878	0	8306	9200	0	0	3324	0	0	0	0	4569	0	0	0	0	0	0	0	0	0	0
GBM.BM.288.SL	839267	1725	1147992	1082332	1428	700223	23156	181601	76	151116	35280	59435	2488	63374	0	0	0	7616	27672	18291	29236	0	14765	34574	63411	143002	7006	49005	6141	54852	7369	36485	4257	16834	0	0	0	6054	10125	188	2430	27801	0	19532	0	12429	97210	0	11684	43731	30647	8168	298615	10128	5178	3699	881	61231	0	6525	12497	0	0	0	0	0	531	23494	0	7142	0	556	0	0	67832	2823	134	16077	0	0	0	8276	6274	0	0	0	0	12101	263	0	944	6327	2529	0	2215	0	0	2156	5508	527	1481	0	0	6606	0	1122	0	0	0	0	5106	2163	7477	0	0	52	2184	3044	5102	1097	0	0	489	148	0	7439
GBM.BM.259.SL	1008972	12766	83637	50007	79240	568707	1533	54277	0	265886	97408	7290	22719	14322	782	0	315	28626	35462	41669	3462	106078	158	47095	206225	149630	12090	23737	3519	7368	17397	0	20166	3134	9851	0	0	0	1279	0	22715	12545	24061	40003	10851	4000	9387	510	36593	67324	10096	738	80964	24167	9921	410	9217	7258	345	21946	2589	11518	0	3375	3456	14247	2018	1976	2162	1728	1596	0	0	0	0	34929	3198	19773	2464	2050	13134	31660	5172	1970	0	1125	1594	0	17906	0	9873	392	10689	0	1901	2210	967	0	1004	373	0	0	12769	9450	0	1404	0	7285	212	13319	572	0	0	4676	0	1799	4553	2589	1709	751	0	731	170	221	2743	573
02-2020-47-SL	994588	43371	223067	0	148579	15230	0	915713	77870	121660	118586	177618	0	233657	0	1052	118789	99343	33108	82964	39209	102623	7833	22741	366638	10296	45175	65393	103462	0	100986	27680	18202	0	0	39317	0	0	2637	0	88280	402576	47967	179607	2679	0	85349	116608	0	31008	122423	0	7101	15032	9686	0	7057	11088	94835	1278	0	181370	8071	0	743	91635	0	3431	22776	0	0	890	22215	0	17085	15	0	9585	26689	0	1586	50435	13432	0	3820	1078	0	1133	36742	12667	16814	0	8369	0	102	0	0	0	0	0	538	0	25210	3777	0	0	0	16183	0	6321	824	0	0	4859	0	7799	16473	0	0	9	136	0	329	0	0	0
GBM.BM.279.SL	556292	5285	184954	461	95832	317394	17506	49353	987503	63913	21160	45761	9007	382	8893	0	0	43642	0	55757	17287	0	16895	68476	291834	102434	33080	0	1161	45746	5716	0	6183	31360	5146	5317	202875	0	6887	0	20657	122483	3505	43608	254993	0	93054	23755	1173	116311	21379	3060	40140	34472	0	450	438	13875	1593	3105	11478	588	366	12524	633	0	0	12585	642	45	0	37	0	46812	14723	5519	2776	82477	0	0	0	8045	715	0	181	0	9494	4058	13376	4915	334	15569	21448	0	0	0	4081	1909	0	211	0	0	3646	9385	0	3900	3547	1102	0	3508	0	892	0	412	0	3167	0	0	0	0	172	0	0	2791	1417	0
