Algorithm Name,ROI,Total Cells,DAPI Positive Cells,IBA1,CD163,CD206,ARG1,CD11b,CD11c,IBA1+ CD163+ Cells,IBA1+ CD206+ Cells,IBA1+ ARG1+ Cells,IBA1+ CD11b+ Cells,IBA1+ CD11c+ Cells,IBA1+ CD163+ CD206+ ARG1+ Cells,IBA1+ CD163+ CD206+ ARG1- Cells,CD11b+ CD11c+ Cells,CD11b+ CD11c+ CD206+ Cells,CD11b+ CD11c- Cells,CD11b+ ARG1+ Cells,IBA1+ CD163- CD206- ARG1- Cells,CD11b+ CD163- CD206- Cells,IBA1+ CD11b+ CD163+ CD206+ Cells,DAPI Avg Cell Intensity,IBA1 Avg Cell Intensity,CD163 Avg Cell Intensity,CD206 Avg Cell Intensity,ARG1 Avg Cell Intensity,CD11b Avg Cell Intensity,CD11c Avg Cell Intensity
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,66,574,572,16,55,6,0,42,30,16,2,0,14,10,0,2,14,1,28,0,0,0,2,64.287361,2.056124,21.910091,1.190713,0.018616,1.153085,4.341019
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,65,525,520,15,75,8,0,64,10,15,1,0,14,5,0,1,7,0,57,0,0,0,1,63.528645,2.609091,23.804523,1.294381,0.002791,1.245426,2.128357
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,64,673,672,45,109,35,4,210,12,41,20,4,45,9,4,16,11,5,199,4,4,4,20,76.914757,4.624166,26.023897,5.267476,0.126342,5.038581,1.241401
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,63,368,364,103,150,24,0,172,10,103,19,0,102,6,0,19,10,2,162,0,0,0,19,54.760658,14.095577,60.52425,5.250995,0.008491,11.180083,2.230438
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,62,357,352,16,53,7,4,15,31,15,6,0,9,9,0,5,9,4,6,2,0,0,4,46.959702,2.962603,25.398781,1.813681,1.048014,0.471095,5.207443
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,61,379,371,13,46,14,1,25,2,13,4,0,8,1,0,4,0,0,25,1,0,0,3,42.774502,2.653029,22.352154,2.310969,0.588263,1.133931,0.326173
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,60,328,324,7,16,2,0,6,4,7,2,0,3,0,0,2,0,0,6,0,0,0,1,51.630646,1.689358,9.67454,0.764843,0.010438,0.191329,0.815387
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,6,334,332,31,40,24,6,35,9,26,15,1,18,7,0,13,6,4,29,6,3,0,10,47.511753,7.249332,21.234816,4.024002,2.528604,2.212398,2.60767
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,59,396,389,16,20,3,13,2,14,9,2,0,0,6,0,2,0,0,2,2,7,0,0,54.262901,3.391767,11.893224,0.899763,2.226763,0.150273,2.826574
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,58,419,404,25,38,3,0,18,0,25,3,0,17,0,0,3,0,0,18,0,0,0,3,49.19714,4.937969,16.894035,0.694954,0,0.515833,0.283366
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,57,378,376,1,19,32,3,2,172,1,0,0,0,1,0,0,1,1,1,1,0,0,0,83.676491,0.403904,14.831256,6.374835,0.782287,0.131678,28.143421
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,56,386,378,32,44,54,3,56,48,17,23,0,18,15,0,15,20,17,36,3,7,5,10,45.045567,5.560374,17.963118,11.592653,0.306948,1.466507,6.849364
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,55,332,327,42,14,29,3,290,15,11,16,0,39,14,0,9,15,11,275,3,24,21,9,45.346252,9.74633,8.565607,8.162195,0.945273,8.695496,3.77215
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,54,567,562,18,49,26,5,268,5,14,6,0,17,1,0,6,3,2,265,4,4,4,6,61.460556,2.744075,14.06371,3.423656,0.176186,3.803644,1.028641
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,53,223,219,1,0,4,0,60,3,0,0,0,0,0,0,0,1,0,59,0,1,0,0,28.293573,0.65666,0.939882,1.228389,0.044661,2.074563,1.369508
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,52,405,397,1,2,5,8,137,8,0,0,1,1,0,0,0,2,0,135,8,0,1,0,27.997627,0.260316,1.440031,1.499447,2.343166,3.009213,2.463244
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,51,424,418,15,333,314,3,82,271,15,15,0,8,15,0,15,71,69,11,2,0,0,8,50.767975,4.1875,118.395569,70.724586,0.583037,1.860431,28.18899
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,50,235,231,27,205,190,1,116,183,26,23,1,18,27,1,22,95,91,21,1,1,0,18,43.997475,8.940648,114.808189,77.955887,0.445518,8.847459,34.050877
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,5,477,469,100,119,30,0,94,6,86,26,0,73,5,0,26,6,2,88,0,14,3,25,64.569481,12.081978,34.240963,5.627906,0.015232,2.007898,1.070208
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,49,353,348,29,186,108,3,22,282,25,20,2,8,26,1,19,21,18,1,1,3,0,8,49.128876,6.515822,73.829773,19.511301,0.551548,1.983284,72.44825
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,48,390,383,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,58.964493,0.122243,1.726679,0.105153,0.103627,0.031604,0.714724
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,47,416,408,4,96,42,0,9,48,4,3,0,3,2,0,3,6,5,3,0,0,0,3,51.57637,1.561563,38.464195,8.987154,0.053341,0.208606,5.926491
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,46,459,454,7,112,31,8,47,125,7,7,0,7,7,0,7,43,23,4,5,0,0,7,68.403847,1.628613,37.306126,5.483503,1.314705,1.394967,16.510164
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,45,378,373,13,9,5,1,9,3,8,4,0,6,3,0,4,2,0,7,1,5,0,2,64.163544,2.752182,4.925351,1.451984,0.604344,0.407493,0.737434
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,44,409,407,8,32,20,0,10,91,7,6,0,4,5,0,5,3,1,7,0,0,0,2,75.020988,3.124432,17.30715,3.877996,0.001028,0.615419,14.030167
