"","Protein","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.313","Cyclophilin A","Glioma","High - Low",0.495661537528999,0.103213387026173,0.446187615684045
"High...Low.314","Calreticulin","Glioma","High - Low",0.679073577624472,0.0673361914932612,0.380050029953491
"High...Low.315","LAMP1","Glioma","High - Low",0.236360606354754,0.415805470889792,0.844614151624633
"High...Low.316","Glucose 6 Phosphate Dehydrogenase","Glioma","High - Low",0.50693223972258,0.217995845166395,0.672153855929717
"High...Low.317","MUC1","Glioma","High - Low",-0.0829144238597761,0.718547924654045,0.925267058789595
"High...Low.318","IKB alpha","Glioma","High - Low",0.0731434025479804,0.795269280382079,0.925267058789595
"High...Low.319","Rho A + B + C","Glioma","High - Low",0.0753884111893526,0.793279937937835,0.925267058789595
"High...Low.320","VEGF Receptor 1","Glioma","High - Low",-0.318756277679126,0.453154866312616,0.855237815197528
"High...Low.321","Histone H3 (mono methyl K4)","Glioma","High - Low",0.493474738178726,0.00962085128844927,0.152559213288267
"High...Low.322","Lactate Dehydrogenase","Glioma","High - Low",0.235372688200986,0.40299580574886,0.833525486424662
"High...Low.323","IDH2","Glioma","High - Low",0.234979851322623,0.560112604064524,0.91173381530081
"High...Low.324","IKKi/IKKe","Glioma","High - Low",0.119278638998981,0.522883595273675,0.892924293467353
"High...Low.325","Histone H2A (acetyl K5)","Glioma","High - Low",1.23635249003901,0.000564930238700974,0.0257768553850049
"High...Low.326","S100 beta","Glioma","High - Low",0.0125502706273614,0.982047290268883,0.987981110753892
"High...Low.327","beta Tubulin","Glioma","High - Low",-0.177216324825041,0.647867357396525,0.925267058789595
"High...Low.328","Histone H3 (tri methyl K9)","Glioma","High - Low",1.16522228047438,0.00127811149414346,0.0386919206863429
"High...Low.329","Histone H3 (di methyl K4)","Glioma","High - Low",-0.236377767828466,0.476152473259799,0.856142930969841
"High...Low.330","GAPDH","Glioma","High - Low",-0.224280397614225,0.168779194848185,0.573504815147405
"High...Low.331","Histone H3","Glioma","High - Low",0.471726034301227,0.0748685003762911,0.405820886939019
"High...Low.332","Histone H3 (di methyl K79)","Glioma","High - Low",0.585732078738379,0.0347215091664669,0.300318985515154
