"","Protein","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.117","Insulin Receptor beta","Glioma","High - Low",0.602716200579212,0.00655585579689766,0.109154999018346
"High...Low.118","VEGF Receptor 2","Glioma","High - Low",0.126268631627913,0.609572152810788,0.923783456584658
"High...Low.119","Cullin 1/CUL-1","Glioma","High - Low",0.353642605718406,0.12772748865633,0.506348258601881
"High...Low.120","STAT4","Glioma","High - Low",0.0875937990598914,0.679977652062469,0.925267058789595
"High...Low.121","IKK alpha","Glioma","High - Low",0.224751007926882,0.318158979743077,0.767731451119164
"High...Low.122","Carbonic Anhydrase 3/CA3","Glioma","High - Low",0.14955930762643,0.492868125170386,0.873005774902865
"High...Low.123","CDK1","Glioma","High - Low",0.311186206647793,0.151733450951782,0.537523820924928
"High...Low.124","Syk (phospho Y323)","Glioma","High - Low",0.0308436351628731,0.869817105865415,0.955651924824343
"High...Low.125","LDL Receptor","Glioma","High - Low",-0.0120093824044056,0.953833763309946,0.982665539201889
"High...Low.126","Ki67","Glioma","High - Low",0.140714017612182,0.462290710917583,0.855237815197528
"High...Low.127","Histone H2B (acetyl K5)","Glioma","High - Low",0.424094723324422,0.0351724937990721,0.300318985515154
"High...Low.128","S6K1","Glioma","High - Low",0.00722591492462063,0.97011652133584,0.982665539201889
"High...Low.129","CD31","Glioma","High - Low",-0.0877695862706953,0.738899918032555,0.925267058789595
"High...Low.130","Ret","Glioma","High - Low",0.1610701861476,0.482921467967504,0.859961758466197
"High...Low.131","CD44","Glioma","High - Low",0.8702163385694,0.000159282533527615,0.0132602709161739
"High...Low.132","KMT6/EZH2 (phospho T487)","Glioma","High - Low",-0.0955289709967663,0.784523575316081,0.925267058789595
"High...Low.133","AKR1B10","Glioma","High - Low",0.305564746727923,0.353492391334923,0.808610130914368
"High...Low.134","IGF1 Receptor","Glioma","High - Low",0.38553377216923,0.012163653736914,0.184113486108743
"High...Low.135","Wee1 (phospho S642)","Glioma","High - Low",-0.0712192369705977,0.76092268572845,0.925267058789595
"High...Low.136","VEGFD","Glioma","High - Low",-0.0627370103007338,0.880662799111745,0.955651924824343
"High...Low.137","MMP9","Glioma","High - Low",-0.283582908311075,0.136740532362948,0.511624688504063
"High...Low.138","gamma H2A.X (phospho S139)","Glioma","High - Low",-0.0938473927492788,0.566699832789915,0.91173381530081
"High...Low.139","PI 3 Kinase p85 alpha","Glioma","High - Low",0.00702494828962503,0.970498830282063,0.982665539201889
"High...Low.140","Cytokeratin 1","Glioma","High - Low",0.547684855551364,0.0211975226922504,0.215796012258121
"High...Low.141","PDGF B","Glioma","High - Low",0.0391523214697979,0.857587498515378,0.95192212335207
"High...Low.142","STAT5a","Glioma","High - Low",0.0341949056885473,0.903481828770677,0.965811351981798
"High...Low.143","MyD88","Glioma","High - Low",0.0639248155512106,0.700679844276584,0.925267058789595
"High...Low.144","KIR2DL3","Glioma","High - Low",-0.150175703064084,0.437046544188041,0.844614151624633
"High...Low.145","Granzyme A","Glioma","High - Low",0.370836271833178,0.0441212959443822,0.331427782094637
"High...Low.146","Nanog","Glioma","High - Low",-0.248074169537048,0.13666773293505,0.511624688504063
"High...Low.147","SHP1","Glioma","High - Low",-0.119917055108789,0.613081513228857,0.923783456584658
"High...Low.148","TLR9","Glioma","High - Low",0.464516971366387,0.021385190403958,0.215796012258121
"High...Low.149","Transferrin Receptor","Glioma","High - Low",0.115801237597975,0.643168099973009,0.925267058789595
"High...Low.150","ST2","Glioma","High - Low",0.267688311833753,0.0628783637592819,0.373901698782872
"High...Low.151","Smad3","Glioma","High - Low",0.00714264600019238,0.962410138209002,0.982665539201889
"High...Low.152","KIR3DL1 + KIR3DS1","Glioma","High - Low",0.238453381100378,0.143838103851893,0.526352621787696
"High...Low.153","Catalase","Glioma","High - Low",0.167270641105957,0.332132863289221,0.77672380186842
"High...Low.154","HMGB1","Glioma","High - Low",1.12004328573508,6.9821906303408e-06,0.00123543579968069
"High...Low.155","LAG-3","Glioma","High - Low",0.0472004513990028,0.799245192529802,0.925267058789595
"High...Low.156","STAT5b","Glioma","High - Low",0.198659832256927,0.374697045672783,0.809238968542141
"High...Low.157","FABP4","Glioma","High - Low",0.0113996414662664,0.966888968880408,0.982665539201889
"High...Low.158","Smad2","Glioma","High - Low",0.189628327273883,0.300030135853725,0.74855138745448
"High...Low.159","Cytokeratin 17","Glioma","High - Low",0.0717649504470055,0.653488098681276,0.925267058789595
