Gene,Subset,Contrast,log2FC,Pr(>|t|),FDR
A2M,Glioma,High - Low,0.474247993,0.192415494,0.284409128
ACADM,Glioma,High - Low,0.078324146,0.709478855,0.780868077
ACADS,Glioma,High - Low,0.721516363,0.133007243,0.212918918
ACAT1,Glioma,High - Low,0.65090995,0.001808215,0.011351756
PSEN1,Glioma,High - Low,0.08889045,0.655787848,0.736624828
ADA,Glioma,High - Low,0.997986115,0.026314739,0.064021972
AGL,Glioma,High - Low,1.251115173,0.024350027,0.060599676
ABCD1,Glioma,High - Low,0.966768711,0.108713174,0.18241466
APC,Glioma,High - Low,0.342303846,0.283009348,0.38562243
APOE,Glioma,High - Low,0.354861343,0.40025294,0.503981791
ARSB,Glioma,High - Low,0.850114683,0.038453598,0.083868815
ASL,Glioma,High - Low,2.848583379,3.61E-05,0.001512467
ASPA,Glioma,High - Low,-0.150537233,0.817907456,0.866342716
ASS1,Glioma,High - Low,0.13534955,0.668428099,0.747136023
ATM,Glioma,High - Low,0.918786686,0.012944249,0.039330195
ATP7A,Glioma,High - Low,1.209010937,0.024188256,0.060300234
ATP7B,Glioma,High - Low,1.240652613,0.031046812,0.072216047
BLM,Glioma,High - Low,1.778439574,0.026727506,0.064672562
BTD,Glioma,High - Low,1.043068612,0.056051931,0.110292746
BTK,Glioma,High - Low,-0.407291175,0.388327973,0.493102333
SERPING1,Glioma,High - Low,0.355924512,0.582241099,0.671832441
C2,Glioma,High - Low,0.145635068,0.807409544,0.85881882
C3,Glioma,High - Low,0.127385616,0.811767892,0.86186158
CA2,Glioma,High - Low,0.486577074,0.379061051,0.483633438
CACNA1S,Glioma,High - Low,0.294895024,0.590765496,0.679214317
CBS,Glioma,High - Low,0.575670238,0.110505632,0.184712146
CD40LG,Glioma,High - Low,-0.088821931,0.825984175,0.87193508
CDK4,Glioma,High - Low,2.25622183,0.002638273,0.014244498
CDKN1C,Glioma,High - Low,-0.118439014,0.821634257,0.86895455
LYST,Glioma,High - Low,0.831597996,0.009126749,0.03134746
ERCC8,Glioma,High - Low,1.571713687,0.000526487,0.00568194
CLN3,Glioma,High - Low,0.577116273,0.0054152,0.022160736
COL1A1,Glioma,High - Low,-0.3618452,0.742131043,0.806485063
COL1A2,Glioma,High - Low,0.057389598,0.955795493,0.968218986
COL5A1,Glioma,High - Low,0.052376296,0.950790381,0.965239859
CP,Glioma,High - Low,0.514325467,0.523052575,0.619253763
CPOX,Glioma,High - Low,0.282371966,0.611742611,0.697695645
CPT2,Glioma,High - Low,1.168279352,0.001659905,0.010753652
CST3,Glioma,High - Low,0.479089416,0.290223536,0.393079214
CSTB,Glioma,High - Low,0.328598746,0.30860281,0.412594363
CYP1B1,Glioma,High - Low,-0.581858833,0.395665716,0.499947039
CYP2D6,Glioma,High - Low,-0.386800471,0.257793321,0.358539191
DDB2,Glioma,High - Low,-0.152832132,0.729070403,0.796272838
DLD,Glioma,High - Low,0.918775688,0.000132027,0.002898233
SLC26A2,Glioma,High - Low,0.599396106,0.283219862,0.385708098
TOR1A,Glioma,High - Low,1.428590608,0.000104509,0.002606357
EMD,Glioma,High - Low,0.68487674,0.002686327,0.014402983
EPHX1,Glioma,High - Low,0.473839225,0.298179708,0.401322669
ERCC5,Glioma,High - Low,0.760395239,0.031181711,0.07243828
ESR1,Glioma,High - Low,-0.059623465,0.915181304,0.93886829
EXT1,Glioma,High - Low,1.507792533,0.001043245,0.008469258
F13A1,Glioma,High - Low,-0.710912066,0.393971133,0.498235945
F5,Glioma,High - Low,0.477007236,0.576961646,0.666739526
FANCA,Glioma,High - Low,0.254459972,0.677644129,0.754712026
FAH,Glioma,High - Low,0.032253465,0.955240864,0.967901571
FECH,Glioma,High - Low,-0.101592624,0.60891136,0.694920685
FGFR2,Glioma,High - Low,-0.918335227,0.159080246,0.245039725
FH,Glioma,High - Low,0.507805459,0.036686229,0.081192157
FUCA1,Glioma,High - Low,0.046824046,0.92497751,0.946346187
GALC,Glioma,High - Low,1.191569316,0.098298254,0.16909986
GALK1,Glioma,High - Low,1.171781645,0.017750196,0.048670851
GALT,Glioma,High - Low,0.169538142,0.687191748,0.762427045
GBE1,Glioma,High - Low,0.482539947,0.320583259,0.425052821
GCDH,Glioma,High - Low,0.970779078,0.006909673,0.025937028
GIPR,Glioma,High - Low,-0.20188256,0.699604571,0.772728417
GJA1,Glioma,High - Low,-0.763350618,0.26017304,0.36104352
GJB1,Glioma,High - Low,-1.179353301,0.096121634,0.166207152
GK,Glioma,High - Low,1.159785516,0.011012558,0.035305442
GLI3,Glioma,High - Low,0.611260731,0.315294933,0.419976765
GLDC,Glioma,High - Low,2.367713058,0.000103439,0.002589536
GPI,Glioma,High - Low,-0.043955748,0.882451919,0.913427383
GSN,Glioma,High - Low,-0.451068584,0.32484933,0.429534667
GSS,Glioma,High - Low,1.693452916,0.003130639,0.015692749
MSH6,Glioma,High - Low,0.879395592,0.00214896,0.012620169
GUSB,Glioma,High - Low,0.851916932,0.023370188,0.058911411
HADHA,Glioma,High - Low,0.91202559,0.000915949,0.007837414
HADHB,Glioma,High - Low,0.824509317,0.028367376,0.067578977
HK1,Glioma,High - Low,0.019600188,0.942291172,0.959289194
HK2,Glioma,High - Low,-0.112131606,0.864459315,0.900498514
HMGCL,Glioma,High - Low,0.849609826,0.057013913,0.111855186
HPRT1,Glioma,High - Low,0.827395789,0.102743193,0.174680772
HPS1,Glioma,High - Low,-0.640003199,0.103866622,0.176133361
HSD17B3,Glioma,High - Low,0.539871718,0.34657178,0.450844351
HSD3B2,Glioma,High - Low,0.596516942,0.248675544,0.348225551
SGSH,Glioma,High - Low,0.732086884,0.074922592,0.138085797
ICAM1,Glioma,High - Low,0.102935229,0.901309402,0.928031142
IDS,Glioma,High - Low,-0.666150717,0.143103511,0.225524105
IDUA,Glioma,High - Low,0.842268927,0.000420796,0.005084756
CFI,Glioma,High - Low,1.378215902,0.023121172,0.058441216
INSR,Glioma,High - Low,0.538120631,0.013102128,0.039590621
ITGA6,Glioma,High - Low,0.456329434,0.287782588,0.390540778
ITGB2,Glioma,High - Low,-0.570270375,0.374913837,0.479650856
JAG1,Glioma,High - Low,1.21411043,0.022242009,0.056989163
JAK3,Glioma,High - Low,-0.02587928,0.970723952,0.979401148
ANOS1,Glioma,High - Low,1.237104568,0.043842239,0.092302048
KHK,Glioma,High - Low,0.845153085,0.089486832,0.157659053
KRT12,Glioma,High - Low,0.530081392,0.185201809,0.275770191
KRT18,Glioma,High - Low,0.380536008,0.322043485,0.426729618
LAMA3,Glioma,High - Low,-0.597131135,0.222628998,0.319194204
LCAT,Glioma,High - Low,1.818941583,0.0609248,0.117653158
SGCB,Glioma,High - Low,0.695361477,0.001567579,0.010418433
LIG1,Glioma,High - Low,1.018351877,0.152192745,0.236798527
LIPA,Glioma,High - Low,0.286904307,0.352045784,0.456098897
LYZ,Glioma,High - Low,-0.055786405,0.938177645,0.956039552
MLH1,Glioma,High - Low,0.766128625,0.002215336,0.012843074
MSH2,Glioma,High - Low,0.574287263,0.107332314,0.180722992
MTM1,Glioma,High - Low,0.496146343,0.073668399,0.136446505
MTTP,Glioma,High - Low,-0.293654905,0.525556464,0.621431481
MTR,Glioma,High - Low,1.259465914,0.002748327,0.014603831
MMUT,Glioma,High - Low,1.475106506,6.61E-06,0.00072233
MYO5A,Glioma,High - Low,0.224171316,0.545085762,0.639269785
NAGA,Glioma,High - Low,0.917657504,0.086575105,0.153761238
NAGLU,Glioma,High - Low,2.20378703,0.000290602,0.004207086
PTCH1,Glioma,High - Low,1.483867565,0.021281008,0.055339074
NCF1,Glioma,High - Low,-0.095415591,0.900887233,0.927888337
NDP,Glioma,High - Low,-0.175041024,0.698831231,0.772199958
NF1,Glioma,High - Low,0.900330841,0.000102201,0.002568366
PNP,Glioma,High - Low,1.061185367,0.001030729,0.008442352
NPC1,Glioma,High - Low,1.109082276,0.081704489,0.14743066
OAT,Glioma,High - Low,-0.01312654,0.953052033,0.96678626
OCA2,Glioma,High - Low,-0.86577572,0.033151043,0.075532518
OCRL,Glioma,High - Low,0.420172488,0.046044256,0.095646113
PAX6,Glioma,High - Low,0.885052979,0.207021392,0.301069764
PCBD1,Glioma,High - Low,0.801585506,0.165430117,0.252252669
PCCA,Glioma,High - Low,0.196472308,0.294111655,0.397031023
PDHA1,Glioma,High - Low,0.604501393,0.003398968,0.016489056
PEPD,Glioma,High - Low,0.537176827,0.101689461,0.173316858
PEX12,Glioma,High - Low,1.400642661,0.01277657,0.038966605
PEX6,Glioma,High - Low,0.883924214,0.071596259,0.133344213
PEX7,Glioma,High - Low,1.462148163,0.002250094,0.012909997
PFKM,Glioma,High - Low,1.111942358,8.38E-05,0.002304664
PGK1,Glioma,High - Low,0.262543759,0.351465931,0.455573055
PHKA2,Glioma,High - Low,0.416701955,0.537275014,0.631947932
PHKB,Glioma,High - Low,0.706681617,0.001404212,0.009717412
PHKG2,Glioma,High - Low,0.567453737,0.076706478,0.14054861
SERPINA1,Glioma,High - Low,-0.117475455,0.796176906,0.850064766
PKD2,Glioma,High - Low,0.51247118,0.01251764,0.03842754
PLOD1,Glioma,High - Low,0.06709262,0.860578856,0.897384434
PMM2,Glioma,High - Low,0.832129662,0.102608855,0.1745884
PMP22,Glioma,High - Low,0.196971864,0.605126794,0.691818355
PON2,Glioma,High - Low,1.481283212,0.005532412,0.022460735
POU3F4,Glioma,High - Low,1.661911696,0.019142938,0.051297276
PRNP,Glioma,High - Low,0.052451244,0.828856697,0.873769785
PROS1,Glioma,High - Low,0.743483551,0.010341703,0.033969872
PTH1R,Glioma,High - Low,-0.220488579,0.659404166,0.739936471
PTS,Glioma,High - Low,1.533548133,0.00030102,0.004283972
PEX2,Glioma,High - Low,1.387936897,0.00099645,0.008261424
QDPR,Glioma,High - Low,-0.160881263,0.758490394,0.820194477
RB1,Glioma,High - Low,1.738872238,0.001135782,0.008867495
RLBP1,Glioma,High - Low,-0.276348143,0.59672675,0.685063268
ROM1,Glioma,High - Low,1.273693537,0.049537039,0.100970091
RPGR,Glioma,High - Low,0.902991665,0.042579329,0.090326837
RPE65,Glioma,High - Low,0.081426437,0.865879117,0.901547139
ATXN1,Glioma,High - Low,0.095585393,0.511952492,0.609363088
SGCD,Glioma,High - Low,-0.301722175,0.599270555,0.687122286
SMN1,Glioma,High - Low,0.604372559,0.074715438,0.137862106
SNCA,Glioma,High - Low,-1.353093343,0.030522711,0.071369302
ABCC8,Glioma,High - Low,1.897786787,0.00130576,0.009403911
TCN2,Glioma,High - Low,1.231381482,0.013093018,0.039581362
TCOF1,Glioma,High - Low,2.054666806,0.000711968,0.006701507
THBD,Glioma,High - Low,0.313386727,0.67826609,0.755077369
TIMP3,Glioma,High - Low,0.677838361,0.134515755,0.214834689
TPI1,Glioma,High - Low,0.250392021,0.358831258,0.463285441
TPM1,Glioma,High - Low,0.242041194,0.434483639,0.537023911
TPMT,Glioma,High - Low,-0.056346814,0.816855653,0.865578752
TSC1,Glioma,High - Low,0.15765004,0.441301307,0.543449776
UROS,Glioma,High - Low,0.766109551,0.005474566,0.022295023
WAS,Glioma,High - Low,0.722388893,0.143908038,0.226492119
XPA,Glioma,High - Low,1.100766314,0.001061877,0.008524311
MID1,Glioma,High - Low,2.055517307,2.26E-06,0.000435703
BLMH,Glioma,High - Low,0.685070558,0.01318523,0.039759146
SLC25A20,Glioma,High - Low,1.013321811,0.019633818,0.05222787
CASR,Glioma,High - Low,0.361973009,0.489497402,0.588034634
CDKN1A,Glioma,High - Low,1.247583836,0.143817874,0.226378136
CHM,Glioma,High - Low,1.281489758,0.033703303,0.076385209
TPP1,Glioma,High - Low,0.627184167,0.087497803,0.155126437
COL5A2,Glioma,High - Low,0.46012303,0.526684028,0.62233851
CTSK,Glioma,High - Low,1.311554928,0.013845391,0.041091442
CYBB,Glioma,High - Low,-0.448724001,0.470745196,0.570163445
CYB5R3,Glioma,High - Low,0.461125616,0.010355446,0.033978733
EGR2,Glioma,High - Low,0.425551825,0.515989035,0.612997408
ERCC2,Glioma,High - Low,0.112597514,0.54856632,0.642258681
G6PD,Glioma,High - Low,0.483830171,0.099507785,0.170486185
GLB1,Glioma,High - Low,2.243619116,0.000535667,0.005727184
GM2A,Glioma,High - Low,0.595683103,0.026533099,0.064404499
HLCS,Glioma,High - Low,1.26540073,0.004325263,0.019209858
HSD17B4,Glioma,High - Low,0.503638846,0.03156676,0.073099325
IFNGR1,Glioma,High - Low,0.04034822,0.880590515,0.912149653
IL4R,Glioma,High - Low,0.392065716,0.562944567,0.654759991
ITGA2B,Glioma,High - Low,0.811483115,0.154759815,0.239848352
LAMA2,Glioma,High - Low,1.408767546,0.031692656,0.073313333
PAFAH1B1,Glioma,High - Low,0.632005145,0.000153406,0.003128585
MVK,Glioma,High - Low,0.203628585,0.515303497,0.6122941
NCF2,Glioma,High - Low,-0.266676773,0.726463363,0.794552236
NEU1,Glioma,High - Low,1.089161242,0.00088796,0.007689196
NOTCH3,Glioma,High - Low,0.680077027,0.297619463,0.40077462
OXCT1,Glioma,High - Low,0.316996076,0.51847635,0.615098926
PAFAH2,Glioma,High - Low,-0.186794268,0.446962076,0.54897509
PCSK1,Glioma,High - Low,-0.171143555,0.807666076,0.858899604
PLEC,Glioma,High - Low,0.279059906,0.183800145,0.274119524
PSEN2,Glioma,High - Low,1.365750682,0.011198373,0.035726192
RFX5,Glioma,High - Low,0.926760599,0.001016405,0.008359165
SLC5A5,Glioma,High - Low,0.096885774,0.868981136,0.903698968
STK11,Glioma,High - Low,0.6155476,0.016884046,0.047084732
UBE3A,Glioma,High - Low,1.03833834,0.000649915,0.006367402
BARD1,Glioma,High - Low,0.961835701,0.128172293,0.206727807
PEX1,Glioma,High - Low,0.546552455,0.149473468,0.233371825
AK1,Glioma,High - Low,-0.069737456,0.801411071,0.854259966
ALPL,Glioma,High - Low,0.428573817,0.152675815,0.237415993
AMH,Glioma,High - Low,0.869930687,0.0090073,0.03103489
AMPD3,Glioma,High - Low,-0.069980653,0.855149479,0.89378719
AMT,Glioma,High - Low,-0.06180634,0.877886728,0.91040642
APP,Glioma,High - Low,0.46631156,0.063653125,0.121566421
APRT,Glioma,High - Low,1.158990358,0.007798056,0.028069715
ARSA,Glioma,High - Low,0.875988439,0.099018741,0.169870594
ATRX,Glioma,High - Low,0.073740465,0.644618702,0.726083334
C1QB,Glioma,High - Low,0.683810394,0.320286391,0.424831296
CFTR,Glioma,High - Low,0.177384041,0.67361317,0.751373081
COL4A5,Glioma,High - Low,-0.419739406,0.426102452,0.529162421
CYP21A2,Glioma,High - Low,0.936346126,0.080833123,0.146241272
F12,Glioma,High - Low,0.898289429,0.00994449,0.033105317
FBP1,Glioma,High - Low,-0.847907315,0.036551136,0.081012983
GALNS,Glioma,High - Low,1.118813852,0.032407771,0.074506574
GH1,Glioma,High - Low,0.502551512,0.410012314,0.513220959
HBA2,Glioma,High - Low,-0.052365126,0.951173635,0.965532592
HBB,Glioma,High - Low,0.209455806,0.751512166,0.814262561
HEXA,Glioma,High - Low,0.350788623,0.089697366,0.15791416
HEXB,Glioma,High - Low,0.898846067,0.054388945,0.107994307
KCNJ11,Glioma,High - Low,0.348329256,0.516600926,0.61344603
LDLR,Glioma,High - Low,1.209486563,0.08422541,0.150794925
PCCB,Glioma,High - Low,0.793510398,0.000973978,0.008131721
PLP1,Glioma,High - Low,-0.627732593,0.606808614,0.693285575
PMS1,Glioma,High - Low,1.672581304,0.004529447,0.01972856
SMPD1,Glioma,High - Low,0.460988211,0.053573266,0.106779536
HNF1A,Glioma,High - Low,-0.103708467,0.835065323,0.878193596
TSC2,Glioma,High - Low,0.925926741,0.000113942,0.002697716
VHL,Glioma,High - Low,0.533257018,0.09786079,0.168502277
VWF,Glioma,High - Low,0.312842722,0.511944002,0.609363088
WRN,Glioma,High - Low,1.377157978,0.001448814,0.009915602
DCX,Glioma,High - Low,1.48421756,0.051545151,0.103907723
IL6R,Glioma,High - Low,0.671927505,0.279798638,0.382190438
FCGR1A,Glioma,High - Low,-0.16048719,0.723720378,0.792412687
FCGR3A,Glioma,High - Low,0.126845014,0.822291034,0.869438465
CR1,Glioma,High - Low,-0.008716457,0.985004855,0.98939784
CD55,Glioma,High - Low,0.168797,0.67554709,0.752938997
SLC11A1,Glioma,High - Low,0.719015679,0.50733298,0.605074759
GPX1,Glioma,High - Low,0.119539289,0.673693055,0.751398175
C7,Glioma,High - Low,-0.28404158,0.596742272,0.685063268
CD14,Glioma,High - Low,0.215878114,0.768097637,0.827916552
TAP1,Glioma,High - Low,1.374856945,0.027981412,0.066878538
IGFBP1,Glioma,High - Low,-0.303744177,0.618690712,0.704086701
IGFBP2,Glioma,High - Low,0.256961864,0.682866647,0.758979033
IGFBP3,Glioma,High - Low,1.123505653,0.061832498,0.118984847
HGF,Glioma,High - Low,0.180454482,0.708908718,0.780437387
SERPINE1,Glioma,High - Low,0.354079753,0.691212303,0.765784624
ORM1,Glioma,High - Low,0.330794345,0.568053324,0.659413261
ORM2,Glioma,High - Low,-0.086543471,0.856091577,0.89452433
CD59,Glioma,High - Low,0.147566087,0.635743289,0.718683032
IGF2,Glioma,High - Low,-0.392144102,0.655890341,0.736624828
NCAM1,Glioma,High - Low,0.95068353,0.044826376,0.093845817
CD4,Glioma,High - Low,0.311833959,0.68522378,0.76069484
SLC11A2,Glioma,High - Low,0.700416644,0.003900779,0.01790147
NOS2,Glioma,High - Low,0.26905605,0.692654393,0.766992893
LTBP1,Glioma,High - Low,0.172784239,0.734357798,0.800051625
IL10RB,Glioma,High - Low,1.268553578,0.038517781,0.08396825
IFNAR1,Glioma,High - Low,0.776180205,0.001196987,0.009032941
NCF4,Glioma,High - Low,-0.435079589,0.533470045,0.628405155
ITGAM,Glioma,High - Low,-0.28833772,0.625379527,0.710525351
RFX2,Glioma,High - Low,-0.173351765,0.291935895,0.394949026
SOD2,Glioma,High - Low,0.582049822,0.338231498,0.442492506
GSR,Glioma,High - Low,1.83071528,4.78E-05,0.001747758
FASLG,Glioma,High - Low,-0.305039989,0.539110867,0.633454059
IL13RA2,Glioma,High - Low,-0.04781005,0.94427539,0.960636961
TGFB1,Glioma,High - Low,0.195141824,0.662613683,0.742646888
RPL9,Glioma,High - Low,0.867011169,0.000810752,0.007305696
ABAT,Glioma,High - Low,1.790639507,0.036975531,0.081611703
ACHE,Glioma,High - Low,-0.217797472,0.66578615,0.745373071
ACY1,Glioma,High - Low,1.619504577,0.004515333,0.01969329
ADH5,Glioma,High - Low,0.560074091,0.001804255,0.011351756
ADORA3,Glioma,High - Low,-0.856910693,0.078736731,0.14341959
ADRA1B,Glioma,High - Low,-0.497518255,0.2781111,0.38037278
ADRA1A,Glioma,High - Low,0.645084023,0.282882994,0.385530034
ALDH1A1,Glioma,High - Low,0.002750572,0.99617793,0.997549341
ALDH2,Glioma,High - Low,0.096907226,0.783375448,0.839959121
ALDH1B1,Glioma,High - Low,0.915818297,0.041685911,0.088855996
ALDH3B2,Glioma,High - Low,0.187667637,0.733103774,0.79947757
ALDH9A1,Glioma,High - Low,0.501037014,0.035682769,0.079587551
ALOX5,Glioma,High - Low,-0.132757067,0.833009517,0.876843732
ANXA1,Glioma,High - Low,0.377352566,0.661924365,0.742001345
ATP1A1,Glioma,High - Low,0.134572824,0.602609814,0.68974301
ATP1A2,Glioma,High - Low,0.434089858,0.659965162,0.740439063
AVPR1B,Glioma,High - Low,0.243531237,0.504093705,0.602063982
BCKDHA,Glioma,High - Low,0.469151362,0.117541218,0.193396925
BLVRA,Glioma,High - Low,0.8359083,0.002105608,0.012434356
BLVRB,Glioma,High - Low,-0.291861211,0.491399103,0.589994357
TSPO,Glioma,High - Low,0.089745218,0.85439097,0.893204686
C4BPB,Glioma,High - Low,-0.424235197,0.328626742,0.433173254
CA4,Glioma,High - Low,0.202090986,0.697246535,0.771008658
CACNA1B,Glioma,High - Low,-1.373581128,0.049484473,0.100919035
CACNA1E,Glioma,High - Low,0.460620539,0.440431497,0.542735961
CACNA2D1,Glioma,High - Low,0.223366436,0.669780983,0.748309788
CACNB2,Glioma,High - Low,-0.453661988,0.329105572,0.433502454
CACNB3,Glioma,High - Low,-0.011145652,0.98056834,0.986293407
CACNB4,Glioma,High - Low,1.067140723,0.031140355,0.072367885
CACNG1,Glioma,High - Low,0.283941285,0.440239275,0.542601226
CD3D,Glioma,High - Low,-0.299766488,0.635478929,0.718508257
CHRM1,Glioma,High - Low,-0.544965067,0.434822263,0.537239586
CHRM3,Glioma,High - Low,-0.007924319,0.987624462,0.9910709
CHRNA4,Glioma,High - Low,1.090271723,0.013685807,0.040739322
CHRNB1,Glioma,High - Low,0.368963185,0.403022186,0.506991687
CSF1,Glioma,High - Low,1.031951677,0.037718561,0.082744938
CYP2E1,Glioma,High - Low,0.236852356,0.630731382,0.715178487
CYP2J2,Glioma,High - Low,-0.359076233,0.445506301,0.547649422
CYP27A1,Glioma,High - Low,-0.23595653,0.709072088,0.78055161
CYP27B1,Glioma,High - Low,0.778545834,0.28167383,0.384242077
DCK,Glioma,High - Low,0.096286123,0.45335135,0.554709776
ACE,Glioma,High - Low,1.190515485,0.020675057,0.054259074
DIO1,Glioma,High - Low,-0.363206502,0.518603609,0.615098926
DRD4,Glioma,High - Low,-0.048627847,0.828794082,0.873769785
DRD5,Glioma,High - Low,0.528555331,0.521828973,0.618196411
EPO,Glioma,High - Low,-0.25672303,0.655875012,0.736624828
FOLR3,Glioma,High - Low,-1.013382583,0.071505736,0.133204975
GABRA1,Glioma,High - Low,-0.580627734,0.369134502,0.473970583
GABRA2,Glioma,High - Low,-1.35421238,0.080330011,0.145592586
GABRA4,Glioma,High - Low,0.233622131,0.717461419,0.786875721
GABRB1,Glioma,High - Low,0.015108595,0.981864404,0.987369481
GABRB2,Glioma,High - Low,-1.070436475,0.131358673,0.210769498
GABRB3,Glioma,High - Low,-0.059269051,0.906926323,0.932201786
GABRD,Glioma,High - Low,-0.428595907,0.503069152,0.601302222
GABRG2,Glioma,High - Low,0.022098477,0.972298165,0.980583383
GAD1,Glioma,High - Low,0.733105206,0.226347042,0.323462325
GART,Glioma,High - Low,0.908982462,0.000156914,0.003146788
GAS6,Glioma,High - Low,-0.463049652,0.232754633,0.330706068
GGCX,Glioma,High - Low,0.935225752,0.042008195,0.089389451
GLRB,Glioma,High - Low,0.989814349,0.058677868,0.114547387
GRIA1,Glioma,High - Low,0.597497763,0.300606127,0.404048457
GRIA3,Glioma,High - Low,1.440725651,0.039317659,0.085187177
GRIA4,Glioma,High - Low,1.860099483,0.004938269,0.02074992
GRIK1,Glioma,High - Low,0.659750299,0.250465846,0.350357833
GRIK3,Glioma,High - Low,1.191544215,0.046075126,0.095679877
GRIN1,Glioma,High - Low,-0.31292151,0.712980487,0.783677276
GRIN2A,Glioma,High - Low,-0.586913296,0.051470645,0.103805385
GRIN2B,Glioma,High - Low,0.026275426,0.957547567,0.969618739
GRINA,Glioma,High - Low,0.725616922,0.001044911,0.008475533
GRM3,Glioma,High - Low,-1.024997959,0.09149826,0.160222913
GRM4,Glioma,High - Low,0.516461861,0.316213927,0.420951513
GRM5,Glioma,High - Low,-0.571865816,0.434350092,0.536909532
GRM7,Glioma,High - Low,-0.216047375,0.7006723,0.77345101
GRM8,Glioma,High - Low,0.162208535,0.775114008,0.833694874
GSTM2,Glioma,High - Low,0.84980066,0.132672077,0.212460312
GSTM3,Glioma,High - Low,0.81165142,0.15896085,0.24497469
GSTM4,Glioma,High - Low,-0.503035708,0.124062583,0.201532432
GSTT2,Glioma,High - Low,1.419545341,0.083692426,0.150169239
GUCY1A2,Glioma,High - Low,0.888519242,0.098107309,0.168815745
GUCY1B1,Glioma,High - Low,-0.477276916,0.468330765,0.568185202
GUK1,Glioma,High - Low,0.742965664,0.006555689,0.025090218
HMGCR,Glioma,High - Low,1.424806245,0.010809675,0.034912141
HRH1,Glioma,High - Low,0.286389196,0.492464005,0.59094778
ICAM2,Glioma,High - Low,1.120931668,0.066453663,0.125697459
IFNAR2,Glioma,High - Low,0.887987069,0.003614809,0.01710984
IGF1R,Glioma,High - Low,0.846136094,0.088275619,0.156124647
IGF2R,Glioma,High - Low,0.734907099,0.01033545,0.033966376
IL12A,Glioma,High - Low,-0.037627751,0.935740938,0.95389355
IMPDH1,Glioma,High - Low,0.387442211,0.218333548,0.314205445
IMPDH2,Glioma,High - Low,1.245911969,0.000108616,0.002643318
ITGA4,Glioma,High - Low,-0.012918475,0.98550301,0.989494502
ITGAX,Glioma,High - Low,0.030827891,0.951839125,0.965930062
KCNJ5,Glioma,High - Low,-0.052463534,0.923916421,0.94565648
KNG1,Glioma,High - Low,0.226028165,0.689596086,0.764382116
CYP4F3,Glioma,High - Low,-0.171209238,0.688798877,0.763692412
MAOB,Glioma,High - Low,-0.183915641,0.761442615,0.822417106
NQO1,Glioma,High - Low,-0.336415172,0.561973682,0.654095601
NQO2,Glioma,High - Low,0.456826187,0.202815494,0.296534145
OPRD1,Glioma,High - Low,-0.499767417,0.318278275,0.422981877
OXTR,Glioma,High - Low,0.11951007,0.776927312,0.835164967
P4HA1,Glioma,High - Low,0.351180494,0.447402267,0.549258123
P4HB,Glioma,High - Low,0.560258513,0.100263543,0.171392178
PAM,Glioma,High - Low,0.669542785,0.051453239,0.10378912
PC,Glioma,High - Low,1.036657952,0.026904903,0.064957753
PDE3B,Glioma,High - Low,0.685602405,0.114999318,0.190304104
PDE4C,Glioma,High - Low,-0.00890417,0.979465343,0.985562537
PDE1B,Glioma,High - Low,-0.949784449,0.06783718,0.127706029
PDHB,Glioma,High - Low,0.729411939,0.007221341,0.026724242
ABCB1,Glioma,High - Low,0.149922744,0.806756541,0.85842043
PLA2G5,Glioma,High - Low,-0.308120188,0.634692029,0.718290304
PLAT,Glioma,High - Low,-0.123018723,0.822234711,0.869438465
POLR2A,Glioma,High - Low,0.531828652,0.01056038,0.034480564
POLR2B,Glioma,High - Low,0.792779293,0.001541801,0.010301153
POR,Glioma,High - Low,0.465901,0.024484709,0.06080772
PPIB,Glioma,High - Low,0.530471848,0.107544069,0.180911285
PPIC,Glioma,High - Low,0.75908383,0.159892773,0.246074001
PPP3CA,Glioma,High - Low,0.431778616,0.114964817,0.190295114
PPP3R1,Glioma,High - Low,-0.246318726,0.339582521,0.443860831
PRIM1,Glioma,High - Low,0.684814739,0.054658666,0.108367464
PRRG1,Glioma,High - Low,-0.042250156,0.948435694,0.96355259
PTAFR,Glioma,High - Low,-0.132950157,0.85858007,0.896167499
PTGDS,Glioma,High - Low,-0.671420019,0.475657643,0.574996355
PTGER3,Glioma,High - Low,-0.056470766,0.907898826,0.93298166
PTGER4,Glioma,High - Low,0.670321312,0.33469253,0.439047119
RARB,Glioma,High - Low,0.059896034,0.872838189,0.906629942
RPL4,Glioma,High - Low,1.164528749,0.000881809,0.007646046
RPL5,Glioma,High - Low,0.889385552,0.003083687,0.015598469
RPL6,Glioma,High - Low,1.197004019,3.29E-05,0.00148681
RPL7,Glioma,High - Low,0.926429952,0.001246737,0.009206727
RPL7A,Glioma,High - Low,0.911445415,0.001037468,0.008442352
RPL12,Glioma,High - Low,0.899444994,0.004071267,0.018438293
RPL23,Glioma,High - Low,0.997062242,0.005889871,0.023484899
RPL18A,Glioma,High - Low,1.108847598,0.000973414,0.008131721
RPL19,Glioma,High - Low,1.041201474,0.000392311,0.004907254
RPL21,Glioma,High - Low,0.747148963,0.007975229,0.028522173
RPL17,Glioma,High - Low,0.852660165,0.003081602,0.015597876
RPL24,Glioma,High - Low,1.027440454,0.001090191,0.008661332
RPL26,Glioma,High - Low,0.830833918,0.008000268,0.028561934
RPL27,Glioma,High - Low,0.837453334,0.004778787,0.0204069
RPL30,Glioma,High - Low,0.990708992,0.002110709,0.012454041
