Gene,Subset,Contrast,log2FC,Pr(>|t|),FDR
SCAPER,Glioma,High - Low,0.544713442,0.016280355,0.045959181
PAFAH1B3,Glioma,High - Low,1.964953165,0.00044061,0.00523716
SLCO1C1,Glioma,High - Low,-0.348350066,0.425777647,0.528809214
TJAP1,Glioma,High - Low,1.53622348,0.025904948,0.063278636
SEMA7A,Glioma,High - Low,0.515353734,0.43772114,0.540209528
GORAB,Glioma,High - Low,1.156790287,0.014824004,0.043276309
HSDL1,Glioma,High - Low,0.412560298,0.119869894,0.196525985
TDRD3,Glioma,High - Low,0.72769561,0.02684732,0.064856266
MBOAT7,Glioma,High - Low,0.220727795,0.641517237,0.723595666
FAN1,Glioma,High - Low,0.507736619,0.095306062,0.165112598
PARP9,Glioma,High - Low,1.552385008,0.015107059,0.043837926
PTGR1,Glioma,High - Low,-0.190951092,0.626131348,0.71119439
FAM25A,Glioma,High - Low,0.375386685,0.607732254,0.693939829
ZNF414,Glioma,High - Low,1.831842016,0.002701301,0.014441868
ZNF407,Glioma,High - Low,0.093011883,0.626360152,0.711330859
ZDHHC15,Glioma,High - Low,1.217218785,0.000154411,0.003134421
PIP4K2C,Glioma,High - Low,0.086546508,0.714481191,0.784527192
GPR85,Glioma,High - Low,0.708090984,0.099917461,0.170972388
TCF7L2,Glioma,High - Low,0.617274309,0.002776087,0.014691716
SRP54,Glioma,High - Low,1.356895327,0.000254311,0.00394047
P3H1,Glioma,High - Low,0.646201724,0.196986416,0.28982393
MYOCD,Glioma,High - Low,-0.672592597,0.177704059,0.267188122
SPSB2,Glioma,High - Low,0.805235394,0.101142297,0.172608979
GRAMD2B,Glioma,High - Low,1.078396797,0.088209358,0.156028792
NACAD,Glioma,High - Low,-0.135303409,0.650660499,0.732007038
VSTM2B,Glioma,High - Low,-0.537838113,0.503103192,0.601302222
TMEM88B,Glioma,High - Low,-0.344090135,0.677889298,0.754856658
KDM4C,Glioma,High - Low,0.421111407,0.180210069,0.269876804
RBM19,Glioma,High - Low,0.973323016,0.000422858,0.005098043
KDM5D,Glioma,High - Low,0.823200649,0.428630208,0.531595653
ANK3,Glioma,High - Low,0.184456495,0.716139102,0.785933605
ANPEP,Glioma,High - Low,0.535952122,0.471591977,0.570924989
SLC25A4,Glioma,High - Low,0.479039547,0.381280947,0.486039475
ANXA4,Glioma,High - Low,-0.031969273,0.95122622,0.965532592
ANXA5,Glioma,High - Low,0.897170249,0.031789689,0.073459654
ANXA6,Glioma,High - Low,0.814593012,0.044735682,0.093722552
ANXA7,Glioma,High - Low,0.246315096,0.391072718,0.49549018
PLA2G4C,Glioma,High - Low,0.281579087,0.636716729,0.719286638
MTHFSD,Glioma,High - Low,1.309849301,0.018223699,0.049605591
ZNF727,Glioma,High - Low,0.022697392,0.971735945,0.980195587
RFPL2,Glioma,High - Low,-0.527988182,0.174707755,0.263439898
BIVM,Glioma,High - Low,1.097234259,0.019027297,0.051060546
SH3YL1,Glioma,High - Low,1.1273476,0.027830857,0.06668913
SYNCRIP,Glioma,High - Low,0.962984149,0.000447629,0.00526577
BUD13,Glioma,High - Low,0.733121519,0.09693675,0.167329317
CANT1,Glioma,High - Low,0.83884252,0.00975321,0.032651182
ZNF583,Glioma,High - Low,0.832145203,0.130201382,0.209348728
FBXW12,Glioma,High - Low,0.577476404,0.255736641,0.356322214
EVI5L,Glioma,High - Low,1.399739175,0.016735956,0.04680134
EPS15,Glioma,High - Low,-0.20521332,0.472563783,0.571995712
ST6GALNAC3,Glioma,High - Low,-0.526226061,0.256471476,0.357067608
RHOBTB2,Glioma,High - Low,0.741041259,0.052784816,0.105751186
TXNDC16,Glioma,High - Low,0.917164993,0.065922226,0.124926864
CLDN10,Glioma,High - Low,-0.262195345,0.747296473,0.810750995
C15orf40,Glioma,High - Low,1.125929924,0.001213539,0.009089738
KCNQ5,Glioma,High - Low,-0.210577782,0.703628764,0.775798855
CFAP69,Glioma,High - Low,0.638595439,0.261276627,0.36215275
MGAT4A,Glioma,High - Low,0.956997674,0.058845772,0.11480669
SLC25A13,Glioma,High - Low,0.669671957,0.052857643,0.105836537
RNF170,Glioma,High - Low,0.605155048,0.001468458,0.009957016
SPG11,Glioma,High - Low,0.608246426,0.349377105,0.453603796
SETD6,Glioma,High - Low,2.642616911,2.21E-07,0.00012191
TRAPPC9,Glioma,High - Low,0.626129237,0.000331486,0.004504059
SCEL,Glioma,High - Low,-0.363091883,0.412223707,0.515478526
POLR3B,Glioma,High - Low,0.237833841,0.59387289,0.682187906
CHFR,Glioma,High - Low,0.256165491,0.34632012,0.450777347
NPTN,Glioma,High - Low,0.010221483,0.976146238,0.983432033
ZNF610,Glioma,High - Low,1.574622684,0.006449558,0.024843795
RANBP3L,Glioma,High - Low,-0.866381215,0.226998566,0.324075044
CYB561A3,Glioma,High - Low,0.418968203,0.329787936,0.434237392
JMJD4,Glioma,High - Low,0.702554754,0.003045625,0.015516095
TNIK,Glioma,High - Low,0.747806055,0.065054475,0.123604446
MAFF,Glioma,High - Low,-0.081453875,0.885460687,0.915890091
SAMD4A,Glioma,High - Low,0.297811531,0.283493953,0.386041219
DUS3L,Glioma,High - Low,2.564910556,1.44E-05,0.001039509
WWC1,Glioma,High - Low,0.353137364,0.464214913,0.56461866
FXN,Glioma,High - Low,1.083623452,0.005989263,0.023755655
KIRREL3,Glioma,High - Low,-0.346692556,0.493164209,0.591516947
AHCY,Glioma,High - Low,1.196158867,0.001244166,0.009206727
PDP1,Glioma,High - Low,0.438760984,0.466203047,0.566518058
PDCD6IP,Glioma,High - Low,1.037218469,0.043676245,0.092041378
CAND2,Glioma,High - Low,1.387038515,0.012978879,0.0393818
SH3D21,Glioma,High - Low,-0.215385355,0.400761775,0.504390457
KIAA0040,Glioma,High - Low,0.904547937,0.122058653,0.199241235
APBA1,Glioma,High - Low,0.988807519,0.026066327,0.063566105
KIZ,Glioma,High - Low,1.888642419,0.000438389,0.005218021
TMEM121B,Glioma,High - Low,1.011246889,0.053257803,0.106361259
PLXNB3,Glioma,High - Low,0.722425962,0.102392141,0.174264955
PCYT1B,Glioma,High - Low,1.564195453,0.000411474,0.005020903
FBXL17,Glioma,High - Low,0.550624822,0.01859819,0.050436228
CCDC120,Glioma,High - Low,1.420225344,0.018805907,0.050695025
RAB2B,Glioma,High - Low,0.86126335,0.032488382,0.0746067
FAM172A,Glioma,High - Low,1.390215427,0.002026926,0.01215114
ZNF580,Glioma,High - Low,0.809510243,0.016594226,0.046534343
SMIM10,Glioma,High - Low,-0.031989663,0.939809195,0.957177787
UBAP1L,Glioma,High - Low,0.705934234,0.169382036,0.256918328
TWNK,Glioma,High - Low,-0.210970146,0.234355651,0.332547799
APBB1,Glioma,High - Low,0.411165768,0.464660279,0.564936116
CHAMP1,Glioma,High - Low,0.553169249,0.149377647,0.233250033
PPP6R3,Glioma,High - Low,1.136031081,0.000279452,0.004145365
PLIN3,Glioma,High - Low,0.73729289,0.065227778,0.123861826
DDHD2,Glioma,High - Low,0.374221996,0.027214759,0.065560781
DHX16,Glioma,High - Low,1.369527934,0.002945301,0.015197748
ODR4,Glioma,High - Low,0.204833995,0.129312722,0.208201115
PRR29,Glioma,High - Low,-0.492157416,0.058991429,0.11495383
