feature	X1814	X1934	X1830	X1867	X1861	X4837	X6602	X9226	X1815	X17244	X1871	X4584	X4725	X2303	X8002	X1949	X4758	X4742	X1836	X4761	X1812	X15342	X15106	X4749	X1855	X14874	X10068	X17248	X4811	X4987	X4862	X1844	X8007	X2318	X4868	X4933	X4608	X4540	X2301	X2295	X4925	X1877	X15286	X1790	X4037	X4198	X14809	X13976	X4826	X15078	X4938	X4581	X15271	X4285	X4532	X15234	X4820	X15300	X4874	X14027	X5075	X9286	X4699	X5089	X14993	X1965	X5082	X5090	X4041	X15254	X4951	X15249	X15132	X8071	X2290	X15346	X4577	X4910	X4575	X4914	X5087	X4262	X4557	X4753	X5117	X15236	X15452	X5792	X4716	X4714	X9712	X15120	X2328	X14546	X9262	X4964	X6754	X15126	X14853	X4705	X4959	X15265	X4871	X2325	X15154	X14987	X5825	X4936	X4721	X4644	X4768	X14963	X4652	X4940	X15143	X5045	X4815	X5190	X4993	X5043	X4552	X25431	X15124	X14797	X4121	X6747	X4046	X3813	X49188	X15350	X14837
SRR1803838	693496	97313	0	22281	59272	0	406	10027	190469	0	652869	0	0	5017	0	30033	0	0	232767	0	0	0	0	0	35130	18	0	0	0	0	0	185727	0	95226	0	5270	0	0	22778	15675	0	37788	0	17280	0	0	0	0	0	979	10296	0	592	0	0	0	0	304	0	355	0	9762	0	0	0	0	0	0	0	0	0	0	642	0	371	0	0	0	0	0	0	1079	0	0	0	0	0	0	0	0	0	0	1146	0	0	0	0	0	1261	0	0	0	0	1773	0	0	5273	0	0	974	0	0	0	1612	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR527905	329278	71570	120750	18789	17365	638	705	0	0	0	51700	0	0	78926	0	49428	0	0	650186	0	125869	32064	19163	0	0	29563	502	0	0	0	0	0	0	121290	0	3986	0	0	32209	34545	22429	31233	10653	23313	0	0	0	45187	0	18298	42117	273	0	8763	227	6979	0	4840	737	0	2025	0	0	2571	0	27714	709	59	0	20411	4688	45023	0	0	73966	3904	0	0	0	63596	725	9683	0	0	8580	707	0	0	788	160	504	0	3194	0	0	3098	0	0	0	158	0	0	207	7390	5129	2112	3928	1970	532	2914	0	0	5833	1693	157	0	0	21	5838	0	0	0	660	0	0	0	0	0	841	1993	0
SRR527891	645777	5037	0	0	80268	2427	0	0	56640	0	259271	0	0	16464	0	117267	0	0	110904	0	0	2823	4330	0	49507	3786	0	0	0	0	0	27491	0	48518	0	2973	2755	0	0	54372	3719	0	706	32282	0	0	0	1260	0	3226	13325	0	0	0	0	0	0	0	308	528	0	0	0	0	0	37206	1121	0	0	3076	7990	2929	0	0	21027	3091	0	22960	0	2993	557	3802	0	0	1499	0	0	294	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	1787	405	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0
SRR1031094	101901	39177	526	0	28379	2030	82005	143101	106636	0	15242	0	0	11502	0	17528	0	0	52320	0	19794	42827	408072	0	0	165728	2222	0	470	0	0	0	0	76801	730	0	2938	12815	39838	38347	0	153544	50555	35236	0	8348	899	228644	0	104	0	27575	3759	4776	2237	6851	0	0	120391	0	0	0	0	7406	0	47099	0	6733	0	18447	0	30929	2700	0	0	9678	8236	0	1490	922	0	32	0	0	1946	11820	4658	72146	0	341	0	0	53094	1863	0	3475	0	0	0	0	0	0	0	1258	6393	0	0	1459	0	1529	0	0	0	0	0	0	0	5305	9853	650	0	0	0	0	393	0	0	2712	631	0	0
SRR1565914	248698	169109	634125	0	105294	5546	0	2832	0	0	0	3515	0	0	0	0	0	0	0	0	505467	83049	52931	0	2975	10163	3541	5015	0	11469	0	0	0	0	0	73065	5563	5992	129326	0	0	0	0	21654	0	2069	0	5025	0	6527	0	0	3293	22401	0	9105	2652	4986	7040	0	0	0	0	513	0	0	162	0	0	0	0	6505	5245	0	0	0	0	0	737	0	60721	139519	0	0	0	0	9594	0	0	227	113	0	0	0	0	1713	0	0	0	2326	254	0	0	0	4360	0	8635	0	2185	0	0	1074	0	0	0	0	0	0	1516	0	0	0	643	0	0	0	0	0	1466	999	0
SRR1031247	334663	26659	627656	66454	33533	51	0	0	0	0	19510	0	0	22358	0	164763	0	0	149901	0	0	5792	476	0	48987	0	0	0	0	0	0	0	0	89130	0	6793	1908	0	0	28614	0	52520	0	15658	0	0	0	678	938	19216	0	613	1975	0	0	0	0	0	1151	0	0	0	0	0	0	0	0	0	0	0	0	0	6952	0	0	0	0	0	0	396	0	0	318	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	2295	0	0	0	0	0	0	0	0	1719	5495	0	0	107	0	0	0	0	0	0	0	0	0	0	0	77	0
SRR549436	614046	71736	0	363137	94592	8282	4290	36267	0	1326	0	0	0	56967	0	0	224	0	226894	0	0	29234	1874	4891	31840	15723	827	457	0	0	0	389189	0	160275	0	6051	7248	0	122557	0	31788	0	111770	22609	0	0	0	0	594	29496	0	0	5409	9308	3747	0	0	8685	37	0	0	0	0	1030	0	0	0	220	0	0	559	1570	24086	0	0	0	3171	2461	0	9164	0	2063	0	0	0	4729	0	25983	0	0	0	1425	0	430	0	13865	0	1663	866	66	0	978	0	0	0	0	1288	0	20267	1955	0	0	601	1534	4488	0	0	0	0	0	0	0	261	0	1342	0	0	0	0	0	0
SRR1179033	600280	47988	253968	97565	7879	398	0	0	0	6595	161903	0	0	54734	0	49117	0	0	115130	0	0	63321	5354	0	0	0	2669	123878	0	0	0	0	0	0	0	8876	651	3985	0	0	0	143038	0	0	0	0	2941	0	953	10974	0	0	2389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13946	299	19482	0	0	7695	2920	0	0	3709	0	516	25448	0	0	0	0	8842	0	263	3047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0	0	0	0	0
SRR1565915	598846	33942	0	0	20023	11169	7874	83062	0	4590	72117	0	0	32597	0	122309	0	0	155940	0	0	33701	211996	0	24597	63193	3100	0	908	0	0	14680	0	545473	300	24141	9435	0	10630	89544	29382	180400	18379	68791	0	0	0	24643	655	15308	0	5984	1249	22413	964	12822	2710	17132	7709	2784	113	20046	0	952	0	161107	1399	1037	0	151755	0	60494	1687	0	44288	382	628	688	450	10238	0	9393	0	0	3252	3111	923	0	0	0	0	0	30590	1209	658	1335	0	0	864	249	73	1357	0	36804	0	742	166790	22	163	0	0	0	1089	0	858	0	0	0	4238	0	0	0	819	0	1111	0	0	0	1370	0	186
SRR1804298	85190	38488	26026	62512	33580	196	7161	538	230001	4727	70658	0	0	34483	0	88911	0	0	260694	0	34043	573486	108130	484	0	203922	0	8966	0	0	0	53910	0	60854	0	312124	40743	0	44	16874	152894	45336	423550	12462	0	344841	0	1059187	166	6064	84163	3152	23161	14457	305	42297	132	22881	6051	0	34201	6136	0	790	2845	15044	55128	586	0	122163	126500	56669	2361	0	6701	0	8934	91389	6904	106554	29470	2552	13544	0	233632	33381	10662	143681	3266	2199	0	0	3346	5353	570	8443	6143	190	25961	4568	3040	0	4507	553	545	0	5693	8176	16601	11852	0	0	995	117177	842	431	0	5979	52014	0	0	448	654	0	6953	2706	230	1276	121	0	436
