Species,Abundance,filter_step
Faecalibacterium.sp..IP-1-18,2,Before any filtering
Faecalibaculum.rodentium,2,Before any filtering
Finegoldia.magna,3,Before any filtering
Flavobacterium.sp..N1719,2,Before any filtering
Flavonifractor.plautii,2,Before any filtering
Fusobacterium.nucleatum,28,Before any filtering
Fusobacterium.polymorphum,5,Before any filtering
Gardnerella.leopoldii,6,Before any filtering
Gardnerella.vaginalis,8,Before any filtering
Gemella.sanguinis,5,Before any filtering
Glutamicibacter.halophytocola,8,Before any filtering
Gordonia.bronchialis,2,Before any filtering
Granulicatella.adiacens,1,Before any filtering
Haematobacter.massiliensis,4,Before any filtering
Haemophilus.parainfluenzae,15,Before any filtering
Halopseudomonas.litoralis,2,Before any filtering
Heyndrickxia.coagulans,6,Before any filtering
Hydrogenophilus.thermoluteolus,6,Before any filtering
Janibacter.indicus,11,Before any filtering
Janibacter.limosus,2,Before any filtering
Janibacter.sp..CX7,21,Before any filtering
Janibacter.sp..DB-40,2,Before any filtering
Jeotgalibaca.porci,10,Before any filtering
Jeotgalicoccus.sp..ATCC.8456,6,Before any filtering
Klebsiella.aerogenes,74,Before any filtering
Kocuria.palustris,2,Before any filtering
Kocuria.rosea,8,Before any filtering
Kocuria.sp..KD4,2,Before any filtering
Kytococcus.sedentarius,1,Before any filtering
LKT g  Exiguobacterium.alkaliphilum,2,Before any filtering
LKT g  Labilithrix.luteola,2,Before any filtering
LKT g  Tepidimonas.taiwanensis,8,Before any filtering
LKT o  Candidatus.Minimicrobia.vallesae,1,Before any filtering
Lachnoanaerobaculum.umeaense,2,Before any filtering
Lachnospira.eligens,2,Before any filtering
Lactobacillus.crispatus,25,Before any filtering
Lactobacillus.gasseri,2,Before any filtering
Lactobacillus.iners,6,Before any filtering
Lactobacillus.johnsonii,13,Before any filtering
Lactococcus.cremoris,1,Before any filtering
Lactococcus.raffinolactis,3,Before any filtering
Lautropia.mirabilis,2,Before any filtering
Leclercia.adecarboxylata,3,Before any filtering
Legionella.fallonii,1,Before any filtering
Leptotrichia.hongkongensis,2,Before any filtering
Ligilactobacillus.murinus,45,Before any filtering
Ligilactobacillus.ruminis,2,Before any filtering
Limnohabitans.sp..103DPR2,12,Before any filtering
Limosilactobacillus.fermentum,112,Before any filtering
Listeria.monocytogenes,82,Before any filtering
Mammaliicoccus.lentus,2,Before any filtering
Massilia.sp..NP310,2,Before any filtering
Mediterraneibacter.gnavus,6,Before any filtering
Megamonas.funiformis,14,Before any filtering
Megasphaera.stantonii,3,Before any filtering
Meiothermus.ruber,10,Before any filtering
Methylobacterium.brachiatum,2,Before any filtering
Methylobacterium.radiotolerans,2,Before any filtering
Methylobacterium.sp..C1,15,Before any filtering
Methylophaga.nitratireducenticrescens,8,Before any filtering
Methylorubrum.extorquens,2,Before any filtering
Methylorubrum.populi,6,Before any filtering
Methylorubrum.sp..B1-46,3,Before any filtering
Microbacterium.aurum,3,Before any filtering
Microbacterium.lemovicicum,6,Before any filtering
Micrococcus.luteus,6,Before any filtering
Micrococcus.lylae,2,Before any filtering
Micrococcus.porci,4,Before any filtering
Micrococcus.sp..KBS0714,6,Before any filtering
Micrococcus.sp..V7,2,Before any filtering
Microcystis.sp..MC19,7,Before any filtering
Micromonospora.sp..HUAS.LYJ1,2,Before any filtering
Microvirga.ossetica,1,Before any filtering
Mogibacterium.diversum,5,Before any filtering
Moraxella.osloensis,5,Before any filtering
Muribaculum.intestinale,3,Before any filtering
Mycobacteroides.chelonae,2,Before any filtering
Mycolicibacterium.fortuitum,4,Before any filtering
Mycolicibacterium.litorale,2,Before any filtering
Mycolicibacterium.phocaicum,2,Before any filtering
Mycolicibacterium.sediminis,4,Before any filtering
Mycolicibacterium.thermoresistibile,2,Before any filtering
Neisseria.macacae,9,Before any filtering
Neisseria.sicca,3,Before any filtering
Neisseria.sp..Marseille-Q5346,3,Before any filtering
Neisseria.sp..RH3002v2g,1,Before any filtering
Neisseria.sp..oral.taxon.014,2,Before any filtering
Neisseria.subflava,15,Before any filtering
Novosphingobium.olei,2,Before any filtering
Pandoraea.pnomenusa,1,Before any filtering
Pantoea.agglomerans,2,Before any filtering
Pantoea.piersonii,2,Before any filtering
Pantoea.stewartii,1,Before any filtering
Paraburkholderia.fungorum,72,Before any filtering
Paracoccus.yeei,2,Before any filtering
Paramuribaculum.intestinale,2,Before any filtering
Pediococcus.pentosaceus,2,Before any filtering
Peptoniphilus.harei,3,Before any filtering
Peribacillus.psychrosaccharolyticus,8,Before any filtering
Phascolarctobacterium.faecium,2,Before any filtering
Phenylobacterium.sp..NIBR.498073,2,Before any filtering
Phocaeicola.coprophilus,4,Before any filtering
Phocaeicola.vulgatus,30,Before any filtering
Polynucleobacter.sp..HIN8,1,Before any filtering
Porphyromonas.gingivalis,2,Before any filtering
Prevotella.corporis,39,Before any filtering
Prevotella.denticola,2,Before any filtering
Prevotella.histicola,3,Before any filtering
Prevotella.intermedia,28,Before any filtering
Prevotella.jejuni,3,Before any filtering
Prevotella.melaninogenica,30,Before any filtering
Prevotella.nigrescens,1,Before any filtering
Proteus.mirabilis,2,Before any filtering
Pseudochrobactrum.algeriensis,4,Before any filtering
Pseudoglutamicibacter.albus,1,Before any filtering
Pseudomonas.aeruginosa,41,Before any filtering
Pseudomonas.agarici,2,Before any filtering
Pseudomonas.azotoformans,2,Before any filtering
Pseudomonas.chengduensis,3,Before any filtering
Pseudomonas.extremaustralis,2,Before any filtering
Pseudomonas.fluorescens,15,Before any filtering
Pseudomonas.fragi,6,Before any filtering
Pseudomonas.hydrolytica,2,Before any filtering
Pseudomonas.luteola,2,Before any filtering
Pseudomonas.oleovorans,15,Before any filtering
Pseudomonas.reinekei,1,Before any filtering
Pseudomonas.sp..273,6,Before any filtering
Pseudomonas.sp..DY-1,6,Before any filtering
Pseudomonas.sp..J380,3,Before any filtering
