Species,Abundance,filter_step
Megasphaera.stantonii,3,"After control, genome completion, and coverage filter"
Micrococcus.sp..KBS0714,20,"After control, genome completion, and coverage filter"
Moraxella.osloensis,5,"After control, genome completion, and coverage filter"
Mycolicibacterium.fortuitum,4,"After control, genome completion, and coverage filter"
Mycolicibacterium.thermoresistibile,2,"After control, genome completion, and coverage filter"
Neisseria.sp..Marseille-Q5346,3,"After control, genome completion, and coverage filter"
Neisseria.sp..RH3002v2g,1,"After control, genome completion, and coverage filter"
Neisseria.subflava,15,"After control, genome completion, and coverage filter"
Paracoccus.yeei,2,"After control, genome completion, and coverage filter"
Peptoniphilus.harei,3,"After control, genome completion, and coverage filter"
Phascolarctobacterium.faecium,2,"After control, genome completion, and coverage filter"
Phocaeicola.coprophilus,6,"After control, genome completion, and coverage filter"
Prevotella.corporis,36,"After control, genome completion, and coverage filter"
Prevotella.denticola,2,"After control, genome completion, and coverage filter"
Prevotella.histicola,3,"After control, genome completion, and coverage filter"
Prevotella.jejuni,3,"After control, genome completion, and coverage filter"
Prevotella.melaninogenica,30,"After control, genome completion, and coverage filter"
Pseudochrobactrum.algeriensis,4,"After control, genome completion, and coverage filter"
Pseudomonas.fragi,6,"After control, genome completion, and coverage filter"
Pseudoxanthomonas.mexicana,6,"After control, genome completion, and coverage filter"
Ralstonia.pickettii,9,"After control, genome completion, and coverage filter"
Sphingobacterium.sp..UDSM-2020,2,"After control, genome completion, and coverage filter"
Sphingomonas.koreensis,2,"After control, genome completion, and coverage filter"
Staphylococcus.arlettae,8,"After control, genome completion, and coverage filter"
Staphylococcus.equorum,6,"After control, genome completion, and coverage filter"
Staphylococcus.nepalensis,8,"After control, genome completion, and coverage filter"
Stenotrophomonas.acidaminiphila,6,"After control, genome completion, and coverage filter"
Streptococcus.gordonii,6,"After control, genome completion, and coverage filter"
Streptococcus.koreensis,6,"After control, genome completion, and coverage filter"
Streptococcus.sanguinis,5,"After control, genome completion, and coverage filter"
Streptococcus.sp..oral.taxon.064,3,"After control, genome completion, and coverage filter"
Streptomyces.albus,2,"After control, genome completion, and coverage filter"
Veillonella.nakazawae,8,"After control, genome completion, and coverage filter"
Veillonella.sp..S12025-13,8,"After control, genome completion, and coverage filter"
Bacteroides.caccae,2,"After control, genome completion,coverage filter, and median of average letters"
Bacteroides.eggerthii,21,"After control, genome completion,coverage filter, and median of average letters"
Bifidobacterium.catenulatum,16,"After control, genome completion,coverage filter, and median of average letters"
Capnocytophaga.sp..FDAARGOS 737,6,"After control, genome completion,coverage filter, and median of average letters"
Clostridium.perfringens,2,"After control, genome completion,coverage filter, and median of average letters"
Corynebacterium.glaucum,2,"After control, genome completion,coverage filter, and median of average letters"
Enterococcus.cecorum,2,"After control, genome completion,coverage filter, and median of average letters"
Faecalibaculum.rodentium,2,"After control, genome completion,coverage filter, and median of average letters"
Fusobacterium.nucleatum,28,"After control, genome completion,coverage filter, and median of average letters"
Gardnerella.vaginalis,8,"After control, genome completion,coverage filter, and median of average letters"
Granulicatella.adiacens,1,"After control, genome completion,coverage filter, and median of average letters"
Jeotgalibaca.porci,10,"After control, genome completion,coverage filter, and median of average letters"
Lachnoanaerobaculum.umeaense,2,"After control, genome completion,coverage filter, and median of average letters"
Lactobacillus.gasseri,2,"After control, genome completion,coverage filter, and median of average letters"
Lactococcus.raffinolactis,3,"After control, genome completion,coverage filter, and median of average letters"
Mycolicibacterium.fortuitum,4,"After control, genome completion,coverage filter, and median of average letters"
Mycolicibacterium.thermoresistibile,2,"After control, genome completion,coverage filter, and median of average letters"
Neisseria.sp..Marseille-Q5346,3,"After control, genome completion,coverage filter, and median of average letters"
Neisseria.sp..RH3002v2g,1,"After control, genome completion,coverage filter, and median of average letters"
Peptoniphilus.harei,3,"After control, genome completion,coverage filter, and median of average letters"
Phascolarctobacterium.faecium,2,"After control, genome completion,coverage filter, and median of average letters"
Phocaeicola.coprophilus,6,"After control, genome completion,coverage filter, and median of average letters"
Prevotella.corporis,36,"After control, genome completion,coverage filter, and median of average letters"
Prevotella.denticola,2,"After control, genome completion,coverage filter, and median of average letters"
Prevotella.jejuni,3,"After control, genome completion,coverage filter, and median of average letters"
Pseudomonas.fragi,6,"After control, genome completion,coverage filter, and median of average letters"
Sphingobacterium.sp..UDSM-2020,2,"After control, genome completion,coverage filter, and median of average letters"
Sphingomonas.koreensis,2,"After control, genome completion,coverage filter, and median of average letters"
Streptococcus.koreensis,6,"After control, genome completion,coverage filter, and median of average letters"
Streptomyces.albus,2,"After control, genome completion,coverage filter, and median of average letters"
Veillonella.nakazawae,8,"After control, genome completion,coverage filter, and median of average letters"
Veillonella.sp..S12025-13,8,"After control, genome completion,coverage filter, and median of average letters"
