feature	X1524	X1525	X1522	X1521	X1520	X1568	X1552	X1547	X1545	X1543	X1540	X1542	X1541	X1564	X1561	X1699	X1531	X1526	X1536	X1457	X1458	X1528	X1411	X1485	X1464	X1466	X1469	X1468	X2016	X2037	X2036	X2043	X2041	X2047	X2048	X2053	X1343	X1341	X2524	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9649	X9733	X9738	X9418	X9416	X13165	X12664	X9269	X9434	X9430	X9422	X9467	X9450	X9463	X9447	X19337	X19351	X19322	X19317	X19300	X3607	X5989	X6001	X6055	X6050	X6070	X6067	X8000	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8026	X8025	X8071	X8059	X8249	X8255	X8245	X8235	X8236	X6833	X7295	X7285	X7298	X4303	X4482	X4481	X4494	X4479	X5266	X5265	X7281	X5286	X5285	X5273	X7282	X4498	X3936	X3934	X3920	X3922	X3931	X6653	X6649	X749	X748	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5842	X5884	X5880	X5882	X5878	X5898	X17525	X19880	X19882	X19831	X19850	X19849	X19893	X19827	X19800	X14348	X14386	X969	X985	X962	X14784	X17008	X17007	X15903	X16955	X15897	X15899	X17130	X15888	X15887	X15878	X15876	X15873	X15874	X15875	X15872	X15877	X17148	X17167	X17168	X17169	X17153	X17154	X17151	X17132	X17137	X15892	X15894	X17248	X17234	X17300	X15494	X16971	X16988	X16987
GBM-BM-430-SL	430	13188	141867	0	9675	12720	1060457	0	66672	336739	10953	60967	0	99758	9975	0	0	36908	92730	694	0	1670	15285	197	0	20103	0	33057	0	0	0	0	0	0	1990	0	0	0	9135	26156	3017	1834	0	1291	419	616030	0	1051	0	6101	0	164	0	0	0	0	12127	78803	24361	0	12850	0	29432	0	2671	693	0	20149	53338	9489	1718	0	6970	4760	370927	186189	50844	89520	53973	16947	3372	2395	6788	4993	175774	329	2441	34862	0	0	0	2956	1487	1861	67309	3468	4468	121	4919	0	971	13771	8	0	7147	33572	262	9124	368	21716	0	15737	4171	25278	0	0	0	167529	30696	639944	128107	1077	60097	992	1820	677	2873	371	206	1123	0	120	221	0	10384	460	226	4490	0	219	0	25764	945	292	4718	16028	12940	0	0	0	0	3247	0	5094	50908	0	2788	156	0	3064	1101	1064	41118	0	21800	27396	0	15804	6052	18031	2785	0	0	0	15738	3999	410320	127440	3512
GBM-BM-389-SL-PreOp	0	1106	25648	1423	0	11670	597592	0	360672	2328	0	289	0	106775	1833	0	330	0	25394	0	0	0	2080	5685	0	0	0	31906	0	858	310	271608	2812	0	25390	0	0	0	4060	2540	631	0	128	0	12273	63000	0	0	0	372	2854	0	12697	0	1218	0	577	0	511428	0	805	0	22288	5381	0	0	0	46025	7756	6690	691	1040	5797	0	259378	253420	33447	85502	26565	8997	8555	0	0	280	284556	37801	25074	141766	0	0	6283	25320	3600	227	101741	38542	2411	0	18774	890	14387	253	0	5631	6516	25309	0	12122	0	26970	0	25949	941	1782	0	8566	0	119513	199	183791	1627	0	32248	0	0	0	12736	0	0	0	0	0	219	0	165568	0	0	17781	0	0	0	51069	217	0	2299	10027	6511	0	0	5150	0	147870	0	0	19432	0	6556	0	0	0	5111	660	174596	1006670	0	119860	75561	0	58609	34475	4778	0	0	0	0	0	1183251	183545	58768
GBM-BM-392-SL	405	0	73868	0	14097	14145	418068	0	3155	448342	18685	0	867	18826	595	2340	0	0	5246	1427	304	0	0	0	0	43673	116	79969	0	1098	0	20573	0	0	1950	0	0	0	7433	2496	4715	0	253	3764	653	224520	30126	3459	1763	4721	0	11911	0	0	0	0	6895	68071	14210	0	3619	3180	17169	0	1366	167	0	32084	14289	4340	6355	116	4586	11197	170568	22741	103106	37525	39806	98067	4356	16655	0	1229	435174	49654	5784	30579	1467	4311	184	5686	4482	12864	20137	4222	25728	208	1147	0	11015	111	0	0	7959	1993	97	3453	0	10170	0	35548	0	0	0	0	0	331869	24074	271894	75667	0	56619	208	0	187	8377	19	2004	819	0	1154	0	3002	40313	11756	4170	492	132	560	0	37192	233	0	0	12778	14328	0	0	4108	195	825951	15418	202	191246	4095	0	2980	647	0	7542	0	430242	253966	0	39404	0	94073	7056	22559	2129	1764	0	0	0	0	913777	13362	5593
GBM-BM-327-SL	315	30219	44057	0	556	12610	391019	0	778076	393828	6485	19930	0	53024	2869	6422	840	0	5695	4663	4594	779	2957	1144	0	0	0	20396	5007	322	0	315	0	0	318	3647	43	882	1727	10505	3635	2969	1050	0	1837	60025	0	0	0	1702	1139	13106	104	0	3537	361	2425	50679	16078	0	0	0	10799	0	0	1746	326	0	6784	0	0	0	0	0	167071	205460	49365	0	18944	1127	0	7006	3741	4449	5898	74015	3757	47602	0	10064	23732	13890	4511	0	16412	18726	20619	0	3137	4078	7070	43555	0	1949	0	2097	72	3971	0	26185	4085	689	3302	7456	0	4022	638	185974	14547	560550	16455	479	99389	920	503	516	25868	0	1595	1003	1853	0	987	222	9697	0	753	0	0	1479	0	55291	1474	0	2892	1745	461	0	46	658	8671	283087	1703	0	28543	0	0	944	237	0	906	5497	151072	3969	52047	13778	34119	6520	3474	25251	4367	2696	47311	689	3111	0	704575	23381	5735
GBM-BM-322-SL	1650	10258	3065	0	5795	4691	180720	0	0	0	259	0	0	31898	9563	0	0	388	42551	83	31889	559	5479	0	3551	0	0	6446	229	0	3542	75930	1974	0	3513	0	1198	1654	5148	25466	41536	22447	46440	14128	15678	81554	1320	0	20715	28577	6242	35488	5046	152	6681	16301	25863	307471	717168	0	22975	8001	2267	391	1635	3344	336	0	1288	0	0	3355	0	0	11997	164459	6354	0	1516	454	739	0	1781	771	0	0	14538	55684	12058	57090	0	0	0	69	2572	11552	3226	1943	7529	0	0	0	0	760	0	3650	113	0	0	6312	0	0	351	0	0	7389	0	582	79484	20535	6110	0	0	317	0	3133	0	0	7628	206	0	3187	3868	1485	2853	615	281	189	0	31463	0	1580	40	0	0	0	4727	0	2073	11271	4351	717	18816	10437	7590	0	3535	417	0	0	7599	840	3405	6780	0	496	3674	1928	269	3284	6161	0	0	0	0	0	251556	3582	61613
GBM-BM-299-SL	3422	16615	60694	5409	25842	28463	394720	2904	577519	524401	40613	0	0	12324	42598	0	3386	0	38	1821	400	7948	13309	3060	0	0	0	0	0	0	0	0	0	3435	716	1712	1617	586	2034	5023	3445	21002	12786	2293	5770	13006	0	0	78	3873	230	15013	7026	216	0	1038	17809	173081	78908	18263	4161	6153	21373	0	242	6837	7507	0	9318	7580	0	0	0	9569	112436	153987	559	943	26047	0	0	19094	640	0	48197	0	3580	46079	0	2130	0	512	0	0	0	5744	108386	6878	0	95023	0	24993	4717	0	69	8215	1176	12404	6486	0	0	926	675	499	0	0	0	382920	873	227953	102514	11173	62268	6835	0	3837	18059	1729	0	18856	0	3223	25952	7017	1610	518	1034	250	18469	42438	4271	123079	5494	4839	803	1629	3422	14483	0	1236	0	72322	25045	0	11840	8804	1011	1191	1135	9687	43683	4539	34595	0	1434	22432	0	3678	268	21421	400	431	212527	31679	45392	10128	742735	35056	10370
GBM-BM-351-SL	0	13224	2096	1994	717	7123	433342	0	63124	3575	1431	0	0	54833	2701	0	0	0	23901	3535	252	0	3858	2008	0	815	26121	17669	564	441	851	21849	163	0	3441	0	0	0	4361	5708	8633	2346	0	308	5530	113110	17127	0	15854	4873	1033	136592	201	1139	1065	751	651	0	593167	61721	14992	0	4311	2242	0	0	0	3612	478	0	0	0	2828	0	2190	8980	43955	4319	6652	0	0	1124	527	0	0	45784	2209	13993	0	6438	103441	80	0	0	16	9983	4950	0	9920	219	16778	432	0	933	0	9605	0	271	0	15486	1901	2707	0	1051	585	16380	1203	16393	124770	47043	14819	0	15041	0	46	0	264	0	0	0	0	0	172	0	6664	0	0	0	0	0	505	8355	0	0	659	0	0	0	6337	3096	0	16473	456	0	2716	0	0	0	0	0	0	93	28641	34843	17992	12578	0	0	5548	7846	35	0	0	0	0	0	97850	4195	31356
01-2020-087-SL	6638	56247	30391	10945	17052	46121	553288	10723	55780	0	39932	16706	7071	111739	97917	5894	19551	48893	23535	16985	15935	14522	123196	1594	265275	0	77791	75177	6259	0	7669	527384	11349	2661	86697	17840	3358	5442	17062	79334	5710	7043	593	2949	39281	102767	17322	704	100119	14206	1681	21220	1338	23476	13473	360	2052	107234	533796	4366	6982	1706	12425	43990	1181	4698	5861	4782	172615	1653	0	3266	164327	490	59700	81851	74578	95453	16210	138597	3067	40648	32938	3372	11551	123256	42966	7898	18395	65629	15863	4822	11906	4795	26216	66658	2188	11284	75781	1094	88179	3575	13434	4249	0	27964	7282	84407	3529	20581	11808	27439	5222	10299	5782	30580	16501	146430	458640	65933	305818	0	20927	13362	3538	9297	5206	437	1470	15253	14857	989	21571	13022	36632	7553	8761	3380	17088	65405	27868	19744	11324	675	4139	6009	14761	9770	3228	13953	2529	57441	1715	2629	24421	10894	348	0	10689	3277	69141	7052	100586	403833	0	1558	0	13924	36014	5025	2115	6729	0	14212	0	13533	78383	21665	29209
GBM-BM-268-SL	0	28712	81914	0	2651	20954	186376	40183	299044	542915	22456	5286	838	28451	17068	0	6220	1327	0	0	3138	356	31789	53	0	0	0	70629	7016	0	1360	4759	0	0	2809	863	0	0	1038	39733	14376	6252	1168	0	10658	40725	0	595	0	486	0	45949	0	0	6447	1029	0	177174	17658	0	11498	175	23412	0	108	207	1658	0	2898	977	0	0	4094	494	65103	21857	2203	1150	6729	2401	0	0	3954	0	29078	275	362	20087	0	14224	0	285	3030	0	13466	7271	8189	0	263	76	0	25350	1453	0	2461	48503	192	32444	1002	44314	4901	9300	2161	7078	0	0	15104	72856	0	99685	51829	241	37352	1243	2048	0	2424	0	0	0	1040	400	1001	0	4938	251	0	0	0	3971	4698	92313	2667	7860	1869	0	2728	0	483	0	0	12113	0	1434	2673	0	4220	814	0	5746	6318	0	107949	0	86001	1051	0	3659	5884	6596	24299	0	8721	0	12011	3758	264795	10231	1690
GBM-BM-418-SL	0	1332	8985	0	0	4097	278617	629	0	1158	0	0	0	70104	501	0	0	0	96395	246	0	0	0	0	0	0	0	129485	131	175	0	118079	0	0	0	0	0	0	8019	0	0	0	0	0	464	272400	0	0	0	45	0	0	0	0	0	0	6801	0	143053	0	0	0	9706	0	0	261	0	37680	3628	2317	0	0	0	0	96186	83798	14821	37247	49465	7355	0	916	0	1493	245452	4496	1605	41111	0	0	0	2137	204	15812	55235	2652	751	0	5492	0	1720	0	0	0	3735	14296	0	2926	0	24873	0	2792	39	0	0	16256	0	13340	160571	46463	25638	0	2080	0	0	0	3360	0	0	0	0	0	0	0	47832	0	0	89	0	623	0	5687	0	0	0	597	0	0	0	0	0	9587	0	0	32440	0	1932	0	3000	7544	1421	0	79005	0	30704	34637	0	124	3972	11803	191	0	0	0	0	0	504196	56817	0
