feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X4628	br_m_progression_overall	Y	1.73776733835849	0.0111732435814654	22	6	0	0
X4581	br_m_progression_overall	Y	2.28450429170892	0.00331920271151085	22	12	0	0
X4575	br_m_progression_overall	Y	0.653450851366853	0.00337619031098201	22	13	0	0
X4577	br_m_progression_overall	Y	0.424083993125879	0.00158963595161934	22	12	0	0
X4571	br_m_progression_overall	Y	0.277101459096977	0.00310870387740063	22	6	0	0
X4617	br_m_progression_overall	Y	-0.302705579500395	0.00140127386869372	22	13	0	0
X4613	br_m_progression_overall	Y	-0.509964460973426	0.00514138116663851	22	18	0	0
X4584	br_m_progression_overall	Y	-2.2508674460775	0.000925592198929873	22	11	0	0
X4557	br_m_progression_overall	Y	1.33612187109975	0.00568641479002819	22	7	0	0
X4608	br_m_progression_overall	Y	0.186796024884121	0.000851440254164128	22	19	0	0
X29302	br_m_progression_overall	Y	-0.774613119016465	0.0130764514099143	22	6	0	0
X4724	br_m_progression_overall	Y	-1.88893922297854	0.0015483951226945	22	10	0	0
X4760	br_m_progression_overall	Y	2.68594226292988	0.00408871896025846	22	9	0	0
X4749	br_m_progression_overall	Y	-2.50132222477873	0.000479777671718078	22	8	0	0
X4705	br_m_progression_overall	Y	-0.502485354288244	0.00163891970738929	22	15	0	0
X4699	br_m_progression_overall	Y	-0.876807334271625	0.00255383095387794	22	15	0	0
X29435	br_m_progression_overall	Y	-3.00641939940516	0.00843114406474753	22	7	0	0
X4716	br_m_progression_overall	Y	-0.935935729824249	0.00389951225259051	22	8	0	0
X4721	br_m_progression_overall	Y	0.181448049476694	0.00179755562053831	22	18	0	0
X59817	br_m_progression_overall	Y	-3.38122094655884	0.0115110126300024	22	6	0	0
X29380	br_m_progression_overall	Y	1.64143773135929	0.0202199456510937	22	8	0	0
X4652	br_m_progression_overall	Y	0.890813724247588	0.00560560633482517	22	7	0	0
X4532	br_m_progression_overall	Y	0.121647320194821	0.00106945392573276	22	16	0	0
X5075	br_m_progression_overall	Y	-0.30472267133153	0.00210315826294651	22	10	0	0
X5087	br_m_progression_overall	Y	-2.97076497776856	0.00755095436269775	22	6	0	0
X4940	br_m_progression_overall	Y	0.748979602341659	0.00642436075779642	22	10	0	0
X4951	br_m_progression_overall	Y	-0.378106585660484	0.00201843814952189	22	10	0	0
X4925	br_m_progression_overall	Y	1.4920467693216	0.00196670731742428	22	13	0	0
X4933	br_m_progression_overall	Y	-0.156178115938973	0.00068039594664236	22	13	0	0
X4910	br_m_progression_overall	Y	0.550605547220589	0.00278500658798236	22	10	0	0
X4914	br_m_progression_overall	Y	-0.536681261141712	0.00164288248497504	22	13	0	0
X4993	br_m_progression_overall	Y	-1.27990070108876	0.00255485127058792	22	9	0	0
X4987	br_m_progression_overall	Y	-0.0978838042394931	0.000754255463484237	22	13	0	0
X6148	br_m_progression_overall	Y	-0.156221746689669	0.00385743438889286	22	10	0	0
X6179	br_m_progression_overall	Y	-1.47007618840597	0.00799071154123012	22	6	0	0
X5792	br_m_progression_overall	Y	0.243158295014	0.00136265918096327	22	14	0	0
X6952	br_m_progression_overall	Y	1.78229973191355	0.0181876896730425	22	6	0	0
X6939	br_m_progression_overall	Y	1.40817499259568	0.00764563247419094	22	10	0	0
X49188	br_m_progression_overall	Y	-5.29599417512918	0.0301113910457653	22	7	0	0
X714	br_m_progression_overall	Y	-2.0558756032139	0.00365395795505914	22	6	0	0
X14546	br_m_progression_overall	Y	-1.16412282528045	0.00156393041126603	22	13	0	0
X14808	br_m_progression_overall	Y	2.22798623576239	0.0198770942507536	22	7	0	0
X14807	br_m_progression_overall	Y	-0.948696115815627	0.00602891656007251	22	6	0	0
X63101	br_m_progression_overall	Y	-1.49229448787959	0.00391499228079541	22	11	0	0
X14797	br_m_progression_overall	Y	-1.03321740662379	0.00237252061063866	22	15	0	0
X15878	br_m_progression_overall	Y	-1.51963207598223	0.0108217195197975	22	10	0	0
X17153	br_m_progression_overall	Y	2.08433757109913	0.0327256626734733	22	9	0	0
X17154	br_m_progression_overall	Y	2.83827253606874	0.0367068538310859	22	6	0	0
X17248	br_m_progression_overall	Y	1.00291939904583	0.00115010507371871	22	11	0	0
X17234	br_m_progression_overall	Y	0.297184758205994	0.00294189466919323	22	8	0	0
X17300	br_m_progression_overall	Y	3.87150848789227	0.0359906921205805	22	7	0	0
X16971	br_m_progression_overall	Y	-0.20233337423549	0.00556158081101757	22	11	8.64388640456061e-290	1.24856136954764e-289
X14809	br_m_progression_overall	Y	0.0813175366377801	0.00224030410933946	22	19	1.76890930505796e-288	2.53630378298752e-288
X15346	br_m_progression_overall	Y	-0.105936304529921	0.00300771118364198	22	6	9.35076542192976e-272	1.3309483629754e-271
X9712	br_m_progression_overall	Y	0.20824872490579	0.00618646336910943	22	6	2.08124630622465e-248	2.94089151966527e-248
X15149	br_m_progression_overall	Y	-0.139880322949759	0.00422871317320701	22	6	6.01780577040999e-240	8.44224550525143e-240
X3922	br_m_progression_overall	Y	0.540792281962197	0.0185949803195553	22	8	5.94124725504424e-186	8.27530867666876e-186
X29347	br_m_progression_overall	Y	0.881530150494099	0.0309741168359549	22	9	3.64218032877332e-178	5.03705790149501e-178
X15156	br_m_progression_overall	Y	-0.352181372296505	0.012645739608198	22	6	1.08303341075464e-170	1.48726419082503e-170
X4805	br_m_progression_overall	Y	-0.0898901671301065	0.00400999859827524	22	8	2.71679362624595e-111	3.70471858124448e-111
X4606	br_m_progression_overall	Y	0.126424893461602	0.0113432601606873	22	7	7.54254940651931e-29	1.02138689879949e-28
X7263	br_m_progression_overall	Y	-0.134012069470047	0.0150971143614035	22	9	6.88931469543566e-19	9.26494045248244e-19
X4936	br_m_progression_overall	Y	-0.022814778753567	0.00267330995751339	22	13	1.41029526184691e-17	1.88361353465855e-17
X16988	br_m_progression_overall	Y	-0.110303869155269	0.0199462689080107	22	6	3.20139087948406e-08	4.24674300339723e-08
X25493	br_m_progression_overall	Y	0.035585890020714	0.00979314045481773	22	6	0.000279324242836355	0.000368028563196549
X4763	br_m_progression_overall	Y	4.91337799000387	1.95939759130762	22	13	0.0121555482219582	0.0159082678072608
X14861	br_m_progression_overall	Y	-1.65370237707681	0.756261723335856	22	21	0.0287658934218454	0.037395661448399
X4037	br_m_progression_overall	Y	-1.47672472577954	0.79827264163768	22	21	0.0643279339196483	0.0830724974459035
X4791	br_m_progression_overall	Y	3.02334460266895	1.6764533623088	22	14	0.0713227395180459	0.0914995671448615
X4303	br_m_progression_overall	Y	-1.27559439831975	0.810777700561034	22	21	0.115649985360169	0.147397040164921
X4761	br_m_progression_overall	Y	1.91600929684611	1.31207009263471	22	18	0.144209036376382	0.182602351255808
X8059	br_m_progression_overall	Y	-0.0126826451915647	0.00904494352795955	22	9	0.160861295278283	0.202373887608163
X4753	br_m_progression_overall	Y	2.47132910066123	1.8024587190897	22	13	0.170347597843116	0.212934497303895
X15131	br_m_progression_overall	Y	-3.51057138900917	2.59678147237793	22	7	0.176409461674628	0.219107293162754
X1830	br_m_progression_overall	Y	1.94539621893023	1.62858826634474	22	15	0.232271030324029	0.286663613374593
X15091	br_m_progression_overall	Y	-0.884671768328539	0.748929227516596	22	21	0.237503891247192	0.291278357189953
X4540	br_m_progression_overall	Y	1.69693636401915	1.49795082481774	22	15	0.257282080747194	0.313562535910643
X10115	br_m_progression_overall	Y	2.78788900330206	2.53208101861343	22	9	0.270885003262115	0.32809053190132
X9226	br_m_progression_overall	Y	-2.11377412880008	2.05332029824057	22	12	0.303272027281903	0.365049662468957
X14941	br_m_progression_overall	Y	-0.00659658311250937	0.00687997732311073	22	9	0.33765505239119	0.403943160836086
X4862	br_m_progression_overall	Y	1.77904197541478	1.92745563294362	22	12	0.356007089994901	0.423301113103694
X4762	br_m_progression_overall	Y	-1.16281159522383	1.29624078574928	22	18	0.369684499191583	0.436899862680961
X4529	br_m_progression_overall	Y	2.05892323660887	2.34666614077147	22	8	0.380279046732166	0.44671333802875
X15154	br_m_progression_overall	Y	-0.820105763301707	0.976095977562346	22	19	0.400802045911047	0.468002388938049
X6768	br_m_progression_overall	Y	-0.0018522133536049	0.00221602412688412	22	10	0.403252093644664	0.468060465837557
X4742	br_m_progression_overall	Y	-0.93614678434849	1.16003908635596	22	18	0.419668846385573	0.484233284291045
X4498	br_m_progression_overall	Y	-0.831155106785745	1.03594295668257	22	20	0.422369353416833	0.48448249362519
X4677	br_m_progression_overall	Y	1.24415584876646	1.66234195847908	22	14	0.454197475106725	0.517944489156792
X4964	br_m_progression_overall	Y	-0.466574870075592	0.707533167070331	22	21	0.509613990533552	0.577760047407224
X8130	br_m_progression_overall	Y	1.55183074288384	2.40317063386379	22	8	0.518445773299205	0.58437529360315
