feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1457	shotgun_seq_batch	Batch 8	-0.345073071896276	0.0174226760041193	34	13	2.64398542220848e-87	4.72382999597658e-87
X5273	shotgun_seq_batch	Batch 6	-0.0883150815503635	0.00453789166315257	34	22	2.31966200362112e-84	4.13375664747867e-84
X4482	br_m_progression_overall	Y	-0.0752443060300066	0.00409518847851648	34	24	2.12839324262275e-75	3.78320538010949e-75
X16987	shotgun_seq_batch	Batch 8	-0.0584468511076793	0.00321526755823418	34	21	7.72181992855924e-74	1.36904715570119e-73
X6833	shotgun_seq_batch	Batch 8	-0.26430436045769	0.0157963077567469	34	19	7.65777009107208e-63	1.35423669549493e-62
X17291	shotgun_seq_batch	Batch 2	-0.250259451924539	0.0174264735760125	34	11	9.10667751125006e-47	1.60638093155299e-46
X6067	shotgun_seq_batch	Batch 8	-0.136456778075857	0.00953524578323518	34	9	1.87407117809568e-46	3.29741637664935e-46
X19300	shotgun_seq_batch	Batch 2	0.149677285035995	0.0106869668079276	34	24	1.44076379709067e-44	2.52861322974246e-44
X3920	shotgun_seq_batch	Batch 6	-1.11767134392792	0.0801531042024004	34	10	3.41227398298043e-44	5.97362825735869e-44
X2047	br_m_progression_overall	Y	0.214425576638952	0.0160517545104664	34	11	1.05830175725305e-40	1.84803950073083e-40
X14387	br_m_progression_overall	Y	-0.1860405248106	0.0140438097365337	34	12	4.68634003954324e-40	8.16292312652268e-40
X1411	shotgun_seq_batch	Batch 2	0.0904374848856301	0.00706997814662941	34	20	1.82291082328497e-37	3.16730755545764e-37
X1457	shotgun_seq_batch	Batch 6	0.143914001725748	0.0115751810079751	34	13	1.73058985252947e-35	2.99940136535657e-35
X5898	shotgun_seq_batch	Batch 10	-0.0898667087774633	0.00760022406633579	34	18	2.9261374747944e-32	5.05886951488087e-32
X5266	shotgun_seq_batch	Batch 10	0.0329069271060723	0.00329537727722308	34	14	1.75904180802812e-23	3.03358326694676e-23
X19300	shotgun_seq_batch	Batch 10	-0.0977668399700976	0.0101674668194259	34	24	6.86717488444912e-22	1.18135805561687e-21
X14784	br_m_progression_overall	Y	-0.16229980575465	0.0173177448547188	34	13	7.12527130450489e-21	1.222731742378e-20
X19317	shotgun_seq_batch	Batch 10	-0.0912601068528785	0.0104154601186691	34	10	1.91841559364165e-18	3.28398728468213e-18
X4498	shotgun_seq_batch	Batch 2	-0.036374620437306	0.00426104442060756	34	21	1.38288379761471e-17	2.36143547749933e-17
X6001	shotgun_seq_batch	Batch 2	0.0824843280059964	0.00980124349109673	34	23	3.90554568923161e-17	6.65282905396071e-17
X8053	shotgun_seq_batch	Batch 10	-0.033464283295571	0.00405029381361433	34	19	1.43027873662924e-16	2.43042474806192e-16
X15874	shotgun_seq_batch	Batch 10	-0.0455129253406449	0.00557681306062772	34	14	3.31989003873436e-16	5.62761848029361e-16
X19300	br_m_progression_overall	Y	0.0764039406973077	0.00986096067952248	34	24	9.3260451541326e-15	1.57703196645308e-14
X5880	br_m_progression_overall	Y	0.0567855325093772	0.00771485201748196	34	21	1.83157840002352e-13	3.08967715537949e-13
X9418	shotgun_seq_batch	Batch 10	0.0293413178699346	0.00421208568782497	34	18	3.26118210105752e-12	5.48794566642852e-12
X19317	shotgun_seq_batch	Batch 2	-0.0872998964433706	0.012789148139106	34	10	8.72592374498697e-12	1.46485917941206e-11
X6055	shotgun_seq_batch	Batch 8	-0.56927584617894	0.0870104734248136	34	11	6.04531636580201e-11	1.01240840342949e-10
X2524	shotgun_seq_batch	Batch 2	0.0432371236395237	0.00676979939311687	34	29	1.69430750052537e-10	2.83063392515657e-10
X985	shotgun_seq_batch	Batch 8	0.0973298702735612	0.015244453326149	34	25	1.71836218533157e-10	2.86393697555262e-10
X5825	shotgun_seq_batch	Batch 2	-0.10493028326998	0.0165783791848803	34	20	2.46203890982082e-10	4.09358144097003e-10
