feature	X1552	X13165	X9450	X6952	X9467	X16971	X1543	X17167	X8007	X6956	X2043	X1564	X1536	X6939	X1472	X1545	X9712	X17130	X8071	X8235	X6936	X1468	X1466	X15878	X8130	X16987	X1395	X2492	X8047	X2502	X8059	X1522	X8245	X15888	X17153	X8053	X8249	X9649	X7298	X9463	X8255	X2479	X4494	X7285	X19850	X6055	X9447	X17007	X5266	X1525	X2497	X5273	X5989	X6067	X9422	X19351	X9648	X1561	X6001	X9631	X17008	X9733	X2532	X7295	X9634	X19825	X9632	X7284
SRR1568878	0	374	7327	1007	0	1469	0	0	319	6193	7258	1208	2706	840	616	0	36403	0	0	0	0	0	0	268	1513	0	0	792	0	0	351	0	0	0	0	1305	0	11903	494	0	0	0	0	2068	0	0	0	0	0	0	0	0	4796	576	0	1631	0	0	8613	201	0	372	857	571	0	0	0	0
SRR531396	0	18067	283	0	3258	36115	0	286	260	0	86	0	0	0	0	0	16496	0	0	0	0	0	0	5121	360	1152	0	0	4940	0	4617	0	0	0	0	0	0	19583	0	231	0	0	0	258	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	288	0	0	0	0	4103
SRR1568918	333	7181	1462	0	35823	0	0	0	0	224	3804	0	0	784	299	0	1629	0	0	0	0	0	0	832	1818	328	0	0	2049	439	0	0	0	0	364	18	124	0	0	0	0	0	0	33739	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	1929	0	0	3071	0	0	0	206	2211
SRR539935	0	0	0	0	0	0	0	0	0	0	1194	0	0	363	0	0	1651	0	0	239	0	0	0	33098	5319	0	0	0	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	152	0	0	0	0	0	0	363
SRR549413	1557	5898	712	601	224	287	473	1394	1684	599	2500	458	350	0	0	109	5139	0	174	0	106	0	1053	442	4076	324	0	0	1633	0	0	0	110	0	0	0	0	7756	0	1282	0	0	0	796	282	0	0	0	0	0	0	43	0	0	0	0	0	0	0	3522	0	0	1308	0	0	0	33084	0
SRR1804458	550	0	0	1638	580	24114	0	454	2097	0	0	0	0	2635	0	0	9661	0	5709	0	0	0	0	16732	6090	0	0	0	1016	0	0	0	0	0	0	106	0	2476	1659	0	1810	0	0	9400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32861
SRR1803301	0	10229	3956	0	13236	307	0	0	8678	0	1673	0	0	3235	0	0	1802	0	0	0	0	0	0	32290	4536	397	0	0	8814	0	0	0	4388	2697	0	0	0	13345	0	0	0	0	0	27036	0	0	109	5424	0	0	0	0	0	0	1361	0	0	0	0	0	4643	0	0	0	0	0	14304	0
SRR1803307	0	0	0	0	0	797	0	0	14912	0	0	0	0	6924	0	0	11014	0	1627	0	0	0	0	18452	31580	0	0	0	6354	0	0	0	0	0	0	783	0	21367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7994	0
SRR549713	0	0	263	0	0	290	0	0	0	1505	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30050	0	0	0	0	0	2375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR1803356	3286	0	5601	1956	0	1887	0	546	6266	10689	19142	3418	2410	8039	0	2802	24322	291	2476	0	1415	0	0	3505	12701	0	0	0	5579	0	4265	883	0	0	0	7261	0	1034	806	0	370	0	0	28476	1849	0	0	73	312	598	0	897	2672	0	0	3729	0	0	0	0	0	0	798	0	0	0	0	0
SRR1803905	948	0	0	1284	0	1332	841	430	4503	0	51	0	0	14384	0	0	1890	0	521	1161	349	0	0	27627	10149	0	0	0	10220	0	0	0	0	1876	0	12312	159	0	0	0	0	0	0	5771	0	0	0	8410	0	0	0	0	0	0	0	0	0	0	1985	0	0	0	0	0	0	0	43	0
SRR061395	0	2215	0	86	3192	3361	266	0	436	0	170	0	0	659	0	428	4775	0	271	0	304	0	0	12284	4887	1476	0	0	2721	0	1420	0	0	0	304	1970	0	27616	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0	633	0	0	0	0	0	0	2925	0	3115	0	0	0
SRR1568944	589	1154	5198	0	279	1361	0	24	0	3498	3865	570	884	0	0	0	19891	0	0	0	0	0	0	0	1429	241	0	446	80	0	932	0	0	0	0	0	0	23849	163	0	0	82	0	1731	58	0	0	0	0	0	0	0	5417	0	0	0	0	0	1509	1039	0	329	945	0	0	103	94	26691
SRR1803312	0	16822	954	1286	24754	782	446	0	1208	90	0	0	0	1006	0	401	3159	0	1044	0	568	0	0	4936	5460	2934	0	0	14687	0	0	0	0	0	0	764	0	0	0	0	0	0	0	1786	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	448	0	0	0	0	0	0	0	1214
SRR1568868	0	292	0	0	685	9512	0	0	0	0	0	0	0	566	0	0	24144	0	0	0	0	0	0	327	271	0	0	0	2662	0	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	241	574	0	0	0	564	0	0	0	0	0
SRR1803823	3114	568	7263	6242	1068	12522	1147	152	1330	280	2206	1255	3843	8493	0	431	24130	0	1965	0	215	2593	0	18482	13955	42	0	1327	2611	846	762	0	0	2779	209	7526	629	542	338	0	101	1704	0	3042	37	0	0	2393	0	0	0	0	4282	0	0	1711	0	0	6382	2819	0	5135	110	1213	0	0	0	0
SRR1031106	0	0	0	285	186	0	1852	589	0	477	0	939	148	726	0	258	3461	0	111	0	363	133	0	8497	3982	0	0	0	542	0	0	0	894	0	0	54	0	20485	0	0	0	0	0	2817	0	0	0	0	0	0	0	0	0	0	0	0	21962	0	0	0	0	0	305	0	18341	0	0	392
SRR1031064	907	0	3405	0	0	82	0	0	0	553	1843	1644	475	0	130	0	21894	0	0	0	384	0	0	0	1327	0	0	0	0	0	0	106	5721	0	0	0	0	15400	0	0	0	0	0	13092	132	0	0	0	0	0	0	0	157	0	0	0	4064	0	0	313	0	0	309	0	0	0	5506	0
SRR1803995	0	0	1801	0	70	1643	0	74	392	0	2152	0	0	0	0	0	7804	0	0	0	0	0	0	0	1593	0	0	0	0	0	26	0	566	0	0	888	0	20066	0	0	0	0	0	13791	37	0	0	0	0	0	0	0	0	0	0	0	3481	0	0	716	0	0	0	0	2183	0	1508	3526
SRR1804166	1740	0	0	1480	4520	1620	19	0	1276	0	0	0	0	9055	0	0	3345	0	1724	494	440	0	0	17791	11835	1333	0	0	5569	0	0	0	0	0	0	3320	482	0	0	0	49	0	0	4409	60	0	0	690	0	0	0	0	0	0	0	184	0	0	0	0	0	0	1976	0	0	0	0	0
SRR549458	0	0	0	0	0	16868	0	0	0	0	0	0	0	235	0	0	567	0	0	0	0	0	0	17230	9281	0	0	0	2432	0	0	0	0	0	0	0	889	0	0	0	363	0	0	3644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16007
SRR1569226	1662	2144	4008	2903	0	3004	335	1665	2612	0	1265	0	116	281	0	0	2941	1115	1073	0	274	0	0	2609	448	282	48	0	4201	0	89	0	0	0	398	0	0	0	0	0	442	0	0	16373	284	0	572	0	0	0	0	0	0	0	0	941	0	0	0	0	0	0	0	0	0	0	0	0
SRR1804303	3097	0	627	8638	0	157	2593	2229	12801	6963	5283	3310	2971	3330	0	14055	15752	584	4579	0	11687	1084	0	6971	940	0	0	0	1477	0	84	3395	0	0	335	1535	0	0	551	0	76	0	0	4592	614	99	0	0	0	61	0	0	702	0	0	1359	0	0	0	738	0	0	0	0	6300	123	0	1656
SRR1031317	0	6371	3327	0	15315	3318	269	394	0	0	267	0	0	781	0	358	1812	0	0	1047	0	0	0	2986	297	3180	0	0	638	0	136	0	0	133	0	0	0	2293	0	1178	0	0	0	3381	0	0	0	0	0	0	0	0	0	0	0	0	1193	0	409	0	0	0	674	0	0	0	0	3365
SRR059920	6225	8818	555	1005	9860	318	0	356	1816	4263	2947	135	834	3930	0	0	14748	393	814	900	39	0	1680	8158	5668	693	1519	0	5703	1702	0	494	895	0	0	349	0	12291	338	3844	561	128	0	4212	0	585	0	4369	0	1448	721	367	685	0	196	286	0	10483	5980	2210	0	534	267	0	0	0	0	0
SRR059444	6793	0	0	5557	0	5570	3283	1427	10890	0	1494	92	0	4238	0	2204	4377	1207	8444	0	5140	0	0	4439	14510	0	883	0	3385	0	0	787	223	0	0	4422	629	0	312	0	599	234	0	6718	587	100	0	1145	0	260	0	0	0	0	0	227	0	0	1310	181	0	1861	297	62	0	219	0	0
SRR549499	0	1407	0	421	0	0	0	0	1324	986	1834	0	515	0	0	0	14052	0	0	0	0	0	0	941	2596	0	0	0	638	0	0	0	158	0	0	1031	0	14448	0	0	0	0	0	1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646	0	0	8650	0	0	0	0	0
SRR549637	786	0	452	858	0	2646	295	0	1604	3243	1246	0	0	1279	0	0	11365	0	389	0	0	0	0	12453	625	0	0	321	1948	62	0	0	0	0	0	761	0	13529	0	0	0	0	0	4324	0	0	0	0	0	0	0	0	0	0	114	0	1547	0	147	0	0	0	171	0	0	0	983	0
SRR539467	10659	1357	10459	577	153	538	705	6477	5087	8518	13257	2437	1910	0	0	0	7956	1401	2869	0	1330	56	0	0	0	0	0	0	515	0	852	486	0	0	0	0	0	1624	1301	0	272	0	0	0	2160	213	0	0	1095	0	0	1999	5366	1370	0	3151	0	0	68	1411	0	0	0	0	413	0	0	11129
SRR063472	1541	0	1070	5581	0	2936	2545	2848	8619	1758	683	1683	430	11551	0	4004	5081	454	4857	0	4508	0	0	10312	6503	0	60	0	3591	0	117	1024	0	0	0	1783	0	2001	0	0	197	0	0	260	498	0	0	4308	590	1159	0	2018	848	0	651	1612	0	0	1337	0	0	296	0	0	0	551	0	73
SRR1803297	5397	1060	1890	6305	1477	4781	1018	3613	7814	474	664	100	54	274	0	0	8246	1064	3054	0	776	0	0	2299	1083	0	0	0	1153	0	83	0	607	0	0	0	0	0	393	0	855	0	0	12073	193	105	0	48	0	0	0	41	484	0	0	822	0	0	481	90	0	0	0	0	0	0	0	0
SRR1568828	1232	0	0	1154	0	29	0	0	908	4668	420	1998	7996	2988	0	0	10686	0	638	0	0	1097	0	1612	5053	0	0	0	135	0	0	318	0	0	0	123	0	4102	0	0	0	0	0	8081	0	0	0	0	0	0	0	0	609	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0
SRR1568915	0	1465	719	0	1696	0	0	0	316	209	1097	0	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	505	0	0	0	731	0	0	0	0	0	0	949	0	0	0	10546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	9697	0	0	49	44	3412
SRR1804078	526	54	7588	0	1047	0	0	0	199	885	1267	0	0	454	0	0	9751	0	0	0	0	0	0	7894	362	0	0	0	1417	0	154	0	122	0	0	0	0	1842	0	0	0	0	0	917	15	0	0	145	0	0	0	0	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR1803782	0	0	0	1733	0	5770	0	2216	1173	0	0	0	0	1060	0	0	0	0	2724	0	1750	0	0	4662	0	0	0	0	0	0	0	0	0	0	403	0	0	0	62	0	1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR549457	3281	81	0	1222	3796	301	0	0	1519	1110	0	0	0	0	0	0	7733	0	387	0	0	0	0	0	889	0	557	1196	330	0	0	0	47	0	0	0	0	9182	0	733	0	0	0	1150	0	0	0	0	0	0	0	0	0	0	0	117	609	0	301	1825	0	0	1614	0	1031	0	0	0
SRR1803875	0	934	3581	2183	8231	2786	6396	0	4427	749	4861	410	281	180	0	0	3112	430	934	585	1605	0	0	1718	228	64	0	78	2153	0	719	87	0	0	0	88	0	0	0	0	250	0	0	0	0	191	0	1199	0	0	0	243	0	0	0	1053	0	0	164	80	0	2024	0	0	0	232	0	5667
SRR549421	0	3098	45	0	3359	0	0	0	0	0	0	0	0	0	0	0	3571	0	0	0	0	0	7025	0	0	0	0	0	4883	0	0	0	15	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	831	0	0	508	0	332	3776	0	0	0	0	2343
SRR059448	0	2719	1202	0	7004	951	0	0	0	172	1790	0	0	2689	0	0	5966	0	0	607	0	0	247	6266	988	0	0	0	3324	185	0	0	0	0	0	1304	0	0	0	0	0	540	0	2699	0	0	0	0	0	0	0	0	2918	0	184	0	0	0	2562	0	0	1141	0	0	0	0	0	6776
SRR1031264	0	108	0	401	0	0	258	355	2961	0	0	0	0	4119	0	0	5544	0	0	0	493	0	0	3092	717	127	0	0	886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	0	0	0	0	0	0	1435	0
SRR1804677	564	0	0	299	0	1274	0	689	3931	0	293	0	0	0	0	0	684	0	1596	0	0	0	0	3193	1975	0	0	0	198	0	0	0	0	0	0	342	0	0	0	0	77	0	0	825	0	0	0	0	0	0	0	0	401	0	0	0	0	0	949	0	0	323	0	0	0	0	0	5301
SRR1568830	1412	0	4782	1113	101	259	2180	0	2497	1668	3791	343	0	0	0	0	2336	15	0	0	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2161	0	0	0	0	0	1040	15	0	0	0	0	208	0	335	1249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR1569399	325	56	0	2097	833	757	4052	308	1328	0	0	0	0	265	0	0	1250	208	624	0	1099	0	0	0	278	0	0	0	575	0	0	127	0	0	49	0	0	0	0	0	0	0	0	189	0	0	0	0	0	343	0	0	0	0	0	113	0	103	0	0	0	0	0	0	0	0	0	641
SRR569355	0	2962	318	0	131	0	0	419	129	616	1696	0	0	0	0	0	1202	0	0	0	0	0	0	1666	0	0	0	0	0	0	75	0	185	436	385	0	0	0	0	0	0	0	0	1057	0	0	0	0	0	0	0	0	0	0	0	0	592	0	143	0	0	0	0	0	0	0	0	0
SRR1568829	0	1790	1262	0	1896	0	0	147	3770	288	1503	0	0	842	0	0	3005	0	0	0	0	0	0	837	1353	0	0	0	1050	0	0	0	0	0	0	676	0	3648	0	255	0	0	0	2974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	151	0	0	0	0	0
SRR061463	0	0	0	0	0	0	0	0	0	0	0	0	0	3408	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR549638	0	0	764	0	1560	0	0	0	0	211	1805	0	0	0	0	0	1197	0	0	0	0	0	0	0	120	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1298
SRR1569948	0	83	0	0	0	1703	0	0	0	0	232	0	0	0	0	0	1167	0	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0
SRR549496	0	609	0	0	0	0	0	236	0	0	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0
SRR1031120	0	0	0	0	746	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0
