feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1541	X1564	X1561	X1560	X1526	X1536	X1457	X1458	X1456	X1528	X1411	X1485	X1464	X1466	X1469	X1468	X2016	X2037	X2036	X2043	X2048	X2053	X1341	X2532	X2489	X2492	X2502	X2497	X2483	X2480	X2479	X2476	X9712	X9649	X9738	X9418	X13165	X9247	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19300	X3607	X5989	X6001	X6055	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8026	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7285	X7298	X4482	X4481	X4494	X4479	X5266	X5265	X4799	X7281	X5286	X5285	X5273	X7282	X3936	X3934	X3920	X3922	X3931	X6653	X6649	X749	X748	X6936	X6956	X6952	X6939	X5868	X5825	X5884	X5880	X5898	X19880	X19882	X19831	X19850	X19800	X14348	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15878	X15873	X15872	X15877	X17167	X17168	X17169	X17153	X17154	X17151	X17132	X17137	X15892	X17300	X15494	X16971	X16988	X16987
01-2020-46-SL	2983	3708	79799	4812	63361	781657	667757	279097	53954	110557	897	255995	23873	0	0	346003	0	0	295866	0	48101	0	2713	22885	206620	0	0	0	0	261722	19763	0	1296	300	245	41738	27300	6125	0	0	122216	9694	91891	1359	0	0	126610	22522	7500	0	50	387783	3886	44223	30265	939	673	2934	0	4025	22686	5564	64374	20815	0	1495	0	0	0	0	14782	2394	34341	4545	35770	4594	34320	11162	0	29368	0	90394	0	114459	86162	64429	0	91019	0	99352	0	0	71467	0	3421	0	0	119	35844	0	313758	379127	413688	26932	331196	1541	0	16066	0	0	0	0	14943	0	24771	20736	0	0	0	0	0	17077	0	0	0	0	0	21592	0	13397	0	8340	0	12906	4178	3691	0	0	113750	233	7998
01-2020-49-SL	0	0	115418	0	60311	389369	0	1067	0	424799	0	110566	0	0	0	7804	0	0	102350	0	776	0	0	0	0	0	0	0	0	26930	353	0	0	959	0	3933	873	0	27396	0	29266	0	113020	0	0	781	17891	385	6861	3710	3034	327575	21021	0	20105	0	0	0	0	0	16567	0	363948	409	13382	9345	0	1405	0	68892	1040106	11943	89084	0	34738	17158	94423	0	109966	5607	0	5936	8016	0	90892	92258	0	19172	0	31001	0	1943	0	0	73141	0	0	5740	188094	168168	395787	1213866	605260	10772	397118	0	0	40398	267	0	0	0	0	0	0	39050	379	0	0	0	0	741700	0	384	0	0	0	2898	334981	47759	81885	19217	0	63375	28582	0	21871	0	849724	40359	332
01-2020-50-SL	0	1328	193335	4230	61546	403170	2972636	1778203	7620	166084	778	653964	28830	0	7911	2524	0	0	0	0	383	88	0	0	0	91845	14592	0	508	12116	990	9880	1639	0	0	24814	7608	1796	0	112	27111	0	12951	0	0	0	0	0	356	509	21606	0	11152	0	25983	0	0	0	1087	17301	2116	80433	2272	2048	0	0	0	0	0	1773	1709	0	6659	0	0	12347	44775	0	0	193966	358	0	0	291411	123581	121534	600	0	7888	436327	742	611	42484	1544	19827	3140	0	0	11581	0	386593	6684	679201	29172	262203	248	327	40483	268	0	655	1864	54865	2728	3000	52131	2268	0	0	0	0	224281	0	0	0	0	1075	27489	35991	2609	318	58307	0	15716	32052	0	0	0	562047	5136	0
01-2020-52-SL	87	5946	26653	1906	7188	159253	107915	31392	60814	2172	0	39094	5392	9168	4860	1505	0	0	0	8895	10321	198	0	0	216	19466	14655	0	0	1914	0	514	0	307	0	1646	8583	1490	3509	3378	4974	227	24868	0	0	9704	60093	892	0	10692	0	10404	0	0	3504	267	0	0	4946	955	0	35612	360	403	3053	31027	4430	240	6977	5170	1229	1328	420	0	0	40	0	0	90	888	0	0	0	0	0	1319	1156	0	0	1328	0	332	198	2687	458	1400	714	0	0	1625	65012	4656	8497	49086	7916	957	89	3606	2481	0	1591	310	8	33	24054	3869	1226	3784	2398	475	1077	207	9843	9255	3223	1998	3364	3434	0	717	70	0	0	0	0	5020	0	12	32218	7183	33470
01-2020-58-SL	0	2878	23713	0	7118	316352	0	0	3503	0	862	62736	8598	0	0	14627	0	0	0	0	2971	0	0	0	0	33578	1733	0	2703	48050	94	0	0	0	0	3869	0	0	0	0	6844	0	10636	0	429	961	40901	0	0	0	42344	120144	3034	6884	7437	0	770	7938	1220	466	886	147	0	3340	5624	9790	1974	0	0	5145	16955	1570	2314	156	530	4823	2196	0	5950	3211	0	4708	0	9374	0	17577	0	0	3917	47958	0	0	4327	0	3668	40	0	43	10407	0	182813	126379	528	7082	20214	0	0	6479	0	0	20	64	1235	1187	2521	23160	897	850	1174	0	0	24527	0	1084	0	968	0	15600	5304	0	0	0	0	5078	0	0	0	0	80184	18255	31068
02-2020-49-SL	3975	28559	52208	19631	24085	62825	172692	170848	3304	2380	834	163286	17826	0	0	32654	11330	171	0	1116	14457	0	2976	0	0	25921	1131	155	0	25843	21498	280	0	2459	47038	96	21218	11549	43105	0	14298	0	14797	0	0	11326	11653	0	688	4817	68442	36994	36317	7365	14853	3831	0	39343	21879	9738	20090	4933	8582	42179	22834	1709	16943	6010	0	19659	5420	1430	15390	5170	0	2689	36063	0	11791	44371	10245	0	0	12420	10484	5741	0	10441	2893	19691	693	0	20985	0	4190	2607	1157	902	4428	0	81921	3944	438661	101181	58267	5419	9133	11092	7126	16814	12315	6641	18696	0	83182	12303	1047	10544	108846	0	6831	23741	17664	66312	6462	24724	18056	132955	0	91421	780	0	33387	8307	4537	32366	2370	0	355132	116333	29294
01.2020.030.SL	0	0	119017	0	48774	2068279	0	85846	1035	59913	0	496667	0	0	0	23397	0	1966	0	0	0	2342	0	0	0	73882	0	0	847	0	1245	0	0	3374	17	31084	52302	9669	3749	121	18984	19609	165284	0	0	56466	50234	8888	17782	4643	759226	102000	325450	3106	20773	0	0	0	0	0	0	89947	416547	5572	3983	270352	0	0	0	0	0	11708	38942	0	0	8757	58861	0	0	32812	0	7418	33845	0	46934	16899	0	8788	10066	53653	0	0	84136	0	8977	0	0	0	37631	0	276515	75894	1012110	89645	167560	0	34	34163	607	0	0	0	22184	0	0	172221	0	2501	1745	4548	6231	29770	3446	5806	0	1165	0	347089	10544	90612	8200	0	0	20201	26782	672	26991	0	1096654	623201	64903
01.2020.090.SL	0	8925	16461	7421	4813	414996	38042	98591	0	7450	469	142	6639	0	3644	0	0	1353	0	0	698	0	0	820	0	0	4695	0	0	0	0	0	175	0	0	3095	6249	6607	5052	77	3138	0	15027	0	0	285	54904	0	404	5687	66562	14085	45403	0	6020	189	0	0	0	0	0	317245	12872	3029	120	9655	594	0	0	38235	0	15158	11178	3042	27615	0	0	0	0	47022	1503	0	243	0	4491	3270	0	0	0	4303	0	0	0	0	0	0	0	0	0	450	349651	3589	751831	181967	11731	0	191	0	0	581	0	0	686	290	819	74164	208	986	267	0	0	23843	12794	13059	3351	0	0	110352	0	0	2334	0	371	251	8567	3281	0	2929	541423	24637	74013
01.2020.108.SL	0	0	0	0	122	31126	0	4494	0	0	0	3041	0	0	0	71	0	0	27927	0	1117	0	161	695	2214	0	0	0	14	997	2823	0	0	0	0	653	0	0	8268	0	2244	0	6146	0	0	0	21528	741	0	0	1935	15677	85	0	629	0	0	0	0	0	0	24652	2167	1855	324	593	0	0	0	0	1627	0	0	0	1383	0	28744	0	0	0	0	1963	0	283	0	2906	0	0	0	11560	0	0	1293	0	0	0	0	0	0	0	2999	40343	0	765	0	0	0	1334	0	0	0	0	1543	0	1400	0	0	0	0	0	0	15252	0	0	0	0	0	7862	11881	0	0	0	0	0	128	0	0	0	47927	0	16817
01.2020.64.SL	1582	4756	25096	21784	4369	409483	0	62698	20648	848	0	145	13132	1836	0	5682	127181	0	0	0	1365	0	5710	27047	0	1066	0	0	0	0	0	0	0	2066	0	63338	136151	5952	0	0	29569	0	58158	0	460	23316	274262	0	18412	0	177532	84329	0	0	3531	401	0	0	0	0	0	53479	137668	321	0	20951	0	0	2055	53325	0	6288	5628	0	141364	0	0	0	0	12684	0	10823	0	3132	3393	4589	0	0	0	11728	1593	0	0	0	0	0	0	0	0	94	49240	21641	361826	150436	13678	0	0	1226	499	0	0	0	153	0	0	2525	0	991	0	4866	4973	3022	3848	25603	930	0	320	2757	0	0	0	14208	0	0	5961	1523	973	1898	107131	15943	23215
