Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T11,T16,T9,T17,T18,T10,T1,T13,T3,T14,T15,T2,T4,T12,T5,T6,T7,T8
PHKB,0.278410216,0.977723377,0.83644664,0.734012428,0.79525024,0.473988394,0.633747854,0.64445785,0.548294913,0.379400724,0.623881286,0.53880585,0.847542172,0.560357775,0.698713582,0.856519386,0.872074241,0.432236061,0.632710856,0.81672047,0.856090931,0.650285466,1
PHKG2,0.275862529,0.423300177,0.419309432,0.290858318,0.378747222,0.365344633,0.676113912,0.371055119,0.154543551,0.234283642,0.453537672,0.72638411,0.753276759,0.937651083,0.344793108,1,0.302266223,0.763277861,0.398290139,0.716987782,0.411040195,0.421176352,0.145974854
PHLDA1,0.685830639,0.266682657,0.267550917,0.157463163,1,0.294279889,0.176574801,0.207917597,0.172651734,0.16742157,0.570778734,0.206780925,0.345754256,0.461566852,0.320502891,0.093739098,0.265129313,0.208882408,0.13382701,0.518341822,0.254906414,0.222701064,0.257051129
PHLDA2,0.742653589,0.510593681,0.570022007,0.627027375,0.85463202,0.926455808,0.622277748,0.860786609,0.26825375,0.562142549,0.200645311,1,0.590610058,0.665781894,0.580722879,0.932006938,0.758540254,0.652026915,0.515138387,0.599443111,0.672117785,0.60148536,0.762281568
PHLPP1,0.481928739,0.427984146,0.931951288,0.389079033,0.455798524,0.612693058,0.872291045,0.671739418,0.887427198,0.44321199,0.972718701,0.825799945,0.765738388,0.926127032,0.398712019,0.528445716,0.770385155,0.982045432,0.61096249,0.866429963,1,0.842239813,0.930902323
PHYH,0.384764135,0.149179985,1,0.313681784,0.184163718,0.154010245,0.237836872,0.398156509,0.430042003,0.432427189,0.278125049,0.6262497,0.407052986,0.30742296,0.278250916,0.206649255,0.219698256,0.579170765,0.406426704,0.366146294,0.373918381,0.462738236,0.521720515
PI3,0.160143535,0.131225147,0.121537456,0.171465274,0.196941065,0.471462468,0.221876947,0.473046458,0.40475969,0.436272923,0.15218344,1,0.264515035,0.457760128,0.298340092,0.066814484,0.230729566,0.674445375,0.232521351,0.268753661,0.305988385,0.281165019,0.486108372
PI4K2A,0.464321455,0.626102319,0.534368795,0.771454147,0.347027043,0.933991583,0.405932206,0.854721156,0.575348357,0.455020242,0.269991388,1,0.875683194,0.642107278,0.670915116,0.781928238,0.369054272,0.73878238,0.819827336,0.490339396,0.6424519,0.528405206,0.799066219
PI4K2B,0.408275472,0.28937127,0.315745367,0.254198665,0.083471517,0.496698787,0.175194468,0.537830292,0.307130473,0.373596741,0.45738104,1,0.397225514,0.513053658,0.407711381,0.057020073,0.48257406,0.331514334,0.58165285,0.469006851,0.530859809,0.586591976,0.722216421
PI4KA,0.655109391,0.548054967,0.421056476,0.634016089,0.649095864,0.412363292,0.911578488,0.517830698,0.64395103,0.970187533,0.992869953,0.532714091,0.478528948,0.63371035,0.637961274,0.667130379,0.572848578,0.961022287,1,0.384289365,0.635013064,0.743174221,0.556982129
PI4KB,0.805543619,0.500973576,0.429723912,0.465123932,0.418690015,0.382982953,0.502604477,0.548872658,0.983784256,0.283468194,0.787534857,0.411244073,0.659283062,0.638419711,0.54670185,0.850405664,1,0.701259554,0.365780857,0.426766121,0.670482244,0.448151652,0.810840512
