Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T-P2,T-P3,T-P4,T-P6,T-P7,T-P8,T-P10,T-P12,T-P13,T-P16,T-P17,T-P18,T-P21,T-P22,T-P25,T-P26,T-P27,T-P32
Fusobacterium genus,0.668595545,0.394670091,0.239051835,0.431275368,0.454628352,0.691031824,0.686034896,0.302510634,0.182649969,0.55376455,0.398905886,0.762551626,0.44431501,0.559922807,0.276410506,0.432458453,0.205742682,0.785083217,1,0.506208526,0.238117227,0.380439837,0.1592303
Prevotella intermedia,0.150853759,0.155820172,0.176596984,0.338597532,0.285852121,0.599724882,0.852893408,0.355221099,0.180039387,1,0.276212492,0.111309192,0.403058447,0.427688977,0.206498726,0.509700952,0.151648391,0.817853576,0.653821825,0.48742813,0.286728059,0.25298405,0.093987645
Bacteroides genus,0.33509154,0.280412833,0.190430068,0.354062928,0.124223985,0.952757054,0.694825838,0.226736894,0.14592531,0.621395283,0.282658448,0.951764517,0.459915392,0.529740384,0.312546682,0.831168818,0.174702135,1,0.685974311,0.384506177,0.640437819,0.438128826,0.11428346
Parvimonas micra,0.292457789,0.165318339,0.077049514,0.379801784,0.375496126,0.520844535,0.57751419,0.261982572,0.078577429,0.308008314,0.226865053,1,0.174983868,0.645214979,0.117685533,0.463705056,0.058870979,0.41144267,0.940244498,0.666245462,0.585847579,0.300987749,0.165986994
OLIG2,0.171084538,0.221595207,0.120682634,0.154359452,0.164371645,0.012260156,0.251417644,0.30304973,0.31336122,0.109051924,0.723426559,0.31199488,0.601172354,0.303674037,0.671438672,1,0.314111048,0.26763817,0.234723772,0.652570956,0.426436692,0.467134839,0.498257342
CNP,0.12113188,0.084696187,0.148436379,0.118602127,0.104772884,0.201086788,0.492608799,0.174896962,0.143638985,0.248753933,0.418404229,0.511658962,0.281315809,0.172014768,0.116014361,1,0.163193562,0.208787524,0.507809221,0.395546991,0.151941068,0.194465263,0.122256052
SLC1A3,0.261719368,0.077563132,0.257837318,0.650801513,0.322756278,0.082027906,0.493869705,0.281359294,0.455699216,0.736466728,0.280527934,0.170971041,0.479483498,0.416898254,0.531497041,0.185122227,0.731711084,0.394218153,1,0.756708489,0.62720749,0.619119981,0.332186783
AIF1,0.290252592,0.113339554,0.19313246,1,0.399745073,0.895713496,0.247634713,0.259153028,0.281925249,0.22385327,0.146475485,0.484020467,0.186367317,0.252426041,0.167853707,0.318133145,0.254340614,0.316683536,0.344693288,0.208652913,0.144138246,0.272154503,0.416478232
ITGAM,0.206465456,0.264851276,0.266942848,0.946391546,0.457023063,1,0.299754812,0.634864509,0.289187281,0.155097779,0.174485375,0.140763656,0.852691154,0.414787053,0.323884488,0.258095335,0.32304999,0.59803465,0.45978349,0.329127195,0.463077723,0.416982772,0.378973152
CD68,0.192511975,0.044452378,0.168630247,1,0.213195162,0.278050435,0.124515144,0.091130302,0.153080422,0.211804585,0.099224907,0.140579843,0.140834917,0.102525723,0.085598132,0.072379258,0.177016458,0.110778793,0.087011725,0.103448322,0.068734847,0.073692012,0.166683995
